Probe Set	Gene Symbol	UniGene ID	Rep. Pub. ID	Gene Title	Pvalue	CON 1	CON 2	CON 3	CON 4	D3T 1	D3T 2	D3T 3	D3T 4	C10 1	C10 2	C10 3	C10 4	D3T(fold-change)	C10(fold-change)
1422438_at	Ephx1			"epoxide hydrolase 1, microsomal"	0.010198980102	9874.760209	10090.9893	11553.88164	8718.353585	11275.78301	10989.43809	15105.74796	13139.65704	13889.62472	16098.18032	16562.46746	13228.94141	1.25529711376	1.48564134872
1456531_x_at	Prpf19			PRP19/PSO4 pre-mRNA processing factor 19 homolog (S. cerevisiae)	0.024297570243	4497.071168	3472.406181	3028.630791	4957.47575	6334.038846	5517.083117	4924.051037	4877.580608	5943.553399	6446.498325	5413.477754	6032.70784	1.35706432038	1.4939119422
1449051_at	Ppara			peroxisome proliferator activated receptor alpha	0.016698330167	1611.624581	1518.425068	1127.311107	1602.912546	2067.497687	2218.286513	2070.308433	1524.605214	2036.943149	3141.395775	3407.221445	3665.616138	1.34476626616	2.09054695501
1416159_at	Nr2f2			"nuclear receptor subfamily 2, group F, member 2"	0.02099790021	750.017787	591.8074304	663.0836169	775.8365859	717.2478857	807.9952491	912.6918257	668.4917752	864.5820057	950.5231804	1067.891975	851.8024091	1.11712014812	1.34309295021
1426911_at	Dsc2			desmocollin 2	0.016698330167	634.1120578	569.7941502	429.3748858	610.5247621	873.9966865	674.8569897	699.0340883	503.0677863	1139.59067	858.7497716	784.2848924	1116.679918	1.22602209258	1.7378086619
1460346_at	Arsa			arylsulfatase A	0.022697730227	479.7869143	405.0929031	356.2047636	491.6221134	555.3247939	612.1803809	814.5853172	463.8202506	656.8294482	703.7816069	644.4975214	807.9952491	1.41161268119	1.62353145786
1416773_at	Wee1			WEE 1 homolog 1 (S. pombe)	0.015598440156	88.51027256	148.5540369	199.0130188	126.0226289	166.4454935	362.5291015	186.1135133	297.5105462	387.3935169	351.4147654	211.8006197	1073.688662	1.80145655875	3.60131243245
1423821_at	Tmem168			transmembrane protein 168	0.010898910109	241.6863191	179.0693981	163.099551	236.8278605	287.2207164	324.4375512	229.7227616	353.3230352	310.262172	401.2723669	361.5489058	400.1871409	1.45574341987	1.79517591392
1451807_at	Nr1i2			"nuclear receptor subfamily 1, group I, member 2"	0.018198180182	251.7042908	166.107914	224.9525639	236.9882958	318.7775013	275.4160833	275.0435003	192.1298675	275.7891711	312.7926928	324.4375512	397.4875877	1.20643734615	1.4896305062
1420726_x_at	Tmlhe			"trimethyllysine hydroxylase, epsilon"	0.023497650235	187.6314687	149.3606188	179.9199057	178.5852354	274.2996555	251.3637851	183.3625243	169.2861342	312.3693302	303.6138934	242.8342319	298.7212377	1.26285492304	1.66433257474
1443835_x_at	Fam100b /// Gm7367			"family with sequence similarity 100, member B /// 1110014K08Rik pseudogene"	0.017298270173	141.583369	149.9685319	127.6539173	128.6079485	186.6180859	174.286015	135.7643608	240.7067852	250.1755518	241.6863191	190.0602471	186.4918793	1.34603270623	1.58523580474
1425723_at	Nr1i2			"nuclear receptor subfamily 1, group I, member 2"	0.010498950105	115.7981986	68.94729277	90.75504887	70.21897344	140.1530179	132.0483075	108.8068066	100.7263269	121.2528628	146.8543306	165.099049	162.3285556	1.39342571026	1.72259526707
1418334_at	Dbf4			DBF4 homolog (S. cerevisiae)	0.025097490251	105.0435669	86.4965089	98.16848188	62.24823387	117.2177305	125.2572239	104.8304481	83.16646464	177.6207106	118.333849	144.6836411	122.0764412	1.22308157557	1.59881739864
1436475_at	Nr2f2			"nuclear receptor subfamily 2, group F, member 2"	0.024297570243	86.78976425	73.57644163	91.12443126	96.91398761	92.36644899	99.97912529	120.8431596	95.09443429	119.0569475	110.0661472	116.7426571	108.292461	1.17186495002	1.30353669423
1437584_at	---			---	0.011798820118	55.18227382	21.75626502	53.12963881	12.18827457	31.3779675	60.50342885	74.73090042	71.36906664	139.5849898	60.66750183	118.5743377	202.4094728	1.67290382753	3.66406088438
1449498_at	Marco			macrophage receptor with collagenous structure	0.014098590141	67.42421899	22.64274558	26.29646559	16.73101424	44.22520729	87.61615507	80.56219017	46.37116283	240.381157	87.97270086	68.29698564	82.66134883	1.94429389241	3.60129376167
1425004_s_at	Mocs1			molybdenum cofactor synthesis 1	0.00969903009699	41.58323232	27.79734136	31.78411471	40.39032921	37.31490221	47.09875437	46.97141012	47.1625559	47.22644386	47.06690229	103.2110052	62.50154727	1.26133022783	1.83678334423
1438773_at	Steap2			six transmembrane epithelial antigen of prostate 2	0.010598940106	18.24530041	26.72714812	19.74904519	40.96855206	64.0	36.19538859	45.13247528	40.52723936	61.36963084	79.47889997	75.4424697	61.24512043	1.75849203071	2.62594380475
1447691_x_at	---			---	0.018198180182	42.81136707	19.61580993	29.52344153	43.18974819	69.04069106	45.19361323	39.73944999	43.51253004	53.23765057	52.34431672	48.58836563	75.28940747	1.46134192997	1.69793634544
1431771_a_at	Irak1bp1			interleukin-1 receptor-associated kinase 1 binding protein 1	0.019098090191	15.45707036	28.7153452	27.44211935	31.84873133	26.90868529	32.26099433	36.78822082	32.50209932	69.69807956	33.53005629	39.36462965	35.13327109	1.24160008115	1.71776943691
1456409_at	Klhdc7a			kelch domain containing 7A	0.011298870113	18.56925461	11.87473983	11.90693345	18.5190476	18.58182118	17.19021877	22.20258883	19.66900401	25.31830644	59.44794358	18.84784925	47.87016919	1.27556536971	2.4886533507
1445065_at	---			---	0.017798220178	19.06599608	20.18149297	12.11424845	20.38744387	23.42220509	20.33232089	19.86972499	22.32315443	26.56481941	20.63738113	26.5288825	28.94954965	1.19788691326	1.43110528552
1441574_at	---			---	0.011798820118	12.43831367	12.43831367	12.46781718	13.02862564	12.53976147	16.55078798	15.05435508	12.5822672	22.45956375	13.9836008	26.81776309	19.07889882	1.12614084371	1.63460011864
1435303_at	Taf4b			"TAF4B RNA polymerase II, TATA box binding protein (TBP)-associated factor"	0.018398160184	9.57179169	8.792235321	11.24879844	8.738835227	13.21962182	11.92307124	17.41272392	8.795215945	25.40414492	13.33195086	15.15660785	14.84690179	1.33894157429	1.79235016698
