Probe Set	Gene Symbol	UniGene ID	Rep. Pub. ID	Gene Title	Pvalue	CON 1	CON 2	CON 3	CON 4	D3T 1	D3T 2	D3T 3	D3T 4	C10 1	C10 2	C10 3	C10 4	D3T(fold-change)	C10(fold-change)
1433866_x_at	Prdx1			peroxiredoxin 1	0.004699530047	24033.01452	22643.35322	22490.52939	27967.81643	30747.89443	30998.69799	19326.32892	31421.18565	34591.50109	34732.05131	33576.40151	36814.07929	1.1581246587	1.4383532733
1422230_s_at	Cyp2a4 /// Cyp2a5 /// LOC100047711			"cytochrome P450, family 2, subfamily a, polypeptide 4 /// cytochrome P450, family 2, subfamily a, polypeptide 5 /// similar to Cytochrome P450, family 2, subfamily a, polypeptide 4"	0.000299970003	8969.799364	4140.616866	9702.494535	5879.509144	11199.68084	15881.72501	15085.34426	24426.67713	37164.56239	31763.45001	34034.02123	31124.86588	2.32094146995	4.67325167885
1439624_at	Ugt2b35			"UDP glucuronosyltransferase 2 family, polypeptide B35"	0.000299970003	13121.90899	12213.33856	13591.99871	12980.51498	8360.074016	8508.505307	8636.134519	8789.467204	20264.12133	17722.32176	16384.0	16629.76314	0.660675402421	1.36781484183
1416308_at	Ugdh			UDP-glucose dehydrogenase	0.024397560244	10580.64532	10104.63788	12805.97963	10270.15262	9572.035287	8543.1358	11306.30578	12346.37589	16119.95393	15003.9007	12702.36931	15604.66754	0.954444739218	1.35806602389
1455100_at	Akr1d1			"aldo-keto reductase family 1, member D1"	0.00549945005499	10410.12665	7573.371583	8360.074016	9702.494535	11444.92192	10783.06731	7823.454149	9914.9515	13157.4291	13555.21147	14251.538	15668.18014	1.10875883126	1.57111063044
1438040_a_at	Hsp90b1			"heat shock protein 90, beta (Grp94), member 1"	0.000699930006999	9166.212394	11034.16623	14117.13783	11199.68084	6463.948552	6879.318805	8360.074016	7865.975623	14251.538	14212.96569	15924.71574	11569.58905	0.649629563196	1.22939925581
1435007_s_at	AI132487			expressed sequence AI132487	0.000599940005999	7823.454149	6916.66084	7048.985879	9030.749421	9430.574856	9316.355651	12229.9425	8451.079964	14642.65961	16562.46746	13518.6175	14622.88142	1.2793038448	1.92559747804
1455770_at	---			---	0.000299970003	11094.06144	9637.077555	10783.06731	10077.35916	5502.150932	6081.91526	8753.838181	7461.396707	11154.28177	12000.27627	14193.7679	12582.57869	0.668387947633	1.20050553692
1436555_at	Slc7a2			"solute carrier family 7 (cationic amino acid transporter, y+ system), member 2"	0.003199680032	9430.574856	4664.478248	5162.950318	5018.254767	7106.482847	7341.199026	9481.765514	5839.86782	13482.02888	11775.00458	10666.94922	18733.85262	1.22627280429	2.25149340868
1429514_at	Ppap2b			phosphatidic acid phosphatase type 2B	0.010798920108	9030.749421	6282.79155	5863.636683	8038.218061	7116.144052	8103.78397	8659.571964	7919.370271	9481.765514	12130.99276	12147.40054	11775.00458	1.08842853156	1.55860163039
1448973_at	Sult1d1			"sulfotransferase family 1D, member 1"	0.015498450155	7865.975623	7321.329805	8038.218061	6897.940647	7106.482847	8016.462333	5863.636683	7908.673388	11306.30578	9610.994456	13536.90212	11806.8787	0.959227501875	1.53571584089
1449486_at	Ces1			carboxylesterase 1	0.000699930006999	6991.954106	5487.297196	4799.006328	7135.406964	8114.74475	9443.330188	8394.100378	8485.47673	9702.494535	10739.43146	9178.610162	9520.357276	1.41058921791	1.60323712494
1438403_s_at	Malat1			metastasis associated lung adenocarcinoma transcript 1 (non-coding RNA)	0.015298470153	7391.031464	7481.646052	6008.253629	4904.090883	6472.736236	7855.296412	5362.425559	4799.006328	11935.48855	13300.7502	12823.30037	9006.307371	0.949755424231	1.82531728846
1456036_x_at	Gsto1			glutathione S-transferase omega 1	0.00549945005499	6768.451061	5517.083117	6131.524054	7203.338571	7135.406964	6823.659771	6569.828521	7707.835143	9481.765514	11034.16623	9366.926309	8636.134519	1.10211916763	1.50345027316
1425627_x_at	Gstm1			"glutathione S-transferase, mu 1"	0.000299970003	3258.336752	3388.802868	4068.355402	4180.037008	8192.0	8203.080097	6024.559317	8125.720355	11806.8787	12396.62691	9405.050664	8508.505307	2.05063905791	2.82749629192
1450109_s_at	Abcc2			"ATP-binding cassette, sub-family C (CFTR/MRP), member 2"	0.002799720028	5472.445628	4424.595949	5169.969306	5494.719045	5018.254767	5855.716528	5554.533362	5855.716528	9663.16446	9968.771431	9494.590084	9443.330188	1.08377170905	1.87580793533
1424969_s_at	Upp2			uridine phosphorylase 2	0.00519948005199	3137.130872	2386.532057	2478.737875	2710.418666	2435.496172	3179.909518	3927.648206	2784.803853	11838.92117	10214.70557	7242.489638	17248.93897	1.15075753713	4.34479974934
1438157_s_at	Nfkbia			"nuclear factor of kappa light polypeptide gene enhancer in B-cells inhibitor, alpha"	0.016498350165	3036.850136	2872.875982	4002.817152	4740.882757	3665.616138	3645.826015	4254.252654	3948.995477	7145.057965	6614.470704	6768.451061	8326.185584	1.0587756239	1.96910710579
1424683_at	Fam134b			"family with sequence similarity 134, member B"	0.000599940005999	4231.284569	2495.580973	2197.366801	3695.515732	5135.076308	3838.295315	4371.007081	4365.103057	6173.187945	5494.719045	6215.091863	6189.898339	1.4033149993	1.90755766668
