Probe Set	Gene Symbol	UniGene ID	Rep. Pub. ID	Gene Title	Pvalue	CON 1	CON 2	CON 3	CON 4	D3T 1	D3T 2	D3T 3	D3T 4	C10 1	C10 2	C10 3	C10 4	D3T(fold-change)	C10(fold-change)
1433443_a_at	Hmgcs1			3-hydroxy-3-methylglutaryl-Coenzyme A synthase 1	0.002399760024	32239.90785	21889.78251	19776.23265	28081.64832	43190.90722	42957.72586	38339.92781	47355.68468	28195.94352	31336.36028	30540.58338	34779.26925	1.68495281659	1.22418991649
1433445_x_at	Hmgcs1			3-hydroxy-3-methylglutaryl-Coenzyme A synthase 1	0.000799920007999	24826.78796	20401.81665	19616.36353	27000.52801	41247.81278	42667.79689	35253.2831	44496.67763	29444.28459	29684.45489	28619.08645	35396.76759	1.78196620695	1.34077988232
1451122_at	Idi1			isopentenyl-diphosphate delta isomerase	0.000599940005999	16720.14803	12582.57869	12875.49252	14059.91254	28310.70391	24759.59336	22158.15285	34218.7633	18481.95819	18531.98758	18989.18017	22399.36169	1.94613885554	1.39411614768
1451457_at	Sc5d			"sterol-C5-desaturase (fungal ERG3, delta-5-desaturase) homolog (S. cerevisae)"	0.00609939006099	15903.20585	14983.53072	12396.62691	16517.64055	22399.36169	23774.2136	23935.76009	25131.1662	17698.3838	15353.18126	15332.44335	15989.53097	1.59262378826	1.07646251805
1422478_a_at	Acss2			acyl-CoA synthetase short-chain family member 2	0.000599940005999	12180.36715	10768.50237	7635.145845	12363.07499	22735.514	19040.71455	14862.40533	17531.4779	14543.93463	15562.43294	13946.15693	13264.75124	1.72701133341	1.3346020712
1419499_at	Gpam			"glycerol-3-phosphate acyltransferase, mitochondrial"	0.010098990101	9228.497083	12497.74336	10242.42707	16229.4895	18963.53103	19589.73145	24229.04633	19326.32892	10753.95709	8671.284475	10298.02459	10438.3785	1.70356384598	0.833261002992
1439459_x_at	Acly			ATP citrate lyase	0.00919908009199	8225.342283	8933.439346	7164.448805	14348.27817	22643.35322	19829.903	20990.07935	20512.56095	13068.71797	9995.825495	9042.963969	7887.268278	2.17151850423	1.03421814033
1423257_at	Cyp4a14			"cytochrome P450, family 4, subfamily a, polypeptide 14"	0.000599940005999	8258.820273	1847.757866	2092.84536	7686.973609	17507.67636	15583.48192	21683.34933	18258.11239	11632.39061	14445.77515	10783.06731	7994.765487	3.67249128152	2.25561213092
1433446_at	Hmgcs1			3-hydroxy-3-methylglutaryl-Coenzyme A synthase 1	0.000499950005	7930.13659	5183.964057	4930.711067	7242.489638	15024.19424	17891.04455	12565.5831	20990.07935	10466.70702	10382.02323	9874.760209	13965.01981	2.62862771771	1.76723129317
1438322_x_at	Fdft1			farnesyl diphosphate farnesyl transferase 1	0.004399560044	9253.477989	7164.448805	6024.559317	7749.674497	15710.59282	16011.26861	13647.31954	22308.56354	7271.967316	7865.975623	7876.614755	11154.28177	2.2415667891	1.13171229802
1422070_at	Adh4			"alcohol dehydrogenase 4 (class II), pi polypeptide"	0.012898710129	9650.112193	8945.522277	8485.47673	9316.355651	13282.78456	15044.51523	12246.48412	15903.20585	8706.577496	8092.781899	9650.112193	10841.67466	1.55167363683	1.0245533405
1418069_at	Apoc2			apolipoprotein C-II	0.010698930107	8765.738952	8885.20902	7908.673388	7411.089846	17460.41223	15967.93353	10566.35379	10036.50953	8520.013494	8496.953769	8169.828056	6731.909189	1.63876383322	0.968092690163
1423418_at	Fdps			farnesyl diphosphate synthetase	0.001199880012	7983.966766	7232.6569	6420.366771	6731.909189	13591.99871	13500.26401	10753.95709	16384.0	9303.707338	7802.333768	8439.664888	10768.50237	1.91160815276	1.28007109344
1451666_at	Acly			ATP citrate lyase	0.012798720128	6123.242058	6291.289346	4766.617022	9468.892632	16119.95393	15838.74054	15689.37215	13721.39936	9240.979095	5847.766538	6173.187945	5100.454162	2.30279067287	0.989206271113
1422479_at	Acss2			acyl-CoA synthetase short-chain family member 2	0.000299970003	5776.940819	6148.164283	3917.045035	6148.164283	14642.65961	14426.2629	11275.78301	13482.02888	8337.447174	9116.72536	8236.467477	7908.673388	2.44774737514	1.52791418791
1451895_a_at	Dhcr24			24-dehydrocholesterol reductase	0.00659934006599	6016.421801	6274.261743	6437.746262	6114.971248	10638.07874	12065.41568	10022.95298	12823.30037	5333.474612	6342.605956	7532.484063	7739.206826	1.83347471914	1.08470540722
