Probe Set	Gene Symbol	UniGene ID	Rep. Pub. ID	Gene Title	Pvalue	CON 1	CON 2	CON 3	CON 4	D3T 1	D3T 2	D3T 3	D3T 4	C10 1	C10 2	C10 3	C10 4	D3T(fold-change)	C10(fold-change)
1434110_x_at	Mup1 /// Mup10 /// Mup2			major urinary protein 1 /// major urinary protein 10 /// major urinary protein 2	0.001299870013	72834.7846	71274.08535	73428.8813	66971.05153	39232.72706	43307.82203	57238.1729	49720.7349	62842.3713	59128.25171	52629.71639	54220.84588	0.666058325923	0.804267506116
1420722_at	Elovl3			"elongation of very long chain fatty acids (FEN1/Elo2, SUR4/Elo3, yeast)-like 3"	0.012598740126	19803.11827	18632.7113	26891.07856	19431.2353	4910.723915	5391.533657	11648.12401	3720.626873	6057.261582	4448.613359	5398.863402	3057.485624	0.302873652208	0.223721558775
1418858_at	Aox3			aldehyde oxidase 3	0.021097890211	13482.02888	13033.34701	12875.49252	12016.50726	8214.232116	8462.569138	12246.48412	7739.206826	8269.990748	9405.050664	9141.403708	9874.760209	0.713175720841	0.71373426188
1454971_x_at	Tsc22d1			"TSC22 domain family, member 1"	0.01899810019	12430.18373	8125.720355	13318.74014	15753.22951	5340.688408	7252.285473	10974.59439	4991.161947	3375.066002	6516.673504	7361.071146	5100.454162	0.575457461073	0.450417540219
1450644_at	Zfp36l1			"zinc finger protein 36, C3H type-like 1"	0.000699930006999	10214.70557	11507.04677	12196.84171	10353.92391	8462.569138	6944.812362	7676.590629	8636.134519	6351.184653	7676.590629	5128.140237	5233.35351	0.716473968719	0.550889584619
1420379_at	Slco1a1			"solute carrier organic anion transporter family, member 1a1"	0.02299770023	10311.95319	9689.389143	10552.00842	9104.348074	6073.700272	3553.241424	9354.274177	6368.421015	8485.47673	8849.191898	9584.981952	7010.929441	0.639210988983	0.855586204561
1427472_a_at	C8b			"complement component 8, beta polypeptide"	0.004399560044	6963.659759	8027.305006	6481.490941	5018.254767	4509.24443	3631.047279	4484.899682	3596.804424	4265.768623	4151.825231	4683.463155	4620.489547	0.612365449071	0.668972112849
1418519_at	Aadat			aminoadipate aminotransferase	0.00509949005099	6377.034629	6842.130948	7058.568917	4312.234742	3601.669285	3705.544923	4068.355402	3271.598518	4029.988482	4062.860177	3761.128808	3859.130191	0.595656220121	0.639004770896
1425742_a_at	Tsc22d1			"TSC22 domain family, member 1"	0.01899810019	7106.482847	4079.396437	7039.464645	8394.100378	2560.606768	3611.443789	5226.248468	1764.642229	1419.040451	2908.097653	3938.307378	2325.926834	0.49448595178	0.397881044918
1425107_a_at	Lifr			leukemia inhibitory factor receptor	0.00559944005599	7068.115991	6106.669281	7760.210115	4460.686368	2620.215943	2777.266681	3425.716384	2291.553098	2681.21278	3171.302978	3329.685036	3267.179491	0.437663072534	0.490216423607
1423648_at	Pdia6			protein disulfide isomerase associated 6	0.002599740026	3500.729805	4509.24443	5276.004208	3901.166884	2445.408892	1911.368192	2849.632184	3302.745297	3467.715919	3201.494908	3145.644673	3078.239994	0.611454337824	0.750159217758
1454758_a_at	Tsc22d1			"TSC22 domain family, member 1"	0.01899810019	5442.900698	3253.935638	5935.525299	6248.871682	1880.564404	2357.643714	4146.217261	1430.61524	1169.284272	2048.0	3028.630791	1694.401434	0.470041231282	0.380260896301
1421092_at	Serpina12			"serine (or cysteine) peptidase inhibitor, clade A (alpha-1 antiproteinase, antitrypsin), member 12"	0.00949905009499	5240.431886	7919.370271	5025.042212	4844.694571	1774.220988	1072.238405	2979.841749	1564.3309	1479.865146	1830.332451	1947.93524	1822.913008	0.320919670222	0.307476665662
1452646_at	Trp53inp2			transformation related protein 53 inducible nuclear protein 2	0.016298370163	2784.803853	3626.142737	4576.915686	3298.2842	2432.206489	2519.33979	2670.344204	2492.192858	1452.084808	1860.313436	2963.733478	2335.393596	0.707964415596	0.602788535906
1435194_at	Hspa4			heat shock protein 4	0.004899510049	3154.181579	2620.215943	3379.654376	3214.525322	2257.687355	2227.315167	2039.698218	2034.177701	1919.147657	1738.551393	1771.824505	2322.785149	0.691985689927	0.626774492014
1430893_at	Mup10			major urinary protein 10	0.004799520048	6411.650185	3137.130872	2803.726679	2505.738245	996.6464472	1338.795601	1800.834643	626.4328244	1292.492327	1901.048996	1549.578364	1386.75768	0.320543186705	0.412557267852
1448261_at	Cdh1			cadherin 1	0.011798820118	2739.923694	3012.279659	2826.576445	2908.097653	2050.770024	1755.10302	1762.24647	1798.402212	2167.821119	1820.450755	1251.16817	1440.336314	0.641298887137	0.581513678238
1436774_at	Sel1l			sel-1 suppressor of lin-12-like (C. elegans)	0.00759924007599	2012.27254	2884.568883	3453.65917	2488.826593	2056.335571	1870.411513	1961.171519	1774.220988	1383.00437	1651.372649	1926.958786	1825.37859	0.706883320295	0.626119525552
1439153_at	Rnf144b			ring finger protein 144B	0.004499550045	2529.593762	2688.489273	2706.738877	2706.738877	1862.829605	1638.011761	1583.509712	2482.090494	1331.56764	1510.227314	2215.29022	1669.360703	0.711696214899	0.632686583889
1449308_at	C6			complement component 6	0.021497850215	3099.156728	3548.441975	3538.837989	2098.525095	1508.17696	855.2687398	1845.262055	1164.544456	985.9105848	1386.75768	1600.747454	2150.281762	0.437384527845	0.498471023921
1423702_at	H1f0			"H1 histone family, member 0"	0.004399560044	2101.363456	2098.525095	2194.398765	2182.551529	1722.155858	1463.929132	2045.233717	2034.177701	1579.223885	1658.093905	1598.585286	1570.697888	0.847106555142	0.746965295697
1457664_x_at	C2			complement component 2 (within H-2S)	0.001499850015	2432.206489	2438.790304	2239.42091	2061.916222	1547.474585	1450.113391	1428.682874	1073.688662	1594.258657	1705.914943	1362.565625	1589.954759	0.599624867234	0.681690618236
1438761_a_at	Gm6742 /// Gm7993 /// Gm9115 /// LOC677259 /// Odc1			"predicted gene 6742 /// predicted gene 7993 /// predicted gene 9115 /// similar to Ornithine decarboxylase (ODC) /// ornithine decarboxylase, structural 1"	0.00719928007199	1872.94134	2288.457843	2325.926834	1815.52364	1633.589746	1685.25361	1193.266028	1850.269877	1239.368937	1178.821857	1516.374095	1239.368937	0.766288626657	0.623151573224
1416630_at	Id3			inhibitor of DNA binding 3	0.001599840016	2121.369182	2599.01636	2081.546396	3495.977053	1908.786461	1589.954759	1386.75768	1030.958111	635.8311998	1522.545893	887.1098789	575.9988017	0.574529937696	0.351671953652
