Probe Set	Gene Symbol	UniGene ID	Rep. Pub. ID	Gene Title	Pvalue	CON 1	CON 2	CON 3	CON 4	D3T 1	D3T 2	D3T 3	D3T 4	C10 1	C10 2	C10 3	C10 4	D3T(fold-change)	C10(fold-change)
1434110_x_at	Mup1 /// Mup10 /// Mup2			major urinary protein 1 /// major urinary protein 10 /// major urinary protein 2	0.001299870013	72834.7846	71274.08535	73428.8813	66971.05153	39232.72706	43307.82203	57238.1729	49720.7349	62842.3713	59128.25171	52629.71639	54220.84588	0.666058325923	0.804267506116
1417580_s_at	Selenbp1			selenium binding protein 1	0.000299970003	38081.4291	38236.42444	38443.97782	25267.58216	13463.81838	13721.39936	17063.07449	15710.59282	19457.65191	21391.79612	19749.52042	21449.70224	0.428187789571	0.585938829761
1421074_at	Cyp7b1			"cytochrome P450, family 7, subfamily b, polypeptide 1"	0.000299970003	32723.73948	25750.98505	33987.81508	20679.87722	11004.30186	7940.862503	11711.43306	10104.63788	12805.97963	13628.88578	14251.538	15126.2841	0.360264845361	0.493295875002
1435084_at	C730049O14Rik			RIKEN cDNA C730049O14 gene	0.000899910008999	26782.07276	21420.72961	17179.0186	21801.04999	17722.32176	12599.59727	14563.60604	13086.39407	10242.42707	10797.7268	11124.16941	9507.432	0.664946204474	0.477980993527
1417071_s_at	Cyp4v3			"cytochrome P450, family 4, subfamily v, polypeptide 3"	0.000299970003	16674.89435	15817.34678	17179.0186	14782.06293	9328.956496	10566.35379	10452.49694	8081.850785	13482.02888	13946.15693	12565.5831	12000.27627	0.596240138212	0.806693014948
1429399_at	Rnf125			ring finger protein 125	0.000299970003	20457.04296	17578.93441	13336.84686	16011.26861	13086.39407	9794.865726	11491.50393	9494.590084	8485.47673	8789.467204	8269.990748	7096.883951	0.65100459116	0.484414306957
1421075_s_at	Cyp7b1			"cytochrome P450, family 7, subfamily b, polypeptide 1"	0.000299970003	22278.43083	17988.28467	25646.60074	13833.32168	6291.289346	4412.62062	7718.260383	5992.033607	8147.772596	8554.690826	8897.226717	10214.70557	0.306147125356	0.449102264912
1420722_at	Elovl3			"elongation of very long chain fatty acids (FEN1/Elo2, SUR4/Elo3, yeast)-like 3"	0.012598740126	19803.11827	18632.7113	26891.07856	19431.2353	4910.723915	5391.533657	11648.12401	3720.626873	6057.261582	4448.613359	5398.863402	3057.485624	0.302873652208	0.223721558775
1418858_at	Aox3			aldehyde oxidase 3	0.021097890211	13482.02888	13033.34701	12875.49252	12016.50726	8214.232116	8462.569138	12246.48412	7739.206826	8269.990748	9405.050664	9141.403708	9874.760209	0.713175720841	0.71373426188
1420531_at	Hsd3b5			"hydroxy-delta-5-steroid dehydrogenase, 3 beta- and steroid delta-isomerase 5"	0.000299970003	15457.50659	14682.39805	13336.84686	11967.88005	6713.689033	4786.017644	7962.357871	7222.887577	8158.792873	10132.06067	9995.825495	8192.0	0.481290097508	0.657929866575
1440327_at	AI195470			expressed sequence AI195470	0.000499950005	16098.18032	13518.6175	13721.39936	10495.03967	13445.53928	10353.92391	7106.482847	9203.519822	6173.187945	5093.529551	7106.482847	5413.477754	0.745068812614	0.441858589393
1454971_x_at	Tsc22d1			"TSC22 domain family, member 1"	0.01899810019	12430.18373	8125.720355	13318.74014	15753.22951	5340.688408	7252.285473	10974.59439	4991.161947	3375.066002	6516.673504	7361.071146	5100.454162	0.575457461073	0.450417540219
1450644_at	Zfp36l1			"zinc finger protein 36, C3H type-like 1"	0.000699930006999	10214.70557	11507.04677	12196.84171	10353.92391	8462.569138	6944.812362	7676.590629	8636.134519	6351.184653	7676.590629	5128.140237	5233.35351	0.716473968719	0.550889584619
1420379_at	Slco1a1			"solute carrier organic anion transporter family, member 1a1"	0.02299770023	10311.95319	9689.389143	10552.00842	9104.348074	6073.700272	3553.241424	9354.274177	6368.421015	8485.47673	8849.191898	9584.981952	7010.929441	0.639210988983	0.855586204561
1423423_at	Pdia3			protein disulfide isomerase associated 3	0.000299970003	8147.772596	8247.664887	10009.34536	9430.574856	5660.838305	4382.869476	6351.184653	6731.909189	8114.74475	6944.812362	7271.967316	7512.097122	0.645362655991	0.832798204518
1423447_at	Clpx			caseinolytic peptidase X (E.coli)	0.000299970003	11094.06144	9755.161216	10270.15262	9848.102075	8730.206114	8462.569138	6040.909257	7802.333768	3680.535573	4466.719673	5730.240598	2815.118622	0.757576992381	0.407460149986
1427472_a_at	C8b			"complement component 8, beta polypeptide"	0.004399560044	6963.659759	8027.305006	6481.490941	5018.254767	4509.24443	3631.047279	4484.899682	3596.804424	4265.768623	4151.825231	4683.463155	4620.489547	0.612365449071	0.668972112849
1426215_at	Ddc			dopa decarboxylase	0.000299970003	7106.482847	8059.976963	7381.04822	5737.99104	4904.090883	4019.10903	3917.045035	4472.761139	3567.703482	3766.242031	3680.535573	2681.21278	0.612080629872	0.484194881346
1418519_at	Aadat			aminoadipate aminotransferase	0.00509949005099	6377.034629	6842.130948	7058.568917	4312.234742	3601.669285	3705.544923	4068.355402	3271.598518	4029.988482	4062.860177	3761.128808	3859.130191	0.595656220121	0.639004770896
1417070_at	Cyp4v3			"cytochrome P450, family 4, subfamily v, polypeptide 3"	0.000299970003	5800.453563	5524.545252	6065.496379	5031.873715	3082.40347	3280.477248	3700.539755	3045.091787	4503.153685	4412.62062	4595.544204	4180.037008	0.584617633989	0.789004747393
1425742_a_at	Tsc22d1			"TSC22 domain family, member 1"	0.01899810019	7106.482847	4079.396437	7039.464645	8394.100378	2560.606768	3611.443789	5226.248468	1764.642229	1419.040451	2908.097653	3938.307378	2325.926834	0.49448595178	0.397881044918
1425107_a_at	Lifr			leukemia inhibitory factor receptor	0.00559944005599	7068.115991	6106.669281	7760.210115	4460.686368	2620.215943	2777.266681	3425.716384	2291.553098	2681.21278	3171.302978	3329.685036	3267.179491	0.437663072534	0.490216423607
1433668_at	Pnrc1			proline-rich nuclear receptor coactivator 1	0.000299970003	7106.482847	4984.385716	6359.819036	6032.70784	4601.759911	3750.975176	3103.348495	3384.225531	2498.956374	2613.124234	2188.459545	1862.829605	0.606137704632	0.37426874801
1427250_at	Atp2a2			"ATPase, Ca++ transporting, cardiac muscle, slow twitch 2"	0.000699930006999	4101.540048	5539.538213	7431.202665	4715.287428	4448.613359	3514.978136	3766.242031	3616.32845	2677.591201	3036.850136	3094.94917	2495.580973	0.704354048449	0.51887256514
1417991_at	Dio1			"deiodinase, iodothyronine, type I"	0.000299970003	4484.899682	5895.465434	7940.862503	4382.869476	1075.140881	1510.227314	2526.159469	1386.75768	3715.601333	3236.368118	3175.592327	3167.019423	0.28621641798	0.585558683324
1437840_s_at	D2hgdh			D-2-hydroxyglutarate dehydrogenase	0.000599940005999	4564.528098	4347.408656	4527.597519	3735.770207	3107.545931	3505.46472	3848.711993	3338.721406	2773.51536	2227.315167	2553.676393	2488.826593	0.803505059609	0.584754321223
1423648_at	Pdia6			protein disulfide isomerase associated 6	0.002599740026	3500.729805	4509.24443	5276.004208	3901.166884	2445.408892	1911.368192	2849.632184	3302.745297	3467.715919	3201.494908	3145.644673	3078.239994	0.611454337824	0.750159217758
1454758_a_at	Tsc22d1			"TSC22 domain family, member 1"	0.01899810019	5442.900698	3253.935638	5935.525299	6248.871682	1880.564404	2357.643714	4146.217261	1430.61524	1169.284272	2048.0	3028.630791	1694.401434	0.470041231282	0.380260896301
