Probe Set	Gene Symbol	UniGene ID	Rep. Pub. ID	Gene Title	Pvalue	CON 1	CON 2	CON 3	CON 4	D3T 1	D3T 2	D3T 3	D3T 4	C10 1	C10 2	C10 3	C10 4	D3T(fold-change)	C10(fold-change)
1433445_x_at	Hmgcs1			3-hydroxy-3-methylglutaryl-Coenzyme A synthase 1	0.000799920007999	24826.78796	20401.81665	19616.36353	27000.52801	41247.81278	42667.79689	35253.2831	44496.67763	29444.28459	29684.45489	28619.08645	35396.76759	1.78196620695	1.34077988232
1433444_at	Hmgcs1			3-hydroxy-3-methylglutaryl-Coenzyme A synthase 1	0.001099890011	20540.30523	16450.68457	15753.22951	22008.60373	31979.06195	26457.88282	27591.76259	34404.50818	23968.13443	26279.31409	23613.7574	30416.78394	1.61108585124	1.39497059267
1451122_at	Idi1			isopentenyl-diphosphate delta isomerase	0.000599940005999	16720.14803	12582.57869	12875.49252	14059.91254	28310.70391	24759.59336	22158.15285	34218.7633	18481.95819	18531.98758	18989.18017	22399.36169	1.94613885554	1.39411614768
1422230_s_at	Cyp2a4 /// Cyp2a5 /// LOC100047711			"cytochrome P450, family 2, subfamily a, polypeptide 4 /// cytochrome P450, family 2, subfamily a, polypeptide 5 /// similar to Cytochrome P450, family 2, subfamily a, polypeptide 4"	0.000299970003	8969.799364	4140.616866	9702.494535	5879.509144	11199.68084	15881.72501	15085.34426	24426.67713	37164.56239	31763.45001	34034.02123	31124.86588	2.32094146995	4.67325167885
1416416_x_at	Gstm1			"glutathione S-transferase, mu 1"	0.011898810119	9278.590831	9104.348074	9481.765514	9834.731838	19092.25645	22038.37148	18912.20554	16948.03039	20291.52959	20820.2533	21420.72961	15415.67029	2.04222851862	2.06762197341
1422478_a_at	Acss2			acyl-CoA synthetase short-chain family member 2	0.000599940005999	12180.36715	10768.50237	7635.145845	12363.07499	22735.514	19040.71455	14862.40533	17531.4779	14543.93463	15562.43294	13946.15693	13264.75124	1.72701133341	1.3346020712
1448330_at	Gstm1			"glutathione S-transferase, mu 1"	0.00969903009699	7262.094558	6420.366771	7341.199026	7697.423986	16539.9815	19483.96937	15903.20585	14212.96569	17698.3838	19221.98891	19696.20415	13665.77824	2.30284210807	2.44706482059
1423257_at	Cyp4a14			"cytochrome P450, family 4, subfamily a, polypeptide 14"	0.000599940005999	8258.820273	1847.757866	2092.84536	7686.973609	17507.67636	15583.48192	21683.34933	18258.11239	11632.39061	14445.77515	10783.06731	7994.765487	3.67249128152	2.25561213092
1433446_at	Hmgcs1			3-hydroxy-3-methylglutaryl-Coenzyme A synthase 1	0.000499950005	7930.13659	5183.964057	4930.711067	7242.489638	15024.19424	17891.04455	12565.5831	20990.07935	10466.70702	10382.02323	9874.760209	13965.01981	2.62862771771	1.76723129317
1421040_a_at	Gsta2			"glutathione S-transferase, alpha 2 (Yc2)"	0.01899810019	6016.421801	3267.179491	5219.189249	6982.509906	9191.088407	13210.98119	12668.07769	15332.44335	20707.84781	14882.50749	15903.20585	6359.819036	2.34591044055	2.69269588893
1435007_s_at	AI132487			expressed sequence AI132487	0.000599940005999	7823.454149	6916.66084	7048.985879	9030.749421	9430.574856	9316.355651	12229.9425	8451.079964	14642.65961	16562.46746	13518.6175	14622.88142	1.2793038448	1.92559747804
1423418_at	Fdps			farnesyl diphosphate synthetase	0.001199880012	7983.966766	7232.6569	6420.366771	6731.909189	13591.99871	13500.26401	10753.95709	16384.0	9303.707338	7802.333768	8439.664888	10768.50237	1.91160815276	1.28007109344
1421041_s_at	Gsta1 /// Gsta2			"glutathione S-transferase, alpha 1 (Ya) /// glutathione S-transferase, alpha 2 (Yc2)"	0.01199880012	3293.829128	1609.436565	2655.927408	3338.721406	8706.577496	14290.11593	13536.90212	15838.74054	20961.72755	13647.31954	13852.03195	4388.79753	4.80572095261	4.84954039014
1422479_at	Acss2			acyl-CoA synthetase short-chain family member 2	0.000299970003	5776.940819	6148.164283	3917.045035	6148.164283	14642.65961	14426.2629	11275.78301	13482.02888	8337.447174	9116.72536	8236.467477	7908.673388	2.44774737514	1.52791418791
1417126_a_at	Rpl22l1			ribosomal protein L22 like 1	0.010798920108	6741.014439	6823.659771	5517.083117	6231.958885	13246.83422	9366.926309	8158.792873	8059.976963	8192.0	8825.24124	8861.16088	10826.95551	1.5340509485	1.45001853235
1449486_at	Ces1			carboxylesterase 1	0.000699930006999	6991.954106	5487.297196	4799.006328	7135.406964	8114.74475	9443.330188	8394.100378	8485.47673	9702.494535	10739.43146	9178.610162	9520.357276	1.41058921791	1.60323712494
1425627_x_at	Gstm1			"glutathione S-transferase, mu 1"	0.000299970003	3258.336752	3388.802868	4068.355402	4180.037008	8192.0	8203.080097	6024.559317	8125.720355	11806.8787	12396.62691	9405.050664	8508.505307	2.05063905791	2.82749629192
1427474_s_at	Gstm3			"glutathione S-transferase, mu 3"	0.012298770123	1508.17696	946.6707916	1698.999838	1438.380847	8694.817313	12180.36715	6926.015976	7441.253745	12229.9425	8849.191898	8624.469485	5398.863402	6.3020412316	6.27700883162
1435630_s_at	Acat2			acetyl-Coenzyme A acetyltransferase 2	0.000699930006999	4670.787192	3997.382744	3284.914261	4029.988482	9982.323894	10050.08442	7242.489638	11230.07545	4734.446316	4851.247267	4318.067259	5031.873715	2.40910957332	1.18473055446
1450646_at	Cyp51			"cytochrome P450, family 51"	0.000699930006999	3776.436989	3236.368118	3393.409917	3388.802868	7087.298019	6686.474394	6106.669281	10256.28047	4721.665094	5018.254767	5018.254767	6686.474394	2.18460913932	1.55452129094
1420654_a_at	Gbe1			"glucan (1,4-alpha-), branching enzyme 1"	0.00299970003	3289.357274	3631.047279	3171.302978	4877.580608	6131.524054	6786.819835	6402.989816	7491.765359	7001.45961	5800.453563	5645.517041	4884.211639	1.79120735836	1.55863402697
1420641_a_at	Sqrdl			sulfide quinone reductase-like (yeast)	0.000299970003	4595.544204	4365.103057	3781.571024	4773.064114	6215.091863	7291.652031	6499.080939	6455.217542	5072.882397	5413.477754	5038.67958	4825.056096	1.51074026511	1.16184800013
1451386_at	Blvrb			biliverdin reductase B (flavin reductase (NADPH))	0.00589941005899	3986.591315	3730.698353	4607.984025	3802.097992	5737.99104	5428.16929	6282.79155	7441.253745	5761.345254	6316.895541	5326.27056	4728.051386	1.54335164534	1.37236018201
1417382_at	Entpd5			ectonucleoside triphosphate diphosphohydrolase 5	0.019298070193	3986.591315	4168.723587	4341.506414	3750.975176	4300.563523	4382.869476	5135.076308	5577.140884	4944.058162	4964.180988	5532.017481	5276.004208	1.19374034507	1.27501971416
1418004_a_at	Tmem176b			transmembrane protein 176B	0.003199680032	3838.295315	4558.36268	4019.10903	3859.130191	5340.688408	5630.237245	4851.247267	4910.723915	4248.476884	4626.738995	5107.352786	4721.665094	1.2739187572	1.14926893305
1424683_at	Fam134b			"family with sequence similarity 134, member B"	0.000599940005999	4231.284569	2495.580973	2197.366801	3695.515732	5135.076308	3838.295315	4371.007081	4365.103057	6173.187945	5494.719045	6215.091863	6189.898339	1.4033149993	1.90755766668
1422557_s_at	Mt1			metallothionein 1	0.001099890011	302.792991	100.7263269	279.9268377	189.2898181	2609.594624	7203.338571	699.9810231	2465.355534	3210.183385	3171.302978	13175.31651	20961.72755	14.8707858312	46.4270199053
1423747_a_at	Pdk1			"pyruvate dehydrogenase kinase, isoenzyme 1"	0.013398660134	2912.031003	3167.019423	2445.408892	4057.372375	4595.544204	5052.318939	4632.996895	5472.445628	4747.295042	5384.251183	4079.396437	4708.885737	1.56998648114	1.50374197181
1416958_at	Nr1d2			"nuclear receptor subfamily 1, group D, member 2"	0.000299970003	1369.961847	1056.384996	700.9292406	1103.155155	3053.334641	3421.065474	4626.738995	3766.242031	8706.577496	7068.115991	6173.187945	9042.963969	3.51438903092	7.32569415577
1448130_at	Fdft1			farnesyl diphosphate farnesyl transferase 1	0.000499950005	2834.247438	2393.008822	1808.164225	2319.647708	6963.659759	7222.887577	4197.050189	7855.296412	2448.716432	2900.226782	3171.302978	3943.634139	2.80477847897	1.33231314554
1415998_at	Vdac1			voltage-dependent anion channel 1	0.00609939006099	3078.239994	2996.016803	2641.588446	3149.899317	4589.305081	4977.653186	4329.785982	4101.540048	4101.540048	4418.619541	4430.58044	3975.801462	1.51682721687	1.42650479331
1416222_at	Nsdhl			NAD(P) dependent steroid dehydrogenase-like	0.000299970003	2766.00874	2478.737875	2206.31031	2638.002104	5004.672679	5355.182402	4964.180988	6148.164283	3347.759095	3606.565725	3833.110837	3874.837248	2.1282659057	1.45328448003
1428942_at	Mt2			metallothionein 2	0.004599540046	137.7080417	60.79079581	188.9057755	154.711647	1534.954313	3991.983383	423.6012393	1498.008402	2799.920211	873.9966865	10753.95709	23264.78122	13.7397600603	69.5287302521
1452836_at	Lpin2			lipin 2	0.00959904009599	2221.302255	2571.028701	3175.592327	1594.258657	3853.917572	3859.130191	4478.84182	4702.525332	5176.961953	3938.307378	3843.486804	6065.496379	1.76679496594	1.98953048931
1426516_a_at	Lpin1			lipin 1	0.001599840016	579.911123	973.9703205	1779.036013	1264.796881	1676.155173	1852.772462	2405.998454	4838.117191	6722.769639	2706.738877	7718.260383	11507.04677	2.34313019235	6.23240453094
1459141_at	1810008I18Rik			RIKEN cDNA 1810008I18 gene	0.000299970003	2574.506148	2904.169616	1396.18074	2747.359522	4651.853669	4677.137089	5155.976597	4760.178638	3864.376647	3534.057995	2963.733478	3094.94917	2.00007419715	1.39854657738
1418760_at	Rdh11			retinol dehydrogenase 11	0.000299970003	2912.031003	2215.29022	1680.69241	2522.747325	5066.030333	3833.110837	3943.634139	4460.686368	3276.023521	3444.311717	3529.284459	3316.18781	1.85445343149	1.45388008203
