Probe Set ID	Gene Symbol	UniGene ID	Rep. Pub. ID	Gene Title	Pvalue	V_778	V_781	V_782	V_783	D_630	D_631	D_632	D_633	C_776_3umol	C_777_3umol	C_779_3umol	C_780_3umol	D3T(fold-change)	C3(fold-change)
1439624_at	Ugt2b35			"UDP glucuronosyltransferase 2 family, polypeptide B35"	0.000199980002	13121.90899	12213.33856	13591.99871	12980.51498	8360.074016	8508.505307	8636.134519	8789.467204	16361.86974	14742.15692	15499.34899	16833.64526	0.660675402421	1.2221105167
1438040_a_at	Hsp90b1			"heat shock protein 90, beta (Grp94), member 1"	0.000599940005999	9166.212394	11034.16623	14117.13783	11199.68084	6463.948552	6879.318805	8360.074016	7865.975623	18582.28119	21362.75363	16697.44799	13033.34701	0.649629563196	1.53075834986
1423447_at	Clpx			caseinolytic peptidase X (E.coli)	0.000199980002	11094.06144	9755.161216	10270.15262	9848.102075	8730.206114	8462.569138	6040.909257	7802.333768	13445.53928	12196.84171	11951.6319	11169.44592	0.757576992381	1.19029683942
1439153_at	Rnf144b			ring finger protein 144B	0.000199980002	2529.593762	2688.489273	2706.738877	2706.738877	1862.829605	1638.011761	1583.509712	2482.090494	3210.183385	3307.235352	2959.730293	2777.266681	0.711696214899	1.1526450306
1416525_at	Spop			speckle-type POZ protein	0.000199980002	1301.265831	1308.338377	1266.507583	1257.968429	902.8603214	1003.415212	1177.221434	1046.42268	1526.66732	1622.564372	1776.620712	1360.725175	0.804412761474	1.2244798113
1439342_at	Clpx			Caseinolytic peptidase X (E.coli)	0.001399860014	1162.963417	1177.221434	1287.253074	1066.442156	1079.516815	783.2239114	289.9555615	510.6156692	1261.373663	1383.00437	1346.062796	1452.084808	0.567400937208	1.15949396727
1436746_at	Wnk1			WNK lysine deficient protein kinase 1	0.000199980002	699.0340883	782.1643656	819.0081511	728.9954501	576.7790687	685.9097723	611.3517992	641.8854283	1319.001052	1324.369522	1440.336314	1287.253074	0.830557362215	1.7730609792
1430981_s_at	Gpbp1			GC-rich promoter binding protein 1	0.000199980002	889.5149237	847.2024787	826.8065456	804.7205139	696.2004807	778.9943207	669.3973363	687.7693432	1032.352534	946.6707916	953.100145	983.2442268	0.840901399212	1.16243572629
1426777_a_at	Wasl			Wiskott-Aldrich syndrome-like (human)	0.000199980002	675.7711734	613.8400639	855.2687398	843.768255	555.3247939	500.3511036	603.9481974	505.1153239	993.9510544	1242.732438	1221.05291	1086.852164	0.7243205793	1.52061675161
1424344_s_at	Eif1a			eukaryotic translation initiation factor 1A	0.001499850015	763.3347184	747.9899106	913.9288217	817.9001964	603.9481974	607.2277868	676.6865954	762.3020787	947.9531833	935.2064048	902.8603214	971.3369277	0.817156677319	1.15855036364
