Probe Set ID	Gene Symbol	UniGene ID	Rep. Pub. ID	Gene Title	Pvalue	V_778	V_781	V_782	V_783	D_630	D_631	D_632	D_633	C_776_3umol	C_777_3umol	C_779_3umol	C_780_3umol	D3T(fold-change)	C3(fold-change)
1418438_at	Fabp2			"fatty acid binding protein 2, intestinal"	0.000199980002	3236.368118	2955.732514	2865.120299	3271.598518	9166.212394	6552.047043	4570.701854	3370.507219	2067.497687	1982.534147	2227.315167	2370.441378	1.91903763437	0.701428747073
1437840_s_at	D2hgdh			D-2-hydroxyglutarate dehydrogenase	0.000299970003	4564.528098	4347.408656	4527.597519	3735.770207	3107.545931	3505.46472	3848.711993	3338.721406	2784.803853	3103.348495	2560.606768	2807.518862	0.803505059609	0.655375745513
1422526_at	Acsl1			acyl-CoA synthetase long-chain family member 1	0.001899810019	3416.444559	4046.39095	4118.233739	2415.791115	2332.239124	2959.730293	3103.348495	2841.93925	1611.624581	1375.537733	1396.18074	2279.18134	0.802841270869	0.476001347532
1427369_at	Nlrp6			"NLR family, pyrin domain containing 6"	0.001199880012	1239.368937	1201.374307	1144.228921	1178.821857	1011.59914	1103.155155	1075.140881	1070.782685	770.6030041	836.9420943	838.0764247	1066.442156	0.894387507378	0.73724087626
1449325_at	Fads2			fatty acid desaturase 2	0.000299970003	850.6500903	902.8603214	812.382865	807.9952491	1717.494781	1835.299757	1089.794198	883.5138865	507.8578742	624.7386604	721.1427207	722.1196045	1.63790314358	0.763468869852
1427052_at	Acacb /// LOC100047358			acetyl-Coenzyme A carboxylase beta /// similar to acetyl-Coenzyme A carboxylase beta	0.001799820018	465.707724	456.9644109	381.1510394	587.0200622	1226.022721	959.5738287	718.2194934	521.7966964	351.4147654	195.2765633	420.1742674	292.7162443	1.81168521714	0.666148211594
1435452_at	LOC100047579 /// Tmem20			similar to transmembrane protein 20 /// transmembrane protein 20	0.000699930006999	405.0929031	388.4440492	449.6005531	454.4963821	604.7663256	693.37884	629.8340744	523.2113401	315.7708092	338.3432977	310.6824634	394.8059713	1.44388645759	0.800880891699
1448218_s_at	Ywhaz			"tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein, zeta polypeptide"	0.001299870013	348.5720301	340.64117	323.1226337	292.7162443	388.9702483	398.0260376	386.8694507	345.2843176	225.8679874	235.5489352	192.390133	304.0251789	1.164053205	0.733941771806
1451242_a_at	Ppp5c			"protein phosphatase 5, catalytic subunit"	0.001299870013	308.5864704	318.7775013	301.1576299	289.9555615	304.4370214	367.4703403	410.0590876	341.1028503	224.8002765	239.4067469	275.0435003	267.3340883	1.16790805991	0.826100515039
1450007_at	1500003O03Rik			RIKEN cDNA 1500003O03 gene	0.001299870013	417.9049393	400.7292476	375.516893	318.7775013	322.2487607	263.739345	346.2204184	299.5313088	159.1731294	185.1084572	212.6625226	145.6662659	0.814142748181	0.464404191864
