Probe Set ID	Gene Symbol	UniGene ID	Rep. Pub. ID	Gene Title	Pvalue	V_778	V_781	V_782	V_783	D_630	D_631	D_632	D_633	C_776_3umol	C_777_3umol	C_779_3umol	C_780_3umol	D3T(fold-change)	C3(fold-change)
1421921_at	Serpina3m			"serine (or cysteine) peptidase inhibitor, clade A, member 3M"	0.002599740026	8360.074016	8520.013494	8577.907242	11275.78301	13795.88129	15044.51523	11951.6319	17366.02566	13086.39407	13282.78456	11475.98208	13500.26401	1.5832309559	1.39777142043
1423909_at	Tmem176a			transmembrane protein 176A	0.001199880012	3258.336752	3289.357274	3425.716384	2872.875982	4163.092792	4552.174037	4024.54508	3750.975176	5391.533657	6198.313455	4977.653186	4163.092792	1.28370071955	1.61374209304
1423141_at	Lipa			lysosomal acid lipase A	0.000999900009999	1311.879959	1403.759431	1256.260553	1461.941635	1644.678637	2115.642284	1598.585286	1635.799259	2303.992013	2458.68296	1715.17492	1987.900731	1.2872486924	1.55796787641
1422072_a_at	Gstm6			"glutathione S-transferase, mu 6"	0.002199780022	760.2409884	825.6880412	668.4917752	703.7816069	1987.900731	1566.446737	1263.079735	1043.590499	798.2102529	966.0914832	1172.449444	1073.688662	1.98127676417	1.35570163361
1418171_at	LOC100045031 /// Tceal8			similar to transcription elongation factor A (SII)-like 8 /// transcription elongation factor A (SII)-like 8	0.002499750025	635.8311998	583.059781	498.9982688	723.0978117	1471.875572	1769.418994	1275.113541	1236.014541	945.3901348	991.2636383	1311.879959	688.7010183	2.35659694359	1.61296829992
1437040_at	Etnk2			ethanolamine kinase 2	0.001399860014	602.3152597	601.5004473	683.129839	656.8294482	728.0092646	889.5149237	883.5138865	901.6389314	727.0239093	794.9751754	819.0081511	700.9292406	1.33764857897	1.19583551349
1425626_at	Gstm1			"glutathione S-transferase, mu 1"	0.001599840016	155.4463574	220.2812668	243.8225923	263.0262541	556.0770553	558.3399591	369.9662866	547.116024	345.7520512	320.5085427	387.918293	546.3758851	2.30178278333	1.81350265424
1450786_x_at	Pdlim5			PDZ and LIM domain 5	0.000599940005999	209.3772669	251.5338931	260.8983482	284.5116662	301.9740987	298.3171274	378.0674934	297.5105462	360.0835792	343.4194642	386.8694507	427.6343699	1.26785493355	1.50847155224
1444458_at	---			---	0.001599840016	215.9993259	220.1322943	150.3751118	209.0940212	252.2160018	240.0559692	343.4194642	270.6112487	221.477449	251.3637851	244.9804817	224.8002765	1.39052493283	1.18479273493
1421987_at	Papss2			3'-phosphoadenosine 5'-phosphosulfate synthase 2	0.001099890011	149.8670069	113.6240955	111.4154118	107.0534886	221.0281022	336.9717878	234.594113	182.4957429	176.0645931	192.2598896	193.5657646	159.1731294	2.02317565822	1.49610625884
1421156_a_at	Dsc2			desmocollin 2	0.001099890011	124.0758046	116.9799121	88.21126491	116.426931	167.1229438	192.5203312	208.1056033	159.3887506	146.9538148	161.8896564	163.3206042	142.6415031	1.6314730992	1.37943454264
1428636_at	Steap2			six transmembrane epithelial antigen of prostate 2	0.002599740026	81.49462477	92.42895711	64.91626092	129.1313066	250.0061891	178.5852354	211.9439537	145.4692085	131.7803999	105.4710319	156.8203528	163.9852222	2.13604949187	1.51657815486
1455933_at	---			---	0.001199880012	27.7597371	32.52411735	33.07918993	32.96741812	34.96719099	35.41979605	38.13199217	39.28476431	39.2581967	50.53391329	39.12554654	39.36462965	1.16997706329	1.33208002923
1460406_at	Pls1			plastin 1 (I-isoform)	0.002199780022	4.774570631	9.552371862	6.62100858	9.988811279	42.17856186	75.95484031	18.87338117	37.90039555	18.89894768	14.16940232	39.07261748	13.24201716	5.65370018038	2.7599198542
1452001_at	Nfe2			"nuclear factor, erythroid derived 2"	0.001699830017	4.615679338	4.607876339	4.618806157	4.620368759	13.35002002	29.40378556	4.625062944	81.66030212	4.625062944	4.62193189	4.632895047	4.626627664	6.98917042601	1.00237164009
