Probe Set ID	Gene Symbol	UniGene ID	Rep. Pub. ID	Gene Title	Pvalue	V_778	V_781	V_782	V_783	D_630	D_631	D_632	D_633	C_776_3umol	C_777_3umol	C_779_3umol	C_780_3umol	D3T(fold-change)	C3(fold-change)
1434110_x_at	Mup1 /// Mup10 /// Mup2			major urinary protein 1 /// major urinary protein 10 /// major urinary protein 2	0.000899910008999	72834.7846	71274.08535	73428.8813	66971.05153	39232.72706	43307.82203	57238.1729	49720.7349	67517.31911	66249.86985	62672.72056	57705.0516	0.666058325923	0.893276266452
1417580_s_at	Selenbp1			selenium binding protein 1	0.000899910008999	38081.4291	38236.42444	38443.97782	25267.58216	13463.81838	13721.39936	17063.07449	15710.59282	26208.18817	20735.85623	24826.78796	23422.86611	0.428187789571	0.679812162867
1420722_at	Elovl3			"elongation of very long chain fatty acids (FEN1/Elo2, SUR4/Elo3, yeast)-like 3"	0.000399960004	19803.11827	18632.7113	26891.07856	19431.2353	4910.723915	5391.533657	11648.12401	3720.626873	16141.86887	5630.237245	14309.54322	15085.34426	0.302873652208	0.603682330976
1417071_s_at	Cyp4v3			"cytochrome P450, family 4, subfamily v, polypeptide 3"	0.000199980002	16674.89435	15817.34678	17179.0186	14782.06293	9328.956496	10566.35379	10452.49694	8081.850785	13702.86554	14563.60604	14155.35195	12413.39398	0.596240138212	0.850774098944
1417070_at	Cyp4v3			"cytochrome P450, family 4, subfamily v, polypeptide 3"	0.000199980002	5800.453563	5524.545252	6065.496379	5031.873715	3082.40347	3280.477248	3700.539755	3045.091787	4696.173518	4997.912747	4753.716	4323.937636	0.584617633989	0.837188076656
1437840_s_at	D2hgdh			D-2-hydroxyglutarate dehydrogenase	0.000299970003	4564.528098	4347.408656	4527.597519	3735.770207	3107.545931	3505.46472	3848.711993	3338.721406	2784.803853	3103.348495	2560.606768	2807.518862	0.803505059609	0.655375745513
1452975_at	Agxt2l1			alanine-glyoxylate aminotransferase 2-like 1	0.000999900009999	6131.524054	3965.068295	4779.553055	4312.234742	2048.0	1694.401434	2896.309376	1383.00437	2396.245488	3347.759095	3402.595644	4002.817152	0.418050670195	0.685280220579
1423397_at	Ugt2b38			"UDP glucuronosyltransferase 2 family, polypeptide B38"	0.000299970003	1852.772462	4013.652503	3587.069543	1244.413297	499.6742283	132.9452111	265.5305415	179.5548734	1622.564372	684.9818732	1082.446495	560.6120716	0.100739777716	0.369287610607
1416551_at	Atp2a2			"ATPase, Ca++ transporting, cardiac muscle, slow twitch 2"	0.001799820018	1442.284442	1311.879959	1932.188323	1373.679761	790.6815771	842.6268048	1011.59914	826.8065456	1018.470163	1347.883414	1214.452207	991.2636383	0.572887039153	0.754462857025
1427369_at	Nlrp6			"NLR family, pyrin domain containing 6"	0.001199880012	1239.368937	1201.374307	1144.228921	1178.821857	1011.59914	1103.155155	1075.140881	1070.782685	770.6030041	836.9420943	838.0764247	1066.442156	0.894387507378	0.73724087626
1418301_at	Irf6			interferon regulatory factor 6	0.000599940005999	1092.75177	1167.696798	1190.044659	1110.651128	858.7497716	735.9367658	798.2102529	721.1427207	984.576162	810.1858061	1036.554315	1088.322187	0.682732066479	0.859354180668
1436519_a_at	1110057K04Rik			RIKEN cDNA 1110057K04 gene	0.001199880012	893.1347219	1109.143256	1028.167785	885.9097962	759.2120077	827.9265651	793.8997325	709.5217009	745.9675171	728.9954501	690.5686352	645.3705791	0.789141833412	0.717734163582
1429054_at	Mrpl47			mitochondrial ribosomal protein L47	0.000599940005999	854.1117317	871.6335995	817.9001964	753.0704366	640.1499171	676.6865954	629.8340744	541.9556554	735.9367658	721.1427207	737.9319649	647.9973038	0.754880392889	0.862376008753
1423693_at	Cela1			"chymotrypsin-like elastase family, member 1"	0.000199980002	1130.370496	882.3186684	1092.75177	923.8808541	528.19323	477.1959538	514.7802878	437.590619	565.1844645	553.8229389	876.3667875	599.0626177	0.485878317336	0.643889206368
1451012_a_at	Csda			cold shock domain protein A	0.001399860014	987.246132	826.8065456	776.8880983	697.1440602	553.8229389	539.7591557	458.823985	410.0590876	598.2517908	481.7393625	559.8536753	678.5211613	0.596841403134	0.705080953036
1418151_at	Mtmr4			myotubularin related protein 4	0.001799820018	466.9706285	554.5731658	518.2764391	516.1759093	420.1742674	397.4875877	358.6239428	392.1424462	421.3134024	475.2615902	401.8159437	426.4781444	0.762855635536	0.83894567936
1456074_at	Sdr9c7			"4short chain dehydrogenase/reductase family 9C, member 7"	0.000399960004	511.3073661	677.6032575	635.8311998	541.2224974	228.1729564	240.8696813	329.3050897	316.198782	438.7769715	320.9427142	364.0046323	437.590619	0.471074943777	0.659906374443
1424654_at	Acp2			"acid phosphatase 2, lysosomal"	0.00299970003	584.6405151	453.2675279	455.7285678	439.9665403	288.7801964	387.918293	350.9393713	349.9905115	408.9500982	434.6384509	409.5040756	310.6824634	0.712466966873	0.808736315521
1418694_at	Kcmf1			potassium channel modulatory factor 1	0.000599940005999	305.6758996	315.3436342	295.9037152	266.2506062	233.9598242	245.1464399	237.9526976	203.2331594	252.899785	254.4451708	278.0385276	250.5144479	0.777816478158	0.875524697192
1435701_at	---			---	0.001399860014	361.0598023	284.1267786	286.4439388	303.2031644	255.4806118	214.1069772	231.5963972	188.9057755	257.0417682	253.0709325	237.9526976	261.2517698	0.720817526409	0.817370939177
1430785_at	Sdr9c7			"4short chain dehydrogenase/reductase family 9C, member 7"	0.003099690031	243.3279103	315.7708092	319.2093278	244.3181106	97.96931175	95.74033838	193.1730467	171.9423358	195.012393	176.3030961	181.1419647	183.3625243	0.497783726753	0.655445245883
1438218_at	Zbtb24			zinc finger and BTB domain containing 24	0.002699730027	210.6567012	229.7227616	205.1682956	228.018647	183.4866131	178.2229109	185.9876479	125.4269015	190.8336796	156.9264794	195.8059778	200.0935704	0.770547114952	0.851291559065
1451418_a_at	Spsb4			splA/ryanodine receptor domain and SOCS box containing 4	0.001299870013	275.0435003	207.4024318	210.6567012	206.9816413	107.5618751	116.1907976	174.286015	174.7585221	178.1023818	190.9628245	185.1084572	153.148667	0.636381754425	0.78584011571
1454373_x_at	Ubc			ubiquitin C	0.002099790021	204.8907438	214.9782656	312.7926928	338.8016287	174.9952558	152.9414874	194.090541	130.0964694	131.335125	156.6082061	95.93491055	63.22494624	0.608629091443	0.417282771137
1429971_at	Txnrd2			thioredoxin reductase 2	0.00199980002	185.9876479	216.8783151	185.4846513	222.5293779	131.6021273	149.7656544	179.1907058	182.6192451	129.8325218	130.3608632	114.8613808	167.0098057	0.793184859396	0.668489266863
1437849_x_at	Armcx2			"armadillo repeat containing, X-linked 2"	0.000199980002	185.735915	192.7811256	198.0722552	184.6078383	134.5749426	116.8216616	115.0169758	129.7446284	171.7097321	147.7517082	137.8012343	139.0192638	0.651813027366	0.783347587225
1457552_at	Zfp295			zinc finger protein 295	0.000899910008999	131.335125	190.1888686	235.8680176	149.7656544	95.28775984	89.65598571	119.2989884	122.6562552	145.2724177	125.51187	121.6639551	130.9800249	0.603682898336	0.740186090263
1431830_at	Zfp329			zinc finger protein 329	0.001399860014	136.1324317	160.5799546	195.8059778	161.9993259	97.70442515	92.36644899	117.5355196	128.0	154.2932352	120.2719163	130.0083973	135.9482717	0.665537999042	0.825832255962
1435234_at	Ncoa2			nuclear receptor coactivator 2	0.000899910008999	87.14300752	100.5219672	72.58708623	88.09193266	67.28747131	68.90061714	81.16427781	71.17605168	64.04335579	67.79034933	52.48622746	53.56296802	0.82828589909	0.682896518854
1431972_a_at	Gcap14			granule cell antiserum positive 14	0.000399960004	68.1584206	68.62136886	84.4142116	67.33300747	44.94952609	43.68963052	58.13471429	45.37752443	58.2134655	59.00695066	59.00695066	51.2920739	0.665973685822	0.78855508841
1430863_at	4933411B09Rik			RIKEN cDNA 4933411B09 gene	0.000199980002	56.0101738	85.16029251	88.39053582	63.31059284	54.5878511	51.64046191	53.70818265	51.18800944	38.13199217	49.38417829	46.59140721	50.91158233	0.720877369899	0.631741565852
1430034_at	Cct4			"chaperonin containing Tcp1, subunit 4 (delta)"	0.002399760024	64.56565331	63.31059284	66.69792619	72.04857543	55.36936226	52.6641753	51.3268209	52.77124078	49.15073208	48.95149446	53.20160998	48.9183894	0.795624533219	0.750957026715
1423259_at	Id4 /// LOC100045546			inhibitor of DNA binding 4 /// similar to Id4	0.001699830017	31.80564635	32.19554128	33.37155482	29.10673275	16.30614676	14.62743599	21.43468038	21.33335552	23.64522557	21.20378629	22.32315443	26.08372483	0.582716037788	0.737320351563
1419288_at	Jam2			junction adhesion molecule 2	0.001699830017	12.50161869	7.794205664	6.236017601	10.54820785	4.648602284	7.707638988	4.637601959	4.647030134	4.645455294	4.636033528	4.631328208	4.634462415	0.583625790116	0.500195645436
