Probe Set ID	Gene Symbol	UniGene ID	Rep. Pub. ID	Gene Title	Pvalue	V_778	V_781	V_782	V_783	D_630	D_631	D_632	D_633	C_776_3umol	C_777_3umol	C_779_3umol	C_780_3umol	D3T(fold-change)	C3(fold-change)
1421921_at	Serpina3m			"serine (or cysteine) peptidase inhibitor, clade A, member 3M"	0.002599740026	8360.074016	8520.013494	8577.907242	11275.78301	13795.88129	15044.51523	11951.6319	17366.02566	13086.39407	13282.78456	11475.98208	13500.26401	1.5832309559	1.39777142043
1422070_at	Adh4			"alcohol dehydrogenase 4 (class II), pi polypeptide"	0.000199980002	9650.112193	8945.522277	8485.47673	9316.355651	13282.78456	15044.51523	12246.48412	15903.20585	10339.93861	11306.30578	9982.323894	9821.44783	1.55167363683	1.13881595892
1425627_x_at	Gstm1			"glutathione S-transferase, mu 1"	0.000799920007999	3258.336752	3388.802868	4068.355402	4180.037008	8192.0	8203.080097	6024.559317	8125.720355	4721.665094	4271.5679	5176.961953	7222.887577	2.05063905791	1.43620801734
1418004_a_at	Tmem176b			transmembrane protein 176B	0.000499950005	3838.295315	4558.36268	4019.10903	3859.130191	5340.688408	5630.237245	4851.247267	4910.723915	6534.358983	7532.484063	6334.038846	5428.16929	1.2739187572	1.58704849801
1427474_s_at	Gstm3			"glutathione S-transferase, mu 3"	0.000199980002	1508.17696	946.6707916	1698.999838	1438.380847	8694.817313	12180.36715	6926.015976	7441.253745	2182.551529	2543.324799	5435.511166	3750.975176	6.3020412316	2.48780299799
1423909_at	Tmem176a			transmembrane protein 176A	0.001199880012	3258.336752	3289.357274	3425.716384	2872.875982	4163.092792	4552.174037	4024.54508	3750.975176	5391.533657	6198.313455	4977.653186	4163.092792	1.28370071955	1.61374209304
1415998_at	Vdac1			voltage-dependent anion channel 1	0.000199980002	3078.239994	2996.016803	2641.588446	3149.899317	4589.305081	4977.653186	4329.785982	4101.540048	3843.486804	3448.970324	3885.353097	3538.837989	1.51682721687	1.24026335976
1418129_at	Dhcr24			24-dehydrocholesterol reductase	0.000399960004	1774.220988	1676.155173	1502.063407	1613.804385	3895.87048	5347.949029	2987.907976	3975.801462	2064.705068	3154.181579	2273.012653	2641.588446	2.46831050796	1.54327006711
1423141_at	Lipa			lysosomal acid lipase A	0.000999900009999	1311.879959	1403.759431	1256.260553	1461.941635	1644.678637	2115.642284	1598.585286	1635.799259	2303.992013	2458.68296	1715.17492	1987.900731	1.2872486924	1.55796787641
1456777_at	Mgam			maltase-glucoamylase	0.000199980002	1167.696798	1175.631333	1050.681728	1259.669895	2031.430089	2012.27254	1705.914943	1611.624581	1394.285221	1564.3309	1471.875572	1438.380847	1.58181107041	1.26112514187
1416411_at	Gstm2			"glutathione S-transferase, mu 2"	0.000199980002	662.186597	503.0677863	641.0170853	512.0	2811.316174	3145.644673	1438.380847	1880.564404	753.0704366	888.3115874	993.9510544	794.9751754	4.00121652	1.47968359196
1422072_a_at	Gstm6			"glutathione S-transferase, mu 6"	0.002199780022	760.2409884	825.6880412	668.4917752	703.7816069	1987.900731	1566.446737	1263.079735	1043.590499	798.2102529	966.0914832	1172.449444	1073.688662	1.98127676417	1.35570163361
1418171_at	LOC100045031 /// Tceal8			similar to transcription elongation factor A (SII)-like 8 /// transcription elongation factor A (SII)-like 8	0.002499750025	635.8311998	583.059781	498.9982688	723.0978117	1471.875572	1769.418994	1275.113541	1236.014541	945.3901348	991.2636383	1311.879959	688.7010183	2.35659694359	1.61296829992
