Probe Set ID	Gene Symbol	UniGene ID	Rep. Pub. ID	Gene Title	Pvalue	V_778	V_781	V_782	V_783	D_630	D_631	D_632	D_633	C_776_3umol	C_777_3umol	C_779_3umol	C_780_3umol	D3T(fold-change)	C3(fold-change)
1434110_x_at	Mup1 /// Mup10 /// Mup2			major urinary protein 1 /// major urinary protein 10 /// major urinary protein 2	0.000899910008999	72834.7846	71274.08535	73428.8813	66971.05153	39232.72706	43307.82203	57238.1729	49720.7349	67517.31911	66249.86985	62672.72056	57705.0516	0.666058325923	0.893276266452
1433445_x_at	Hmgcs1			3-hydroxy-3-methylglutaryl-Coenzyme A synthase 1	0.002299770023	24826.78796	20401.81665	19616.36353	27000.52801	41247.81278	42667.79689	35253.2831	44496.67763	21449.70224	29845.58683	25131.1662	31634.69355	1.78196620695	1.17655359653
1417580_s_at	Selenbp1			selenium binding protein 1	0.000899910008999	38081.4291	38236.42444	38443.97782	25267.58216	13463.81838	13721.39936	17063.07449	15710.59282	26208.18817	20735.85623	24826.78796	23422.86611	0.428187789571	0.679812162867
1421074_at	Cyp7b1			"cytochrome P450, family 7, subfamily b, polypeptide 1"	0.001699830017	32723.73948	25750.98505	33987.81508	20679.87722	11004.30186	7940.862503	11711.43306	10104.63788	23233.35693	20374.1182	22098.18101	17818.52134	0.360264845361	0.738221613257
1420722_at	Elovl3			"elongation of very long chain fatty acids (FEN1/Elo2, SUR4/Elo3, yeast)-like 3"	0.000399960004	19803.11827	18632.7113	26891.07856	19431.2353	4910.723915	5391.533657	11648.12401	3720.626873	16141.86887	5630.237245	14309.54322	15085.34426	0.302873652208	0.603682330976
1421075_s_at	Cyp7b1			"cytochrome P450, family 7, subfamily b, polypeptide 1"	0.001699830017	22278.43083	17988.28467	25646.60074	13833.32168	6291.289346	4412.62062	7718.260383	5992.033607	15394.84797	13739.95825	15024.19424	11727.27337	0.306147125356	0.700797867944
1417071_s_at	Cyp4v3			"cytochrome P450, family 4, subfamily v, polypeptide 3"	0.000199980002	16674.89435	15817.34678	17179.0186	14782.06293	9328.956496	10566.35379	10452.49694	8081.850785	13702.86554	14563.60604	14155.35195	12413.39398	0.596240138212	0.850774098944
1439624_at	Ugt2b35			"UDP glucuronosyltransferase 2 family, polypeptide B35"	0.000199980002	13121.90899	12213.33856	13591.99871	12980.51498	8360.074016	8508.505307	8636.134519	8789.467204	16361.86974	14742.15692	15499.34899	16833.64526	0.660675402421	1.2221105167
1421921_at	Serpina3m			"serine (or cysteine) peptidase inhibitor, clade A, member 3M"	0.002599740026	8360.074016	8520.013494	8577.907242	11275.78301	13795.88129	15044.51523	11951.6319	17366.02566	13086.39407	13282.78456	11475.98208	13500.26401	1.5832309559	1.39777142043
1438040_a_at	Hsp90b1			"heat shock protein 90, beta (Grp94), member 1"	0.000599940005999	9166.212394	11034.16623	14117.13783	11199.68084	6463.948552	6879.318805	8360.074016	7865.975623	18582.28119	21362.75363	16697.44799	13033.34701	0.649629563196	1.53075834986
