Probe Set ID	Gene Symbol	UniGene ID	Rep. Pub. ID	Gene Title	Pvalue	V_778	V_781	V_782	V_783	C_776_3umol	C_777_3umol	C_779_3umol	C_780_3umol	C_767_10umol	C_768_10umol	C_769_10umol	C_770_10umol	C_634_30umol	C_635_30umol	C_636_30umol	C_637_30umol	C3(fold-change)	C10(fold-change)	C30(fold-change)
1451122_at	Idi1			isopentenyl-diphosphate delta isomerase	0.00699930006999	16720.14803	12582.57869	12875.49252	14059.91254	10580.64532	15499.34899	13908.41115	16361.86974	18481.95819	18531.98758	18989.18017	22399.36169	18036.97772	14097.97176	16539.9815	20073.01907	1.00199408153	1.39411614768	1.22244370277
1433446_at	Hmgcs1			3-hydroxy-3-methylglutaryl-Coenzyme A synthase 1	0.017198280172	7930.13659	5183.964057	4930.711067	7242.489638	5205.063324	9995.825495	8125.720355	9191.088407	10466.70702	10382.02323	9874.760209	13965.01981	10396.06544	6907.318341	9755.161216	10826.95551	1.28592992698	1.76723129317	1.49820259504
1423418_at	Fdps			farnesyl diphosphate synthetase	0.00689931006899	7983.966766	7232.6569	6420.366771	6731.909189	5149.012296	6668.423431	6650.375102	6282.79155	9303.707338	7802.333768	8439.664888	10768.50237	9129.056195	6543.197036	7770.706194	7645.472768	0.872455495465	1.28007109344	1.09586316716
1416222_at	Nsdhl			NAD(P) dependent steroid dehydrogenase-like	0.00699930006999	2766.00874	2478.737875	2206.31031	2638.002104	2161.968818	2758.541558	2458.68296	2975.796179	3347.759095	3606.565725	3833.110837	3874.837248	3720.626873	2536.441199	2857.365747	3124.435841	1.0263583041	1.45328448003	1.21308336336
1436339_at	1810058I24Rik			RIKEN cDNA 1810058I24 gene	0.016098390161	1852.772462	1921.743402	2087.180999	2188.459545	2017.733609	2233.359836	2164.892991	2419.058596	2452.045441	3069.908626	3103.348495	4436.573026	2710.418666	1971.817069	2073.10863	2841.93925	1.09749979804	1.62256171508	1.19218598107
1438156_x_at	Cpt1a			"carnitine palmitoyltransferase 1a, liver"	0.010698930107	2023.195475	1560.096982	1692.112765	1932.188323	1596.426039	2185.503541	1306.562117	1733.857959	2276.087019	3253.935638	2399.503164	4129.410137	1788.692903	2023.195475	2971.7767	2979.841749	0.94655027554	1.67308767936	1.35461395902
1426461_at	Ugp2			UDP-glucose pyrophosphorylase 2	0.014098590141	1805.721894	1495.985006	1489.920875	1888.218495	1717.494781	1685.25361	2042.457014	1888.218495	2838.080902	2872.875982	2736.222814	1961.171519	2536.441199	2380.089319	2135.78395	1712.858192	1.09784321429	1.55817226869	1.31218179367
1422533_at	Cyp51			"cytochrome P450, family 51"	0.00969903009699	2161.968818	1685.25361	1491.936068	1867.885103	1320.794223	2028.686187	1534.954313	2025.945992	2316.498447	2348.086759	2445.408892	3467.715919	2159.03363	1667.105858	2179.588396	2380.089319	0.958837090421	1.46769058237	1.16355855044
1437100_x_at	Pim3			proviral integration site 3	0.024797520248	1607.262661	1888.218495	2112.769991	1133.430331	917.6479701	1953.221705	1121.22492	904.0839925	2028.686187	2322.785149	2383.308511	3538.837989	1708.222279	1850.269877	1850.269877	2399.503164	0.726254808029	1.52389546577	1.15820737341
1426460_a_at	Ugp2			UDP-glucose pyrophosphorylase 2	0.011298870113	1475.859838	1269.944735	1119.710455	1539.119997	1333.368653	1386.75768	1620.372735	1358.877791	2319.647708	2412.528048	2242.449841	1698.999838	2179.588396	1926.958786	1911.368192	1333.368653	1.05453501164	1.60484942922	1.36018139856
1434452_x_at	Eif2a			eukaryotic translation initiation factor 2a	0.017598240176	653.2824169	521.7966964	561.3718844	685.9097723	776.8880983	815.6887815	675.7711734	674.8569897	836.9420943	913.9288217	780.0495722	1170.865789	778.9943207	649.7540901	1141.132024	791.7526606	1.21501515354	1.52817298028	1.38775079956
1426911_at	Dsc2			desmocollin 2	0.018498150185	634.1120578	569.7941502	429.3748858	610.5247621	770.6030041	593.4122916	679.4403085	681.28234	1139.59067	858.7497716	784.2848924	1116.679918	547.116024	518.2764391	896.7698722	619.6848983	1.21433765628	1.7378086619	1.15065535942
1416374_at	Ap3m1			"adaptor-related protein complex 3, mu 1 subunit"	0.00589941005899	205.4462234	304.4370214	314.0655736	261.6056701	338.3432977	342.0276146	338.8016287	232.2242785	453.8815391	368.466845	563.6563351	486.3263665	450.2095969	376.0258413	289.5631087	326.6412085	1.15277200063	1.72476932806	1.32875850147
1418128_at	Adcy6			adenylate cyclase 6	0.030896910309	137.3357106	141.7751625	153.3561273	174.5221087	103.0016044	109.7684774	110.5889171	206.9816413	192.2598896	286.0564372	271.7126644	281.4469102	193.3039088	139.5849898	134.4838387	249.1616118	0.873723485725	1.69933180997	1.18047315571
