Probe Set ID	Gene Symbol	UniGene ID	Rep. Pub. ID	Gene Title	Pvalue	V_778	V_781	V_782	V_783	C_776_3umol	C_777_3umol	C_779_3umol	C_780_3umol	C_767_10umol	C_768_10umol	C_769_10umol	C_770_10umol	C_634_30umol	C_635_30umol	C_636_30umol	C_637_30umol	C3(fold-change)	C10(fold-change)	C30(fold-change)
1437666_x_at	Ubc			ubiquitin C	0.013198680132	44920.30179	42322.58126	57393.11269	41640.50659	42667.79689	45471.02799	42667.79689	37671.08589	35444.64352	28081.64832	25750.98505	24000.55255	43190.90722	42667.79689	35444.64352	40473.5002	0.904449598058	0.60811657951	0.868476945865
1416064_a_at	Hspa5			heat shock protein 5	0.00589941005899	23014.09355	36319.07905	45903.92832	35540.83608	35396.76759	38652.65784	37875.57053	27000.52801	19092.25645	23518.03657	21653.91102	20596.04918	38339.92781	43543.20558	47741.95419	38288.14115	0.986841595569	0.602795118528	1.19275244622
1432827_x_at	Ubc			ubiquitin C	0.003299670033	39338.92735	36516.22478	44316.3057	35062.95581	34497.87794	38184.51291	40309.43664	31892.73052	27294.63908	25996.32376	23359.47128	21161.29063	35976.56934	35253.2831	28119.82509	33941.90692	0.933327569659	0.63009047064	0.858647134514
1424273_at	Cyp2c70			"cytochrome P450, family 2, subfamily c, polypeptide 70"	0.014098590141	36466.90144	31378.7443	31040.84046	26066.69402	30664.8867	32679.31222	30375.69926	24894.16492	20735.85623	18357.22032	22098.18101	16810.90765	26493.66845	31720.54636	27183.99742	28195.94352	0.949268060974	0.624251140088	0.909093754557
1421074_at	Cyp7b1			"cytochrome P450, family 7, subfamily b, polypeptide 1"	0.000399960004	32723.73948	25750.98505	33987.81508	20679.87722	23233.35693	20374.1182	22098.18101	17818.52134	12805.97963	13628.88578	14251.538	15126.2841	26102.13147	31166.96384	30831.34057	35015.35272	0.738221613257	0.493295875002	1.08814883091
1427464_s_at	Hspa5			heat shock protein 5	0.001199880012	14902.63684	23045.38102	28619.08645	22551.56602	23518.03657	26565.56912	23968.13443	16295.54519	12296.32857	15332.44335	14232.2881	12875.49252	26891.07856	30956.8273	37063.97516	26601.50041	1.01378628042	0.614198487672	1.36350083524
1435084_at	C730049O14Rik			RIKEN cDNA C730049O14 gene	0.002299770023	26782.07276	21420.72961	17179.0186	21801.04999	23296.24802	19457.65191	22520.94898	23454.54673	10242.42707	10797.7268	11124.16941	9507.432	17698.3838	18332.42479	19483.96937	18431.9361	1.01773885928	0.477980993527	0.84817938714
1421075_s_at	Cyp7b1			"cytochrome P450, family 7, subfamily b, polypeptide 1"	0.000299970003	22278.43083	17988.28467	25646.60074	13833.32168	15394.84797	13739.95825	15024.19424	11727.27337	8147.772596	8554.690826	8897.226717	10214.70557	17295.75054	22951.96416	23518.03657	26208.18817	0.700797867944	0.449102264912	1.12824743195
1429399_at	Rnf125			ring finger protein 125	0.002599740026	20457.04296	17578.93441	13336.84686	16011.26861	18159.53953	15625.77364	20876.757	18258.11239	8485.47673	8789.467204	8269.990748	7096.883951	14426.2629	15064.96813	16993.90754	15044.51523	1.0821572197	0.484414306957	0.913118381605
1438902_a_at	Hsp90aa1			"heat shock protein 90, alpha (cytosolic), class A member 1"	0.00539946005399	9572.035287	15795.98191	20429.41114	14802.15902	16098.18032	12229.9425	13121.90899	10885.8014	9166.212394	6907.318341	8428.265231	9104.348074	15167.22991	19937.54286	20484.85414	13336.84686	0.863633491457	0.554560608507	1.1374083022
1420722_at	Elovl3			"elongation of very long chain fatty acids (FEN1/Elo2, SUR4/Elo3, yeast)-like 3"	0.000199980002	19803.11827	18632.7113	26891.07856	19431.2353	16141.86887	5630.237245	14309.54322	15085.34426	6057.261582	4448.613359	5398.863402	3057.485624	15457.50659	14862.40533	12616.72632	16810.90765	0.603682330976	0.223721558775	0.704918058279
1440327_at	AI195470			expressed sequence AI195470	0.016798320168	16098.18032	13518.6175	13721.39936	10495.03967	16229.4895	13086.39407	10959.69478	11663.95954	6173.187945	5093.529551	7106.482847	5413.477754	12296.32857	18184.10123	12229.9425	15044.51523	0.964822866489	0.441858589393	1.07284813081
