Probe Set ID	Gene Symbol	UniGene ID	Rep. Pub. ID	Gene Title	Pvalue	V_778	V_781	V_782	V_783	C_776_3umol	C_777_3umol	C_779_3umol	C_780_3umol	C_767_10umol	C_768_10umol	C_769_10umol	C_770_10umol	C_634_30umol	C_635_30umol	C_636_30umol	C_637_30umol	C3(fold-change)	C10(fold-change)	C30(fold-change)
1418858_at	Aox3			aldehyde oxidase 3	9.99900009999e-05	13482.02888	13033.34701	12875.49252	12016.50726	11214.90672	11491.50393	11822.93006	12329.61388	8269.990748	9405.050664	9141.403708	9874.760209	8158.792873	7718.260383	7116.144052	10242.42707	0.911522013705	0.71373426188	0.646514706204
1425107_a_at	Lifr			leukemia inhibitory factor receptor	0.000699930006999	7068.115991	6106.669281	7760.210115	4460.686368	6668.423431	7311.44071	6596.5684	5072.882397	2681.21278	3171.302978	3329.685036	3267.179491	3115.979443	4294.754649	4254.252654	4436.573026	1.00998725632	0.490216423607	0.634027466848
1426382_at	Ppm1b			"protein phosphatase 1B, magnesium dependent, beta isoform"	9.99900009999e-05	2498.956374	2931.818341	2282.264049	2376.858	2188.459545	1898.481204	2121.369182	2300.879955	1740.91494	1638.011761	1788.692903	1452.084808	1865.349177	1750.364903	1842.769615	1211.173643	0.843337655977	0.65607256118	0.66102334781
1452144_a_at	Mrpl44			mitochondrial ribosomal protein L44	0.000299970003	1485.88835	1432.56015	1461.941635	1249.478187	1360.725175	1261.373663	1364.408564	1049.262547	916.4065753	993.9510544	882.3186684	900.4191937	1092.75177	1036.554315	1033.748843	888.3115874	0.894473842189	0.655982570208	0.719620119634
1441380_at	Ttc39c			tetratricopeptide repeat domain 39C	0.000699930006999	1543.296986	1364.408564	1216.103244	1190.044659	1224.358216	1162.963417	1399.960105	1113.657584	895.5567213	1073.688662	788.5437551	1145.776549	789.6119426	896.7698722	881.1250671	694.318114	0.922294783879	0.73460168255	0.613834202383
1422528_a_at	Zfp36l1			"zinc finger protein 36, C3H type-like 1"	9.99900009999e-05	1303.034891	1598.585286	1626.967819	1261.373663	1043.590499	1159.823854	1244.413297	1417.123719	657.7192112	894.3452117	619.6848983	587.0200622	831.2963115	857.5880544	846.0557962	912.6918257	0.840238961071	0.47647455128	0.595449882201
1460694_s_at	Svil			supervillin	0.000799920007999	1018.470163	1148.886051	1155.122387	1292.492327	1085.376604	1015.715748	1024.0	1303.034891	778.9943207	710.4828425	780.0495722	754.0905708	939.0121402	769.5605319	750.017787	790.6815771	0.959513572693	0.655175807903	0.70407204875
1418301_at	Irf6			interferon regulatory factor 6	9.99900009999e-05	1092.75177	1167.696798	1190.044659	1110.651128	984.576162	810.1858061	1036.554315	1088.322187	689.6344336	786.4117133	633.2542306	535.3924558	763.3347184	711.4452861	912.6918257	796.0520751	0.859354180668	0.57983098702	0.697966049202
1452207_at	Cited2			"Cbp/p300-interacting transactivator, with Glu/Asp-rich carboxy-terminal domain, 2"	0.000799920007999	1201.374307	780.0495722	871.6335995	901.6389314	901.6389314	984.576162	1175.631333	1052.102829	491.6221134	583.8496131	698.0884346	510.6156692	782.1643656	549.3428426	635.8311998	690.5686352	1.09568093024	0.6083516697	0.707888668722
1424033_at	Sfrs7			"splicing factor, arginine/serine-rich 7"	0.001699830017	691.5041024	783.2239114	850.6500903	1076.602526	739.9325732	732.9535693	807.9952491	802.5447338	338.8016287	629.8340744	578.3427752	614.671592	725.0582031	608.0503577	518.9785136	618.0089838	0.906362046309	0.635409282221	0.726075873668
1426915_at	Dapk1			death associated protein kinase 1	9.99900009999e-05	1100.177051	916.4065753	815.6887815	841.4868988	660.3961961	781.1062532	728.9954501	758.1849453	374.5015813	387.918293	470.1420786	286.832164	445.359945	507.8578742	520.3858776	442.9548981	0.797189636087	0.413580202211	0.521688666826
1456735_x_at	Acpl2			acid phosphatase-like 2	0.000599940005999	577.5603928	678.5211613	757.1592722	667.5874391	894.3452117	815.6887815	902.8603214	642.7549476	389.4971603	453.2675279	419.0382124	423.6012393	524.6298191	556.0770553	618.0089838	405.6419365	1.21441917941	0.628687843102	0.784965535413
1428226_at	Ngdn			"neuroguidin, EIF4E binding protein"	0.001699830017	669.3973363	743.9505917	865.7537973	615.5042465	582.2710174	676.6865954	590.2073185	545.6367475	376.0258413	509.924908	548.599311	458.2032877	570.5660122	443.5549395	485.0114513	505.1153239	0.827332528894	0.65388980968	0.692407791052
1460348_at	Mad2l2			MAD2 mitotic arrest deficient-like 2 (yeast)	0.001299870013	719.1924174	610.5247621	559.8536753	714.3409417	712.4095273	738.931592	727.0239093	671.2121403	347.6293302	401.2723669	587.815259	405.0929031	558.3399591	447.7783607	408.3968703	435.8167998	1.09434473653	0.668920453274	0.710597030355
1434674_at	Lyst			lysosomal trafficking regulator	9.99900009999e-05	645.3705791	792.825195	949.237312	671.2121403	675.7711734	597.4424754	667.5874391	656.8294482	400.7292476	307.335796	512.0	488.96724	451.4301607	349.5170442	264.8126077	346.2204184	0.849274872966	0.55875466329	0.461635831058
1435775_at	Clock			circadian locomoter output cycles kaput	9.99900009999e-05	623.8935136	746.9780294	717.2478857	689.6344336	620.524344	559.0963049	588.6115331	735.9367658	322.2487607	406.7416729	513.3880839	265.8904223	528.9087381	504.4320036	463.8202506	477.1959538	0.901508582811	0.542981493166	0.710774620061
1424723_s_at	Cstf3			"cleavage stimulation factor, 3' pre-RNA, subunit 3"	0.000999900009999	559.0963049	563.6563351	725.0582031	692.4408367	635.8311998	610.5247621	584.6405151	533.9448772	431.122187	435.2272266	394.8059713	322.6852895	455.7285678	353.3230352	420.1742674	387.918293	0.930987025028	0.623497540419	0.636607851206
1415892_at	Sgpl1			sphingosine phosphate lyase 1	0.000299970003	493.623066	538.2997705	537.5715582	619.6848983	565.9500821	527.4786899	575.2195902	583.8496131	406.7416729	304.8494219	407.8443907	338.8016287	460.0679033	406.7416729	424.1750636	413.9632826	1.02892347945	0.666111322569	0.778806892543
1426614_at	Zmynd8			"zinc finger, MYND-type containing 8"	9.99900009999e-05	599.8741278	604.7663256	575.2195902	566.7167369	511.3073661	476.5500725	533.9448772	531.061083	349.5170442	428.2139544	417.9049393	350.4646203	384.259735	413.4032728	402.3602569	334.6986682	0.874833253213	0.658874907077	0.654025875332
1417505_s_at	Gm13305 /// Gm2002 /// Il11ra1 /// Il11ra2			"predicted gene 13305 /// predicted gene 2002 /// interleukin 11 receptor, alpha chain 1 /// interleukin 11 receptor, alpha chain 2"	9.99900009999e-05	628.9820345	608.8740429	587.815259	553.8229389	504.4320036	447.7783607	685.9097723	568.2535572	299.1258954	292.7162443	417.9049393	301.9740987	419.0382124	343.8846716	385.3015021	317.0560289	0.927244800167	0.551260488969	0.615794889784
1448227_at	Grb7			growth factor receptor bound protein 7	0.001299870013	501.7076061	607.2277868	476.5500725	516.1759093	528.9087381	468.2366332	659.5023546	562.8938205	327.9704445	498.9982688	424.1750636	394.2718776	375.516893	271.3449032	321.3774738	372.4791859	1.05608904133	0.78291187834	0.637932671761
1449738_s_at	Fam48a			"family with sequence similarity 48, member A"	0.000399960004	549.3428426	500.3511036	448.9923332	535.3924558	445.9632444	441.7569432	460.0679033	527.4786899	263.0262541	350.4646203	408.9500982	422.4556257	312.3693302	338.8016287	299.9370639	318.3462589	0.921924381956	0.710344478459	0.62409299096
1447693_s_at	Neo1			neogenin	9.99900009999e-05	554.5731658	445.359945	477.8423792	464.4485569	392.1424462	446.5673609	406.7416729	421.3134024	251.3637851	331.0932985	339.7201543	363.5119547	397.4875877	354.2809298	388.4440492	357.6543058	0.858173332299	0.661967497855	0.771212196086
