Probe Set ID	Gene Symbol	UniGene ID	Rep. Pub. ID	Gene Title	Pvalue	V_778	V_781	V_782	V_783	C_776_3umol	C_777_3umol	C_779_3umol	C_780_3umol	C_767_10umol	C_768_10umol	C_769_10umol	C_770_10umol	C_634_30umol	C_635_30umol	C_636_30umol	C_637_30umol	C3(fold-change)	C10(fold-change)	C30(fold-change)
1433866_x_at	Prdx1			peroxiredoxin 1	9.99900009999e-05	24033.01452	22643.35322	22490.52939	27967.81643	32196.36064	31251.54729	28930.6276	30293.48633	34591.50109	34732.05131	33576.40151	36814.07929	35015.35272	37467.70524	38081.4291	36913.98833	1.26290609571	1.4383532733	1.51828805568
1416416_x_at	Gstm1			"glutathione S-transferase, mu 1"	0.000199980002	9278.590831	9104.348074	9481.765514	9834.731838	8589.509298	10523.52197	12650.87893	16697.44799	20291.52959	20820.2533	21420.72961	15415.67029	28774.4354	30211.49591	26709.77125	30581.89107	1.28546638888	2.06762197341	3.08433242442
1448330_at	Gstm1			"glutathione S-transferase, mu 1"	0.000199980002	7262.094558	6420.366771	7341.199026	7697.423986	6065.496379	7593.924815	12049.11863	14484.97928	17698.3838	19221.98891	19696.20415	13665.77824	30293.48633	31336.36028	25646.60074	32415.13588	1.39944295371	2.44706482059	4.16737689319
1439443_x_at	Tkt			transketolase	0.004399560044	11004.30186	12565.5831	12531.5739	14642.65961	11967.88005	10783.06731	14387.2177	14387.2177	16406.16019	16902.15993	14155.35195	13908.41115	23903.2638	20154.71832	21075.51113	17794.45343	1.01539615454	1.20944229736	1.63423760586
1416308_at	Ugdh			UDP-glucose dehydrogenase	9.99900009999e-05	10580.64532	10104.63788	12805.97963	10270.15262	12130.99276	10623.70963	10930.10773	11919.367	16119.95393	15003.9007	12702.36931	15604.66754	19910.61275	17770.41804	21683.34933	17722.32176	1.0421092794	1.35806602389	1.76152213285
1421041_s_at	Gsta1 /// Gsta2			"glutathione S-transferase, alpha 1 (Ya) /// glutathione S-transferase, alpha 2 (Yc2)"	9.99900009999e-05	3293.829128	1609.436565	2655.927408	3338.721406	2553.676393	4073.886298	6954.205574	5745.751965	20961.72755	13647.31954	13852.03195	4388.79753	31378.7443	30664.8867	36565.61483	24995.48673	1.77350631789	4.84954039014	11.3420537921
1421040_a_at	Gsta2			"glutathione S-transferase, alpha 2 (Yc2)"	0.000699930006999	6016.421801	3267.179491	5219.189249	6982.509906	4365.103057	7271.967316	10609.35993	10077.35916	20707.84781	14882.50749	15903.20585	6359.819036	23838.73399	23518.03657	27405.73107	18208.69615	1.50446066802	2.69269588893	4.32720026463
1456642_x_at	S100a10			S100 calcium binding protein A10 (calpactin)	0.003799620038	10256.28047	9141.403708	9861.422134	10452.49694	13463.81838	12840.73354	12998.16188	8543.1358	11553.88164	11398.52873	12163.83052	10132.06067	15774.53656	16185.5638	16428.46423	13500.26401	1.20483298789	1.13942268392	1.55845706373
1443798_at	Pik3cd			phosphatidylinositol 3-kinase catalytic delta polypeptide	0.000999900009999	9006.307371	9278.590831	9215.968051	10353.92391	9456.102772	8789.467204	10710.3648	12130.99276	13852.03195	12771.40831	9456.102772	13833.32168	14270.81393	14484.97928	15989.53097	17794.45343	1.08538251986	1.31853497264	1.65209679781
1420622_a_at	Hspa8			heat shock protein 8	0.017698230177	4639.295416	10623.70963	13210.98119	10256.28047	9888.116325	10783.06731	8837.239083	7491.765359	8612.820207	8016.462333	9443.330188	10915.26851	15478.41365	17389.63463	14622.88142	14136.23198	0.955330061573	0.955012303911	1.59118867287
1425627_x_at	Gstm1			"glutathione S-transferase, mu 1"	9.99900009999e-05	3258.336752	3388.802868	4068.355402	4180.037008	4721.665094	4271.5679	5176.961953	7222.887577	11806.8787	12396.62691	9405.050664	8508.505307	18357.22032	18307.66274	16765.40832	18733.85262	1.43620801734	2.82749629192	4.84468388606
