Probe Set ID	Gene Symbol	UniGene ID	Rep. Pub. ID	Gene Title	Pvalue	V_778	V_781	V_782	V_783	C_776_3umol	C_777_3umol	C_779_3umol	C_780_3umol	C_767_10umol	C_768_10umol	C_769_10umol	C_770_10umol	C_634_30umol	C_635_30umol	C_636_30umol	C_637_30umol	C3(fold-change)	C10(fold-change)	C30(fold-change)
1448609_at	Tst			"thiosulfate sulfurtransferase, mitochondrial"	0.004699530047	2039.698218	1779.036013	1694.401434	1722.155858	2248.535584	2215.29022	2884.568883	2884.568883	2001.408576	2947.732717	3448.970324	2663.13528	1850.269877	1776.620712	1311.879959	2159.03363	1.41431254532	1.52879076978	0.98099767721
1419038_a_at	Csnk2a1 /// Gm10031			"casein kinase 2, alpha 1 polypeptide /// predicted gene 10031"	9.99900009999e-05	844.9112514	708.5618596	733.9464525	749.0031625	1073.688662	1110.651128	1539.119997	1101.665097	1275.113541	1115.171592	1396.18074	1294.240488	956.9793607	930.1554287	901.6389314	1021.231338	1.58908206116	1.67325396345	1.25476766663
1450915_at	Ap3b1			"adaptor-related protein complex 3, beta 1 subunit"	9.99900009999e-05	634.1120578	596.6342549	612.1803809	630.6872685	918.8910464	936.4732664	1121.22492	871.6335995	993.9510544	1019.849816	970.0229026	774.7870337	843.768255	702.8295307	708.5618596	709.5217009	1.55570872871	1.51948156191	1.19852223978
1437040_at	Etnk2			ethanolamine kinase 2	0.000299970003	602.3152597	601.5004473	683.129839	656.8294482	727.0239093	794.9751754	819.0081511	700.9292406	768.51947	1004.774472	1278.565185	1310.107972	726.040391	655.940889	485.0114513	606.4063287	1.19583551349	1.71476137196	0.972334056919
1436983_at	Crebbp			CREB binding protein	9.99900009999e-05	446.5673609	475.2615902	410.6145672	550.0870006	647.9973038	699.0340883	805.8106149	724.0773439	786.4117133	760.2409884	983.2442268	772.6921869	590.2073185	545.6367475	553.8229389	526.7651164	1.52821923577	1.75433496681	1.17736849366
1421382_at	Prlr			prolactin receptor	0.00829917008299	407.8443907	298.7212377	328.4147241	425.3250452	415.0858667	1134.97122	650.6342685	621.3649268	440.5625336	564.4198827	817.9001964	633.2542306	541.9556554	337.8855867	370.4674552	372.4791859	1.93251102574	1.6819336881	1.11126609938
1419276_at	Enpp1			ectonucleotide pyrophosphatase/phosphodiesterase 1	0.000599940005999	264.454369	276.5368635	242.6700073	317.9155999	407.2926586	564.4198827	466.9706285	474.618656	445.9632444	526.7651164	548.599311	522.5035395	435.8167998	296.3047615	359.5962087	353.3230352	1.73687550141	1.85536872022	1.31179301627
1417754_at	Topors			"topoisomerase I binding, arginine/serine-rich"	0.000299970003	313.2164122	284.5116662	258.7876572	316.6271153	336.5159322	397.4875877	463.1927943	465.707724	543.4253287	498.3232236	512.6935722	404.5448931	318.3462589	260.1929388	281.0661687	333.3419322	1.41747787742	1.66986229861	1.01688153125
1420919_at	Sgk3			serum/glucocorticoid regulated kinase 3	0.000199980002	391.6119557	234.2767539	272.4493049	387.918293	455.1120579	422.4556257	447.1726058	408.3968703	445.359945	447.7783607	539.7591557	533.2225562	277.2865829	212.23106	199.417471	215.8530997	1.34742753026	1.52856005925	0.703427620393
1425079_at	Tm6sf2			transmembrane 6 superfamily member 2	0.004299570043	249.4991344	202.5464515	160.9064112	230.9702135	291.9248065	555.3247939	322.6852895	278.4151678	311.524755	271.3449032	343.4194642	348.1002404	279.1699796	189.4180494	218.2035858	210.5140918	1.71621274983	1.51007918359	1.06325641787
