Probe Set ID	Gene Symbol	UniGene ID	Rep. Pub. ID	Gene Title	Pvalue	V_778	V_781	V_782	V_783	C_776_3umol	C_777_3umol	C_779_3umol	C_780_3umol	C_767_10umol	C_768_10umol	C_769_10umol	C_770_10umol	C_634_30umol	C_635_30umol	C_636_30umol	C_637_30umol	C3(fold-change)	C10(fold-change)	C30(fold-change)
1434110_x_at	Mup1 /// Mup10 /// Mup2			major urinary protein 1 /// major urinary protein 10 /// major urinary protein 2	0.00709929007099	72834.7846	71274.08535	73428.8813	66971.05153	67517.31911	66249.86985	62672.72056	57705.0516	62842.3713	59128.25171	52629.71639	54220.84588	62249.73176	63698.86297	64131.69866	68437.52661	0.893276266452	0.804267506116	0.908646120872
1417071_s_at	Cyp4v3			"cytochrome P450, family 4, subfamily v, polypeptide 3"	0.002099790021	16674.89435	15817.34678	17179.0186	14782.06293	13702.86554	14563.60604	14155.35195	12413.39398	13482.02888	13946.15693	12565.5831	12000.27627	11648.12401	13264.75124	11790.93087	12685.21191	0.850774098944	0.806693014948	0.766275747963
1420722_at	Elovl3			"elongation of very long chain fatty acids (FEN1/Elo2, SUR4/Elo3, yeast)-like 3"	0.000199980002	19803.11827	18632.7113	26891.07856	19431.2353	16141.86887	5630.237245	14309.54322	15085.34426	6057.261582	4448.613359	5398.863402	3057.485624	15457.50659	14862.40533	12616.72632	16810.90765	0.603682330976	0.223721558775	0.704918058279
1448318_at	Plin2			perilipin 2	9.99900009999e-05	12531.5739	14902.63684	14078.92929	13445.53928	10580.64532	11632.39061	12016.50726	11838.92117	5943.553399	8382.704161	10187.0591	8897.226717	9982.323894	10974.59439	11245.2647	11775.00458	0.838238198923	0.607921147241	0.800186396692
1418858_at	Aox3			aldehyde oxidase 3	9.99900009999e-05	13482.02888	13033.34701	12875.49252	12016.50726	11214.90672	11491.50393	11822.93006	12329.61388	8269.990748	9405.050664	9141.403708	9874.760209	8158.792873	7718.260383	7116.144052	10242.42707	0.911522013705	0.71373426188	0.646514706204
1420379_at	Slco1a1			"solute carrier organic anion transporter family, member 1a1"	0.013098690131	10311.95319	9689.389143	10552.00842	9104.348074	7552.873978	6114.971248	7635.145845	9430.574856	8485.47673	8849.191898	9584.981952	7010.929441	7951.602924	6198.313455	6299.798635	7491.765359	0.774970985106	0.855586204561	0.704566356583
1448491_at	Ech1			"enoyl coenzyme A hydratase 1, peroxisomal"	9.99900009999e-05	8957.683641	8360.074016	8671.284475	8554.690826	5855.716528	6081.91526	6455.217542	7491.765359	7341.199026	8462.569138	8247.664887	8005.634305	5340.688408	4944.058162	5479.847389	5384.251183	0.749328820961	0.928013987225	0.612233922944
1431833_a_at	Hmgcs2			3-hydroxy-3-methylglutaryl-Coenzyme A synthase 2	0.001399860014	6686.474394	6463.948552	7068.115991	6446.498325	4412.62062	6325.439463	6032.70784	5428.16929	3997.382744	5011.47649	5863.636683	4527.597519	3606.565725	4424.595949	3986.591315	4645.570299	0.832511014137	0.727547958976	0.624912807144
1417070_at	Cyp4v3			"cytochrome P450, family 4, subfamily v, polypeptide 3"	9.99900009999e-05	5800.453563	5524.545252	6065.496379	5031.873715	4696.173518	4997.912747	4753.716	4323.937636	4503.153685	4412.62062	4595.544204	4180.037008	4140.616866	4123.832443	3650.757181	3740.823026	0.837188076656	0.789004747393	0.698232625622
1437840_s_at	D2hgdh			D-2-hydroxyglutarate dehydrogenase	9.99900009999e-05	4564.528098	4347.408656	4527.597519	3735.770207	2784.803853	3103.348495	2560.606768	2807.518862	2773.51536	2227.315167	2553.676393	2488.826593	3145.644673	3004.126815	3205.825093	2849.632184	0.655375745513	0.584754321223	0.710626631348
1422526_at	Acsl1			acyl-CoA synthetase long-chain family member 1	0.004699530047	3416.444559	4046.39095	4118.233739	2415.791115	1611.624581	1375.537733	1396.18074	2279.18134	1660.34807	1705.914943	2266.860662	1875.487588	2073.10863	1906.195005	1979.842568	2452.045441	0.476001347532	0.536449680019	0.600934168511
1426857_a_at	Hsdl2			hydroxysteroid dehydrogenase like 2	9.99900009999e-05	2777.266681	2792.361481	3045.091787	2584.984653	2161.968818	2127.126327	2138.672706	2215.29022	1880.564404	1779.036013	2257.687355	2059.116869	1710.532737	1736.20309	1745.627477	1701.297822	0.771721967511	0.712197769893	0.615521691953
1426382_at	Ppm1b			"protein phosphatase 1B, magnesium dependent, beta isoform"	9.99900009999e-05	2498.956374	2931.818341	2282.264049	2376.858	2188.459545	1898.481204	2121.369182	2300.879955	1740.91494	1638.011761	1788.692903	1452.084808	1865.349177	1750.364903	1842.769615	1211.173643	0.843337655977	0.65607256118	0.66102334781
1438000_x_at	Zfp622			zinc finger protein 622	9.99900009999e-05	2288.457843	2141.56537	2156.117371	2354.442868	1755.10302	2048.0	1842.769615	1969.153689	1294.240488	1692.112765	1524.605214	1442.284442	1919.147657	1557.989721	1463.929132	1776.620712	0.851737066701	0.665867383372	0.751370115616
1429005_at	Mfhas1			malignant fibrous histiocytoma amplified sequence 1	9.99900009999e-05	2053.558029	2581.475159	2567.538154	2141.56537	2124.238442	1916.555419	2048.0	1813.071368	1224.358216	1338.795601	1327.963704	1355.209333	1392.401927	1434.49776	1553.772966	1424.816092	0.845649573904	0.561456559948	0.62129749638
1441915_s_at	Plin5			perilipin 5	9.99900009999e-05	1880.564404	2396.245488	2616.676755	1958.522518	1613.804385	1655.854278	1432.56015	1436.437991	630.6872685	925.1323737	1246.096429	1209.529298	1955.863537	1738.551393	1669.360703	1673.879548	0.693476101253	0.453167783091	0.795034782479
1448135_at	Atf4			activating transcription factor 4	0.014798520148	2322.785149	1769.418994	2101.363456	2067.497687	1273.382388	1303.034891	1144.228921	1911.368192	1448.154688	1602.912546	1924.355996	1175.631333	1276.838196	1166.119562	1075.140881	1342.428933	0.681754010774	0.744583700776	0.588365713589
1434011_a_at	Ints5			integrator complex subunit 5	0.003399660034	1512.269973	2017.733609	2092.84536	2004.115583	1504.10545	1566.446737	1440.336314	1398.069146	996.6464472	1360.725175	1390.521176	1079.516815	1585.651489	1331.56764	1247.790487	1422.891559	0.774745657677	0.632939827814	0.732650736303
