Probe Set ID	Gene Symbol	UniGene ID	Rep. Pub. ID	Gene Title	Pvalue	V_778	V_781	V_782	V_783	C_776_3umol	C_777_3umol	C_779_3umol	C_780_3umol	C_767_10umol	C_768_10umol	C_769_10umol	C_770_10umol	C_634_30umol	C_635_30umol	C_636_30umol	C_637_30umol	C3(fold-change)	C10(fold-change)	C30(fold-change)
1422230_s_at	Cyp2a4 /// Cyp2a5 /// LOC100047711			"cytochrome P450, family 2, subfamily a, polypeptide 4 /// cytochrome P450, family 2, subfamily a, polypeptide 5 /// similar to Cytochrome P450, family 2, subfamily a, polypeptide 4"	9.99900009999e-05	8969.799364	4140.616866	9702.494535	5879.509144	7930.13659	12147.40054	13354.88563	17507.67636	37164.56239	31763.45001	34034.02123	31124.86588	42437.43973	39499.04084	47227.51481	31634.69355	1.77538525093	4.67325167885	5.60422193178
1416416_x_at	Gstm1			"glutathione S-transferase, mu 1"	0.000199980002	9278.590831	9104.348074	9481.765514	9834.731838	8589.509298	10523.52197	12650.87893	16697.44799	20291.52959	20820.2533	21420.72961	15415.67029	28774.4354	30211.49591	26709.77125	30581.89107	1.28546638888	2.06762197341	3.08433242442
1448330_at	Gstm1			"glutathione S-transferase, mu 1"	0.000199980002	7262.094558	6420.366771	7341.199026	7697.423986	6065.496379	7593.924815	12049.11863	14484.97928	17698.3838	19221.98891	19696.20415	13665.77824	30293.48633	31336.36028	25646.60074	32415.13588	1.39944295371	2.44706482059	4.16737689319
1416308_at	Ugdh			UDP-glucose dehydrogenase	9.99900009999e-05	10580.64532	10104.63788	12805.97963	10270.15262	12130.99276	10623.70963	10930.10773	11919.367	16119.95393	15003.9007	12702.36931	15604.66754	19910.61275	17770.41804	21683.34933	17722.32176	1.0421092794	1.35806602389	1.76152213285
1422438_at	Ephx1			"epoxide hydrolase 1, microsomal"	0.000699930006999	9874.760209	10090.9893	11553.88164	8718.353585	8742.014162	9663.16446	10812.33128	12998.16188	13889.62472	16098.18032	16562.46746	13228.94141	16011.26861	15105.74796	14622.88142	15436.52077	1.04914975392	1.48564134872	1.52036487822
1451386_at	Blvrb			biliverdin reductase B (flavin reductase (NADPH))	9.99900009999e-05	3986.591315	3730.698353	4607.984025	3802.097992	3320.69614	3467.715919	4197.050189	4546.025307	5761.345254	6316.895541	5326.27056	4728.051386	9610.994456	9354.274177	8765.738952	8647.875272	0.963051379875	1.37236018201	2.25572297629
1420654_a_at	Gbe1			"glucan (1,4-alpha-), branching enzyme 1"	9.99900009999e-05	3289.357274	3631.047279	3171.302978	4877.580608	4773.064114	4202.726913	4924.051037	4466.719673	7001.45961	5800.453563	5645.517041	4884.211639	9166.212394	8789.467204	9328.956496	5919.460585	1.22694957612	1.55863402697	2.21814800882
1417384_at	Entpd5			ectonucleoside triphosphate diphosphohydrolase 5	0.000199980002	4844.694571	4271.5679	4740.882757	4185.690721	4460.686368	4418.619541	4084.914028	4601.759911	5784.794523	4857.808826	5592.276583	5951.592358	8531.537245	7262.094558	8371.381442	6206.696989	0.973570889723	1.22965549056	1.68331133309
1417382_at	Entpd5			ectonucleoside triphosphate diphosphohydrolase 5	0.000199980002	3986.591315	4168.723587	4341.506414	3750.975176	3890.608235	3981.178936	4312.234742	4546.025307	4944.058162	4964.180988	5532.017481	5276.004208	8258.820273	7501.950352	7501.950352	7039.464645	1.02968099263	1.27501971416	1.86500277973
1434866_x_at	Cpt1a			"carnitine palmitoyltransferase 1a, liver"	0.015798420158	4214.132615	3124.435841	3430.34984	3776.436989	3705.544923	4335.642238	2996.016803	3922.343038	4157.440786	6713.689033	5093.529551	7983.966766	3959.685136	4766.617022	5413.477754	6248.871682	1.02847587487	1.64647928268	1.40172936271
1425518_at	Rapgef4			Rap guanine nucleotide exchange factor (GEF) 4	0.001799820018	4118.233739	2762.272626	3074.082142	1740.91494	2609.594624	3720.626873	2560.606768	2571.028701	5004.672679	6198.313455	4515.37471	5319.03937	3948.995477	5737.99104	6823.659771	5839.86782	0.980022537545	1.79875969507	1.91103480148
1451015_at	Tkt			transketolase	9.99900009999e-05	1642.45713	1880.564404	1669.360703	1977.168347	2023.195475	1450.113391	2248.535584	2059.116869	2595.505807	2655.927408	2386.532057	2285.350927	4248.476884	3510.20604	3078.239994	3132.893474	1.08527880902	1.38409180363	1.94849261866
1427826_a_at	Slco1b2			"solute carrier organic anion transporter family, member 1b2"	9.99900009999e-05	1581.359866	1342.428933	1344.244637	1485.88835	1759.866161	2127.126327	1867.885103	1375.537733	3307.235352	2975.796179	4318.067259	2987.907976	3061.621029	2282.264049	2209.309771	2224.306679	1.2392270158	2.36169473125	1.69927605756
1439353_x_at	Tmem56			transmembrane protein 56	0.000799920007999	1762.24647	1528.742812	1857.800666	1805.721894	1649.1421	1919.147657	1303.034891	1795.973067	2150.281762	2042.457014	1966.493906	3258.336752	2118.503798	2319.647708	3665.616138	3240.745471	0.958701037035	1.3541668557	1.63124506403
1456718_at	Tmem56			transmembrane protein 56	0.000599940005999	1448.154688	1444.235205	1553.772966	1698.999838	1752.73236	1966.493906	1545.384374	1924.355996	2670.344204	1990.589468	1950.583442	2904.169616	2206.31031	2546.764775	3298.2842	3049.210428	1.16985781996	1.54848410029	1.8063915083
1418300_a_at	Mknk2			MAP kinase-interacting serine/threonine kinase 2	0.000499950005	1676.155173	1430.61524	1908.786461	1722.155858	1384.884553	1743.269616	1840.267787	1261.373663	2908.097653	2717.755583	2725.131249	4180.037008	2519.33979	2036.943149	1940.052529	1757.489068	0.924615795715	1.85983314983	1.22501876591
1457403_at	9130409I23Rik			RIKEN cDNA 9130409I23 gene	0.000199980002	1353.369438	1032.352534	1222.704446	1392.401927	1430.61524	1229.34148	1504.10545	1392.401927	3107.545931	2706.738877	2861.23048	3074.082142	2613.124234	1924.355996	2458.68296	1791.112201	1.11110874313	2.34953024167	1.7571639706
1433763_at	Entpd5			ectonucleoside triphosphate diphosphohydrolase 5	0.000699930006999	1308.338377	1150.439978	1379.270779	1310.107972	1177.221434	1333.368653	1457.994943	1522.545893	1759.866161	1500.034534	1916.555419	1971.817069	2550.227081	2156.117371	2376.858	1680.69241	1.06662069745	1.38851107995	1.70233632765
