Probe Set ID	Gene Symbol	UniGene ID	Rep. Pub. ID	Gene Title	Pvalue	V_778	V_781	V_782	V_783	C_776_3umol	C_777_3umol	C_779_3umol	C_780_3umol	C_767_10umol	C_768_10umol	C_769_10umol	C_770_10umol	C_634_30umol	C_635_30umol	C_636_30umol	C_637_30umol	C3(fold-change)	C10(fold-change)	C30(fold-change)
1436643_x_at	Hamp2			hepcidin antimicrobial peptide 2	0.020397960204	3895.87048	3606.565725	2338.568544	6265.786948	2796.138292	6402.989816	6982.509906	3906.443411	6750.132003	6156.479988	8326.185584	3534.057995	2095.67604	3099.156728	1564.3309	1977.168347	1.2471808044	1.53766535483	0.542400509012
1426690_a_at	Srebf1			sterol regulatory element binding transcription factor 1	0.012798720128	3766.242031	3970.431252	4079.396437	8730.206114	4539.884881	4096.0	5355.182402	5487.297196	4825.056096	4552.174037	5011.47649	4910.723915	3864.376647	2505.738245	1696.704959	2020.462696	0.948024091391	0.9393152654	0.490954303763
1419560_at	Lipc			"lipase, hepatic"	0.017298270173	5660.838305	4329.785982	3997.382744	4651.853669	3807.240523	5442.900698	5487.297196	4677.137089	3986.591315	4747.295042	5219.189249	4002.817152	3245.128744	2853.506235	3262.766434	2971.7767	1.04156226371	0.96330616666	0.661656130992
1423319_at	Hhex			hematopoietically expressed homeobox	0.015198480152	2732.526932	7401.07951	6325.439463	3786.685791	5376.978546	2648.739044	3954.336694	3145.644673	6641.392281	2351.262666	3430.34984	4818.538778	1803.282863	1703.610723	1440.336314	1366.263466	0.747105571886	0.851613753649	0.311843180617
1418835_at	Phlda1			"pleckstrin homology-like domain, family A, member 1"	0.015398460154	1987.900731	9663.16446	7135.406964	2109.916222	5240.431886	1940.052529	4341.506414	2332.239124	4347.408656	1779.036013	1543.296986	2717.755583	1216.103244	1500.034534	1405.658087	1596.426039	0.662996384976	0.497095337749	0.273646421613
1419031_at	Fads2			fatty acid desaturase 2	0.00539946005399	2194.398765	2364.025693	2130.003373	2492.192858	2004.115583	1875.487588	2279.18134	2206.31031	2239.42091	2209.309771	2386.532057	2900.226782	1937.418624	1857.800666	1779.036013	1611.624581	0.911168765639	1.0604391413	0.782722664123
1446074_at	LOC100045982 /// Mosc1			"similar to MOSC domain-containing protein 1, mitochondrial /// MOCO sulphurase C-terminal domain containing 1"	0.003399660034	2364.025693	2070.308433	1598.585286	2112.769991	1434.49776	1518.425068	1974.497738	1771.824505	1481.866739	1566.446737	1888.218495	1669.360703	1450.113391	1273.382388	1306.562117	1183.611579	0.822428248803	0.810967905499	0.640052574688
1416840_at	Mid1ip1			Mid1 interacting protein 1 (gastrulation specific G12-like (zebrafish))	0.018298170183	734.9406806	1249.478187	1113.657584	2872.875982	1052.102829	726.040391	1040.773198	2865.120299	1605.091693	2206.31031	2360.832547	1638.011761	984.576162	625.5853857	385.3015021	670.3041241	0.95194808202	1.308040283	0.446455938738
1431916_at	Hsd3b3			"hydroxy-delta-5-steroid dehydrogenase, 3 beta- and steroid delta-isomerase 3"	0.012098790121	1502.063407	1762.24647	1131.89938	1757.489068	2150.281762	989.9226562	1506.139829	1883.121016	1383.00437	1194.888264	1566.446737	1138.043509	970.0229026	696.2004807	581.4833208	572.8878775	1.06106359434	0.858407838834	0.458357630263
1436164_at	Slc30a1			"solute carrier family 30 (zinc transporter), member 1"	0.00579942005799	1170.865789	989.9226562	1155.122387	1530.810514	1290.737579	1106.148987	932.6771742	1827.860177	1508.17696	1495.985006	1822.913008	1522.545893	764.3687569	603.1311759	656.8294482	923.8808541	1.06410572195	1.3100858113	0.608289609513
1425645_s_at	Cyp2b10			"cytochrome P450, family 2, subfamily b, polypeptide 10"	0.004599540046	1379.270779	935.2064048	763.3347184	1227.680979	778.9943207	1667.105858	1885.668033	1342.428933	1534.954313	822.3415986	2488.826593	1450.113391	392.1424462	698.0884346	680.3607009	194.090541	1.31789723065	1.46237285006	0.456319909685
1426770_at	Pex5			peroxisomal biogenesis factor 5	0.01299870013	999.3484567	1047.83802	1085.376604	1062.119221	767.4792844	894.3452117	1156.684749	883.5138865	973.9703205	866.9265761	1095.717369	855.2687398	775.8365859	653.2824169	613.0096607	673.9435757	0.882551493852	0.903973825113	0.647503682961
1418521_a_at	Mtx1			metaxin 1	0.016598340166	939.0121402	869.2769018	863.4123987	984.576162	754.0905708	918.8910464	1124.267792	1057.821142	847.2024787	996.6464472	1079.516815	950.5231804	699.9810231	718.2194934	710.4828425	686.8389284	1.05437031049	1.05951717628	0.77005156428
1422833_at	Foxa2			forkhead box A2	0.016498350165	681.28234	2144.47681	905.3086947	771.6468885	1115.171592	686.8389284	1219.395152	869.2769018	823.4555698	735.9367658	827.9265651	878.7427067	560.6120716	581.4833208	628.1311472	496.9755272	0.864074853668	0.725353881142	0.503518921615
1436918_at	LOC100044376			similar to Dual-specificity tyrosine-(Y)-phosphorylation regulated kinase 2	0.004299570043	1141.132024	967.4001827	865.7537973	964.784554	813.4833457	747.9899106	940.2841572	940.2841572	900.4191937	927.6405013	1054.958111	927.6405013	567.4848235	579.911123	679.4403085	700.9292406	0.873820745279	0.967400367978	0.641716226805
1422429_at	Rnf14			ring finger protein 14	0.00729927007299	1247.790487	894.3452117	861.0779292	855.2687398	695.2586603	750.017787	688.7010183	927.6405013	658.6101794	805.8106149	1066.442156	852.9562889	674.8569897	613.0096607	572.8878775	623.8935136	0.793477247046	0.876981910693	0.643944381423
1428736_at	Gramd3			GRAM domain containing 3	0.003399660034	734.9406806	1100.177051	861.0779292	861.0779292	655.940889	655.0535318	816.7937405	819.0081511	832.422413	718.2194934	785.3478551	862.2443739	563.6563351	512.0	549.3428426	623.8935136	0.828386188986	0.899068923006	0.632195594295
1421841_at	Fgfr3			fibroblast growth factor receptor 3	0.00599940005999	597.4424754	861.0779292	720.1671584	944.1112105	786.4117133	737.9319649	815.6887815	823.4555698	732.9535693	1106.148987	928.8971139	951.8107905	482.392277	455.7285678	391.6119557	460.6911266	1.01302973997	1.19117840453	0.573339512713
1450376_at	Mxi1			Max interacting protein 1	0.004799520048	922.630388	799.291535	766.441038	732.9535693	641.8854283	637.5550026	631.5416184	790.6815771	560.6120716	769.5605319	741.9386053	726.040391	572.8878775	551.5783422	494.2917441	505.1153239	0.838683066687	0.868636029238	0.659318408397
1418257_at	Slc12a7			"solute carrier family 12, member 7"	0.004199580042	684.9818732	802.5447338	747.9899106	871.6335995	623.8935136	687.7693432	704.7354613	820.1181751	530.3426632	640.1499171	685.9097723	722.1196045	511.3073661	442.3556684	331.990926	487.6451845	0.912899726856	0.829867196602	0.570715632708
