Probe Set ID	Gene Symbol	UniGene ID	Rep. Pub. ID	Gene Title	Pvalue	V_778	V_781	V_782	V_783	C_776_3umol	C_777_3umol	C_779_3umol	C_780_3umol	C_767_10umol	C_768_10umol	C_769_10umol	C_770_10umol	C_634_30umol	C_635_30umol	C_636_30umol	C_637_30umol	C3(fold-change)	C10(fold-change)	C30(fold-change)
1422478_a_at	Acss2			acyl-CoA synthetase short-chain family member 2	0.00879912008799	12180.36715	10768.50237	7635.145845	12363.07499	8981.931474	7655.813659	9874.760209	10009.34536	14543.93463	15562.43294	13946.15693	13264.75124	12196.84171	9808.181765	10580.64532	7311.44071	0.850391735508	1.3346020712	0.928982829226
1435007_s_at	AI132487			expressed sequence AI132487	0.012098790121	7823.454149	6916.66084	7048.985879	9030.749421	6472.736236	9354.274177	7281.803022	7512.097122	14642.65961	16562.46746	13518.6175	14622.88142	7010.929441	8292.434522	8718.353585	9689.389143	0.993545077924	1.92559747804	1.09381150054
1429514_at	Ppap2b			phosphatidic acid phosphatase type 2B	0.00799920007999	9030.749421	6282.79155	5863.636683	8038.218061	6677.442813	7823.454149	7812.886822	9968.771431	9481.765514	12130.99276	12147.40054	11775.00458	7001.45961	5847.766538	6463.948552	6823.659771	1.10498435585	1.55860163039	0.894625379234
1436555_at	Slc7a2			"solute carrier family 7 (cationic amino acid transporter, y+ system), member 2"	0.017898210179	9430.574856	4664.478248	5162.950318	5018.254767	5927.466957	8192.0	7461.396707	4639.295416	13482.02888	11775.00458	10666.94922	18733.85262	6282.79155	5800.453563	5072.882397	6282.79155	1.08007415623	2.25149340868	0.965507899839
1422479_at	Acss2			acyl-CoA synthetase short-chain family member 2	0.01399860014	5776.940819	6148.164283	3917.045035	6148.164283	5114.26074	4448.613359	6231.958885	6359.819036	8337.447174	9116.72536	8236.467477	7908.673388	7116.144052	5004.672679	4870.992343	3843.486804	1.007473181	1.52791418791	0.947476033314
1434036_at	Mtss1			metastasis suppressor 1	0.021397860214	3655.720355	5268.877783	5162.950318	4645.570299	5142.057402	5927.466957	5240.431886	4708.885737	5554.533362	6605.490594	7760.210115	9755.161216	5326.27056	5494.719045	4090.467435	4734.446316	1.122015093	1.58411397884	1.04872571476
1438157_s_at	Nfkbia			"nuclear factor of kappa light polypeptide gene enhancer in B-cells inhibitor, alpha"	0.000999900009999	3036.850136	2872.875982	4002.817152	4740.882757	4202.726913	4811.996907	4347.408656	4857.808826	7145.057965	6614.470704	6768.451061	8326.185584	4607.984025	4347.408656	5212.139565	5668.494877	1.24339122253	1.96910710579	1.35367845625
1427000_at	Hnf4a			"hepatic nuclear factor 4, alpha"	0.001799820018	2959.730293	2963.733478	4096.0	3817.572922	5276.004208	5011.47649	3812.39001	4805.497228	5737.99104	5927.466957	5532.017481	7048.985879	4068.355402	4029.988482	4818.538778	4977.653186	1.36628733127	1.75228713307	1.29323468926
1416418_at	Gabarapl1			gamma-aminobutyric acid (GABA) A receptor-associated protein-like 1	0.012798720128	4073.886298	3582.224402	3365.954594	3049.210428	3214.525322	4509.24443	3970.431252	3543.64901	6049.079894	6963.659759	5816.195306	6274.261743	4394.733602	3356.844517	3986.591315	4035.467218	1.08290465734	1.78400290052	1.12098127872
1426722_at	Slc38a2			"solute carrier family 38, member 2"	0.002499750025	2666.737306	2721.450349	3869.603413	2803.726679	3175.592327	3514.978136	2796.138292	2609.594624	5745.751965	4583.106197	6786.819835	6991.954106	3562.884499	3885.353097	3184.210508	3421.065474	1.00288401781	1.99872293095	1.16515299921
1423747_a_at	Pdk1			"pyruvate dehydrogenase kinase, isoenzyme 1"	0.014798520148	2912.031003	3167.019423	2445.408892	4057.372375	2655.927408	2495.580973	3223.249162	3991.983383	4747.295042	5384.251183	4079.396437	4708.885737	3922.343038	3538.837989	3558.072026	2777.266681	0.982904653929	1.50374197181	1.09654302097
1426516_a_at	Lpin1			lipin 1	0.00829917008299	579.911123	973.9703205	1779.036013	1264.796881	2591.982029	1620.372735	2144.47681	752.0516825	6722.769639	2706.738877	7718.260383	11507.04677	2399.503164	3094.94917	1379.270779	1121.22492	1.54617767322	6.23240453094	1.73889620932
1417042_at	Slc37a4			"solute carrier family 37 (glucose-6-phosphate transporter), member 4"	0.01099890011	1788.692903	2539.889469	2728.817128	2838.080902	2452.045441	2861.23048	3293.829128	2699.431701	3965.068295	3670.599513	4917.365919	4035.467218	2799.920211	3000.069069	2428.904413	2045.233717	1.14259604291	1.67637146163	1.03826464129
1454617_at	Arrdc3			arrestin domain containing 3	0.02099790021	1413.288223	2285.350927	784.2848924	3439.659403	1202.999227	1234.345026	1940.052529	4365.103057	3529.284459	9689.389143	5004.672679	4773.064114	1070.782685	718.2194934	2405.998454	1351.54141	1.10349103916	2.90264035128	0.700092599923
1418760_at	Rdh11			retinol dehydrogenase 11	0.00749925007499	2912.031003	2215.29022	1680.69241	2522.747325	1921.743402	2188.459545	3020.454628	2822.758521	3276.023521	3444.311717	3529.284459	3316.18781	3231.974276	2248.535584	2923.883269	2796.138292	1.06673144246	1.45388008203	1.20038777881
1448667_x_at	Tob2			"transducer of ERBB2, 2"	0.002699730027	881.1250671	940.2841572	1288.994149	2419.058596	1847.757866	2458.68296	1562.217921	3016.35392	3128.6618	5562.084704	4335.642238	4620.489547	2042.457014	1791.112201	2059.116869	2606.069782	1.60684940349	3.1914277351	1.53699508437
1434442_at	Stbd1			starch binding domain 1	0.018898110189	1287.253074	2012.27254	2495.580973	2422.347286	2297.772102	2004.115583	1705.914943	2118.503798	3103.348495	3347.759095	3214.525322	4288.953621	2613.124234	2092.84536	1813.071368	1898.481204	0.988908067096	1.69816426702	1.02434674975
1459141_at	1810008I18Rik			RIKEN cDNA 1810008I18 gene	0.004499550045	2574.506148	2904.169616	1396.18074	2747.359522	2045.233717	1456.015502	2888.47041	2645.161329	3864.376647	3534.057995	2963.733478	3094.94917	2020.462696	1646.914564	1759.866161	1079.516815	0.938960519447	1.39854657738	0.67622263088
1448181_at	Klf15			Kruppel-like factor 15	0.013498650135	1687.533001	1607.262661	2412.528048	2141.56537	2150.281762	2389.776527	2588.480976	1893.342896	2663.13528	2472.029081	3197.170572	3645.826015	2386.532057	2170.753207	1701.297822	1932.188323	1.1494470197	1.52609634636	1.04355805331
1417629_at	Prodh			proline dehydrogenase	0.003599640036	1901.048996	1607.262661	1676.155173	1961.171519	1715.17492	2245.482868	2127.126327	2025.945992	2509.127383	2788.570442	2991.970012	3258.336752	2641.588446	2303.992013	1682.977297	2023.195475	1.13548009439	1.6160913868	1.21077401464
1424744_at	Sds			serine dehydratase	0.003599640036	2239.42091	1290.737579	1320.794223	1626.967819	1872.94134	2983.872137	2900.226782	1461.941635	2987.907976	3384.225531	3740.823026	3529.284459	1545.384374	1465.909171	1106.148987	1733.857959	1.42313908451	2.10595991827	0.9032683348
1427963_s_at	Rdh9			retinol dehydrogenase 9	0.00789921007899	1607.262661	842.6268048	1403.759431	1283.769077	817.9001964	2107.066308	1620.372735	1872.94134	2739.923694	3491.254953	4271.5679	4490.965737	2095.67604	1560.096982	1252.869122	1940.052529	1.24932030295	2.91853074063	1.3331005396
1451200_at	Kif1b			kinesin family member 1B	0.00769923007699	1731.503994	1581.359866	1557.989721	1774.220988	1747.988527	2020.462696	1638.011761	2279.18134	2880.672627	2915.989885	2904.169616	2645.161329	2138.672706	1306.562117	1759.866161	1820.450755	1.15659263778	1.70742906482	1.05725702038
1424815_at	Gys2			glycogen synthase 2	0.00569943005699	1346.062796	1620.372735	1705.914943	1444.235205	1626.967819	1469.877286	1557.989721	1426.753117	2655.927408	2452.045441	2182.551529	2602.531662	1611.624581	1411.37926	1415.209576	1256.260553	0.994278223532	1.6174147734	0.930988997596
1444691_at	Prkd3			protein kinase D3	0.00499950005	2034.177701	1030.958111	1054.958111	1377.398218	1278.565185	1620.372735	1537.041071	1911.368192	2380.089319	2553.676393	2428.904413	2803.726679	1155.122387	850.6500903	1301.265831	1510.227314	1.15458958743	1.84927900636	0.876266031628
1455265_a_at	Rgs16			regulator of G-protein signaling 16	0.00729927007299	33.21380262	123.1553934	41.78073595	403.9976246	79.9645689	113.0869779	147.7517082	193.9591465	3606.565725	5592.276583	4466.719673	8158.792873	160.7975929	181.3873456	297.5105462	145.1741725	0.888091956307	36.2441973165	1.30345070512
1418288_at	Lpin1			lipin 1	0.021097890211	315.3436342	456.3459128	872.8143433	576.7790687	1073.688662	692.4408367	832.422413	270.9778277	2773.51536	1180.416273	3158.44777	5428.16929	1059.251899	1428.682874	537.5715582	405.0929031	1.29183440037	5.64563314286	1.54442243407
1439036_a_at	Atp1b1			"ATPase, Na+/K+ transporting, beta 1 polypeptide"	0.00979902009799	901.6389314	955.6847584	949.237312	1264.796881	1047.83802	1037.956308	1037.956308	1303.034891	1942.676549	1574.949659	2112.769991	1694.401434	1237.694892	1100.177051	1317.219446	895.5567213	1.08729953358	1.79910433911	1.11772245067
1448908_at	Ppap2b			phosphatidic acid phosphatase type 2B	0.010198980102	1175.631333	846.0557962	840.3485348	1158.249224	869.2769018	1145.776549	1100.177051	1520.478815	1185.220689	1805.721894	2239.42091	1719.829701	1036.554315	767.4792844	701.8787425	1145.776549	1.15307980552	1.72878126492	0.908315950892
1449668_s_at	Fnip1			folliculin interacting protein 1	0.002599740026	1134.97122	1100.177051	1002.057792	1076.602526	1239.368937	1166.119562	999.3484567	1012.969486	1609.436565	1357.042323	1477.866257	2173.704328	821.2291344	797.1304336	1082.446495	850.6500903	1.02410812871	1.53415464234	0.823276248825
1419172_at	Dhfr			dihydrofolate reductase	0.004299570043	1028.167785	936.4732664	897.9846663	1019.849816	1172.449444	1153.562135	901.6389314	895.5567213	1283.769077	1526.66732	1587.796163	1667.105858	1188.429	1207.895558	1110.651128	989.9226562	1.06200469157	1.5622348075	1.15825542316
