Probe Set ID	Gene Symbol	UniGene ID	Rep. Pub. ID	Gene Title	Pvalue	V_778	V_781	V_782	V_783	C_776_3umol	C_777_3umol	C_779_3umol	C_780_3umol	C_767_10umol	C_768_10umol	C_769_10umol	C_770_10umol	C_634_30umol	C_635_30umol	C_636_30umol	C_637_30umol	C3(fold-change)	C10(fold-change)	C30(fold-change)
1434110_x_at	Mup1 /// Mup10 /// Mup2			major urinary protein 1 /// major urinary protein 10 /// major urinary protein 2	0.00709929007099	72834.7846	71274.08535	73428.8813	66971.05153	67517.31911	66249.86985	62672.72056	57705.0516	62842.3713	59128.25171	52629.71639	54220.84588	62249.73176	63698.86297	64131.69866	68437.52661	0.893276266452	0.804267506116	0.908646120872
1437666_x_at	Ubc			ubiquitin C	0.013198680132	44920.30179	42322.58126	57393.11269	41640.50659	42667.79689	45471.02799	42667.79689	37671.08589	35444.64352	28081.64832	25750.98505	24000.55255	43190.90722	42667.79689	35444.64352	40473.5002	0.904449598058	0.60811657951	0.868476945865
1416064_a_at	Hspa5			heat shock protein 5	0.00589941005899	23014.09355	36319.07905	45903.92832	35540.83608	35396.76759	38652.65784	37875.57053	27000.52801	19092.25645	23518.03657	21653.91102	20596.04918	38339.92781	43543.20558	47741.95419	38288.14115	0.986841595569	0.602795118528	1.19275244622
1432827_x_at	Ubc			ubiquitin C	0.003299670033	39338.92735	36516.22478	44316.3057	35062.95581	34497.87794	38184.51291	40309.43664	31892.73052	27294.63908	25996.32376	23359.47128	21161.29063	35976.56934	35253.2831	28119.82509	33941.90692	0.933327569659	0.63009047064	0.858647134514
1433866_x_at	Prdx1			peroxiredoxin 1	9.99900009999e-05	24033.01452	22643.35322	22490.52939	27967.81643	32196.36064	31251.54729	28930.6276	30293.48633	34591.50109	34732.05131	33576.40151	36814.07929	35015.35272	37467.70524	38081.4291	36913.98833	1.26290609571	1.4383532733	1.51828805568
1424273_at	Cyp2c70			"cytochrome P450, family 2, subfamily c, polypeptide 70"	0.014098590141	36466.90144	31378.7443	31040.84046	26066.69402	30664.8867	32679.31222	30375.69926	24894.16492	20735.85623	18357.22032	22098.18101	16810.90765	26493.66845	31720.54636	27183.99742	28195.94352	0.949268060974	0.624251140088	0.909093754557
1418188_a_at	Malat1			metastasis associated lung adenocarcinoma transcript 1 (non-coding RNA)	0.000299970003	22643.35322	23014.09355	19964.64779	16879.32978	25301.75785	24426.67713	28503.076	23264.78122	32458.979	33259.52628	33530.81664	25301.75785	30089.03046	31166.96384	29644.35939	33804.31986	1.23023684757	1.50968399354	1.51154570418
1417580_s_at	Selenbp1			selenium binding protein 1	0.002699730027	38081.4291	38236.42444	38443.97782	25267.58216	26208.18817	20735.85623	24826.78796	23422.86611	19457.65191	21391.79612	19749.52042	21449.70224	24526.09622	26927.63676	22673.97951	31506.45902	0.679812162867	0.585938829761	0.754371305675
1421074_at	Cyp7b1			"cytochrome P450, family 7, subfamily b, polypeptide 1"	0.000399960004	32723.73948	25750.98505	33987.81508	20679.87722	23233.35693	20374.1182	22098.18101	17818.52134	12805.97963	13628.88578	14251.538	15126.2841	26102.13147	31166.96384	30831.34057	35015.35272	0.738221613257	0.493295875002	1.08814883091
1422230_s_at	Cyp2a4 /// Cyp2a5 /// LOC100047711			"cytochrome P450, family 2, subfamily a, polypeptide 4 /// cytochrome P450, family 2, subfamily a, polypeptide 5 /// similar to Cytochrome P450, family 2, subfamily a, polypeptide 4"	9.99900009999e-05	8969.799364	4140.616866	9702.494535	5879.509144	7930.13659	12147.40054	13354.88563	17507.67636	37164.56239	31763.45001	34034.02123	31124.86588	42437.43973	39499.04084	47227.51481	31634.69355	1.77538525093	4.67325167885	5.60422193178
