Probe Set	Gene Symbol	UniGene ID	Rep. Pub. ID	Gene Title	Pvalue	CON 1	CON 2	CON 3	CON 4	D3T 1	D3T 2	D3T 3	D3T 4	C10 1	C10 2	C10 3	C10 4	D3T(fold-change)	C10(fold-change)
1437666_x_at	Ubc			ubiquitin C	0.014898510149	47484.07897	44798.78175	58650.01066	43602.08125	44677.64836	46278.2561	49251.86141	48327.16954	35976.46037	29444.34847	27110.46992	25029.26195	0.969157125036	0.604315775241
1432827_x_at	Ubc			ubiquitin C	0.013798620138	38757.48941	35637.13531	43074.04679	33485.52577	37265.34201	37569.27435	37467.68913	36220.81153	26314.92659	24426.70896	21801.04062	20100.19504	0.983895245685	0.613715106167
1424273_at	Cyp2c70			"cytochrome P450, family 2, subfamily c, polypeptide 70"	0.00589941005899	37620.17006	31806.43925	31293.89794	27073.79261	33758.6303	30170.67556	24860.41053	24759.64707	21189.96743	18557.14951	22612.67034	17063.11884	0.888532302179	0.62149020893
1435084_at	C730049O14Rik			RIKEN cDNA C730049O14 gene	0.000199980002	25336.08953	21949.11271	18012.59913	22038.43839	17248.92402	12599.63002	14270.82629	13051.0205	10353.92843	11124.14049	10638.10182	9768.397886	0.654601125342	0.479578337024
1452540_a_at	Hist1h2bc /// Hist1h2be /// Hist1h2bl /// Hist1h2bm /// Hist1h2bp /// LOC100046213 /// LOC665622 /// RP23-38E20.1			"histone cluster 1, H2bc /// histone cluster 1, H2be /// histone cluster 1, H2bl /// histone cluster 1, H2bm /// histone cluster 1, H2bp /// similar to Hist1h2bj protein /// H2b histone family member /// predicted gene, OTTMUSG00000013203"	0.000499950005	16993.95913	18733.84457	16970.96816	13318.7575	13264.77423	12754.08588	13211.00985	12049.1239	10187.0812	9834.744654	12098.15979	11019.2192	0.77674815094	0.653450761672
1429399_at	Rnf125			ring finger protein 125	0.000199980002	21276.20364	17842.70688	13702.84179	16428.42153	13372.96037	10132.06509	11919.33089	10200.88181	8531.559421	9067.470178	8683.03919	6786.799277	0.658846550558	0.477527581987
1450643_s_at	Acsl1			acyl-CoA synthetase long-chain family member 1	0.015698430157	13354.86832	16697.49139	14882.4882	10270.166	11034.14711	12196.83115	12196.83115	12599.63002	9203.511848	9821.439321	10768.5117	9676.263759	0.869983286451	0.714966337883
1438902_a_at	Hsp90aa1			"heat shock protein 90, alpha (cytosolic), class A member 1"	0.00889911008899	9715.642906	14943.05493	19378.7447	14902.64975	9303.731521	10228.53921	9755.18238	13536.8963	8326.171156	6677.434158	8236.48175	9341.594651	0.72657418321	0.55279319138
1426114_at	Hnrnpab			heterogeneous nuclear ribonucleoprotein A/B	0.00989901009899	9507.456713	13282.74433	11727.25817	9794.8827	14662.50266	15146.73004	10710.35553	9030.718122	7739.20012	7823.474484	4818.522078	6768.448152	1.11820554304	0.612688105885
1440327_at	AI195470			expressed sequence AI195470	0.000999900009999	15689.37215	13908.42927	13833.31574	10915.28743	13777.24687	10623.70963	6596.5684	9366.922284	6215.102633	5135.083	7291.658349	5539.526233	0.742725254569	0.444948849835
1427347_s_at	Tubb2a			"tubulin, beta 2A"	0.004499550045	8016.462333	9481.749083	11383.12758	12514.63098	8957.660357	8371.381442	9468.92138	8897.230603	7522.273935	5045.499022	5086.649598	1911.369027	0.862286686426	0.47264967081
1450644_at	Zfp36l1			"zinc finger protein 36, C3H type-like 1"	0.000899910008999	9153.807578	10753.94315	11154.3011	9715.642906	7431.176911	6351.195659	7213.112701	7940.85221	5776.955835	6704.609074	4564.528098	5066.032546	0.709611901059	0.542260314058
1423447_at	Clpx			caseinolytic peptidase X (E.coli)	0.000199980002	11214.86785	10768.5117	10710.35553	9676.263759	8718.376246	8543.117324	6394.332856	7887.281945	3730.70968	4734.46069	5592.271738	3024.539947	0.744468001778	0.403162202574
1436959_x_at	Nelf			nasal embryonic LHRH factor	0.015198480152	7096.877802	8236.48175	7583.624835	8314.906815	8281.205031	7271.942113	6926.027978	5355.177763	4890.815681	5745.756943	4564.528098	5212.126017	0.891215735383	0.653602005942
1416461_at	Caprin1			cell cycle associated protein 1	0.00499950005	6750.146648	7593.898496	7802.320248	7593.898496	6090.165126	7697.403978	6282.780663	7145.079657	4576.903789	4779.540631	5038.673049	4068.367754	0.915103831173	0.620824525718
1436168_at	C730029A08Rik			RIKEN cDNA C730029A08 gene	0.000199980002	6299.81501	6114.950055	5398.854047	5494.711922	7802.320248	7770.696122	7351.128371	6385.682023	2393.007793	3948.983515	2947.734004	3227.608771	1.25748285972	0.537032619999
1436999_at	5033414K04Rik			RIKEN cDNA 5033414K04 gene	0.000899910008999	6759.291183	6308.349516	5919.460585	6516.681996	5369.697122	5630.254338	4792.499281	6299.81501	3911.737242	4024.54335	5319.05091	3927.656727	0.866234844786	0.673742716536
1460240_a_at	Hnrnpc			heterogeneous nuclear ribonucleoprotein C	0.00709929007099	5554.545412	6832.895038	6385.682023	5290.324968	5355.177763	6057.274724	4779.540631	5653.167584	3548.438901	4068.367754	4163.085578	3700.528546	0.907815089902	0.643316832177
1416462_at	Caprin1			cell cycle associated protein 1	0.00579942005799	5607.433925	6385.682023	6632.387114	5761.335271	4448.615301	5927.479817	5079.767953	6090.165126	3725.662438	3991.985126	4283.140033	3267.175257	0.88351051919	0.626073894677
