Probe Set	Gene Symbol	UniGene ID	Rep. Pub. ID	Gene Title	Pvalue	CON 1	CON 2	CON 3	CON 4	D3T 1	D3T 2	D3T 3	D3T 4	C10 1	C10 2	C10 3	C10 4	D3T(fold-change)	C10(fold-change)
1417580_s_at	Selenbp1			selenium binding protein 1	0.000199980002	33214.63062	34826.32519	36220.81153	24492.93648	12650.90637	12514.63098	16742.76288	14762.0901	18835.56749	19749.53753	19483.96937	20512.54318	0.440142291106	0.610320362974
1421074_at	Cyp7b1			"cytochrome P450, family 7, subfamily b, polypeptide 1"	0.000199980002	33896.01684	26386.2736	35301.01096	20319.07181	11600.93229	8038.197167	12147.39532	10200.88181	12875.52599	13445.57423	14155.37648	16251.45479	0.362265287795	0.489445814774
1421075_s_at	Cyp7b1			"cytochrome P450, family 7, subfamily b, polypeptide 1"	0.000199980002	24229.09889	20540.332	28234.20228	14782.08854	6777.61748	4805.493064	8114.734232	6359.799772	8577.884945	8849.180428	9278.574753	9834.744654	0.296832378209	0.416245194187
1449321_x_at	LOC100046187 /// Serpina1a /// Serpina1b /// Serpina1c /// Serpina1d /// Serpina1e			"similar to Alpha-1-antitrypsin 1-2 precursor (Serine protease inhibitor 1-2) (Alpha-1 protease inhibitor 2) (Alpha-1-antiproteinase) (AAT) /// serine (or cysteine) peptidase inhibitor, clade A, member 1A /// serine (or cysteine) preptidase inhibitor, clade A, member 1B /// serine (or cysteine) peptidase inhibitor, clade A, member 1C /// serine (or cysteine) peptidase inhibitor, clade A, member 1D /// serine (or cysteine) peptidase inhibitor, clade A, member 1E"	0.004599540046	12633.79108	14563.58717	14445.76895	12180.33025	7781.223212	6189.911769	7242.4677	8801.389752	14290.15931	16697.49139	14117.10114	18456.9302	0.557656135483	1.18092856596
1417071_s_at	Cyp4v3			"cytochrome P450, family 4, subfamily v, polypeptide 3"	0.000199980002	15689.37215	14742.1186	15924.76409	14002.89496	8636.145773	9808.152056	9328.956496	8049.0867	12396.59469	12805.99073	11663.92421	10841.65122	0.593486507741	0.79040478549
1438040_a_at	Hsp90b1			"heat shock protein 90, beta (Grp94), member 1"	0.000999900009999	9253.486007	11321.65212	14117.10114	11585.2375	6455.217542	7077.688242	8706.581298	8314.906815	14136.22591	14117.10114	15625.78047	12049.1239	0.660243298286	1.20854107283
1420531_at	Hsd3b5			"hydroxy-delta-5-steroid dehydrogenase, 3 beta- and steroid delta-isomerase 5"	0.000199980002	15290.95221	14563.58717	13518.58237	11984.05168	6596.5684	4766.617022	7983.970252	7411.083425	8027.322421	10495.05335	9728.804914	8531.559421	0.483374374829	0.664462034943
1455770_at	---			---	0.001499850015	10989.42384	9328.956496	11064.06372	9941.838002	5569.605313	6065.480613	8531.559421	7331.251332	10724.86509	11429.45309	13795.91123	12927.92515	0.665417408593	1.18279500879
1423423_at	Pdia3			protein disulfide isomerase associated 3	0.000199980002	7940.85221	8114.734232	9955.306373	9316.335503	5683.863725	4318.072886	6040.896192	6189.911769	7635.132614	6686.480187	7154.759214	7116.119389	0.629337359044	0.80936129907
1456170_x_at	Calr			calreticulin	0.004699530047	6507.865638	7058.55057	8405.450214	7321.333002	4864.402457	3538.844121	4734.46069	5562.070246	6156.482677	5959.665446	7451.324875	6552.066935	0.638365828305	0.891658830261
