Probe Set	Gene Symbol	UniGene ID	Rep. Pub. ID	Gene Title	Pvalue	CON 1	CON 2	CON 3	CON 4	D3T 1	D3T 2	D3T 3	D3T 4	C10 1	C10 2	C10 3	C10 4	D3T(fold-change)	C10(fold-change)
1416416_x_at	Gstm1			"glutathione S-transferase, mu 1"	0.013498650135	7154.759214	7421.123393	8683.03919	8566.280065	18184.10917	23838.66178	17674.41691	14822.16685	18012.59913	18037.00122	22038.43839	13965.03191	2.34152025282	2.26402556573
1422438_at	Ephx1			"epoxide hydrolase 1, microsomal"	0.00759924007599	9456.110965	10173.2992	11291.03901	9316.335503	11600.93229	11245.27444	14963.29864	13702.84179	14426.2254	15989.57254	16584.84755	13051.0205	1.28023020657	1.49245687673
1448330_at	Gstm1			"glutathione S-transferase, mu 1"	0.013398660134	4991.148973	5261.754163	6385.682023	6463.962576	14524.20804	17818.56765	14021.865	12480.79212	14642.666	16011.23398	16925.07962	11967.83857	2.54714040568	2.57750005987
1421041_s_at	Gsta1 /// Gsta2			"glutathione S-transferase, alpha 1 (Ya) /// glutathione S-transferase, alpha 2 (Yc2)"	0.011298870113	3311.707133	1633.587628	2769.763117	3384.224076	8730.187234	14524.20804	14059.88214	16584.84755	21683.30244	13927.27125	14232.23878	4271.558662	4.85609115863	4.8754839598
1417126_a_at	Rpl22l1			ribosomal protein L22 like 1	0.014098590141	6713.691965	7029.941069	5347.93283	6090.165126	12823.3393	9166.208455	8225.338748	8382.722348	8103.755884	8394.078559	8718.376246	9914.955829	1.53276233736	1.39510530598
1449486_at	Ces1			carboxylesterase 1	0.002199780022	7001.447478	5547.03072	4984.39653	7145.079657	8049.0867	9379.611807	8382.722348	8314.906815	9215.98006	10552.04045	8659.560739	9228.4651	1.38286695638	1.52589820702
1427474_s_at	Gstm3			"glutathione S-transferase, mu 3"	0.013098690131	1320.791934	1097.198911	1682.973658	1508.18088	8543.117324	11553.91167	6786.799277	6614.453511	12296.30726	8742.014162	8416.837215	4728.055483	5.97208299923	6.09419292707
1456531_x_at	Prpf19			PRP19/PSO4 pre-mRNA processing factor 19 homolog (S. cerevisiae)	0.00839916008399	4957.477915	3740.82466	3167.011191	5479.85453	7331.251332	6394.332856	5304.668494	5895.468009	6879.303928	7844.686075	6507.865638	7029.941069	1.43704115553	1.62937575627
1420654_a_at	Gbe1			"glucan (1,4-alpha-), branching enzyme 1"	0.000999900009999	3472.403172	3975.804907	3505.466251	4702.521257	6587.64401	6982.515956	7145.079657	7532.464483	7020.430328	5824.072098	5800.466147	5369.697122	1.80425084428	1.53387619371
1451386_at	Blvrb			biliverdin reductase B (flavin reductase (NADPH))	0.00569943005699	3927.656727	3601.677099	4521.476124	3577.379607	5457.643713	5162.965992	6181.537495	7391.044271	5502.155699	6173.174594	4917.372327	4595.530283	1.5480482485	1.3557701502
1422557_s_at	Mt1			metallothionein 1	0.001499850015	301.974151	107.4163886	295.5034677	188.9058328	2591.988766	7645.476107	715.3085496	2376.864178	3298.2842	3205.834826	13391.07704	23838.66178	14.9134481822	48.9302591966
1417382_at	Entpd5			ectonucleoside triphosphate diphosphohydrolase 5	0.001499850015	3786.68251	4151.828828	4265.779711	3730.70968	4329.78037	4335.645994	4633.01096	5233.337657	4930.704676	5212.126017	5607.433925	4957.477915	1.16296040999	1.29951312116
1423747_a_at	Pdk1			"pyruvate dehydrogenase kinase, isoenzyme 1"	0.020797920208	3065.764683	3384.224076	2536.447792	4294.752803	4766.617022	5592.271738	4831.586416	5784.782012	4930.704676	5569.605313	4288.942473	4844.686176	1.57932069402	1.47832683615
1415998_at	Vdac1			voltage-dependent anion channel 1	0.004599540046	3074.076815	3154.174758	2677.588881	3004.135935	4552.18587	5038.673049	4406.65657	4168.725407	4225.545489	4312.231006	4418.604228	4002.808496	1.52529613012	1.42394818135
1452836_at	Lpin2			lipin 2	0.011798820118	2242.448877	2553.675295	3184.207749	1602.917413	4090.458589	3853.915915	4897.44135	4740.874542	5311.854816	4084.924646	3874.842298	5992.02584	1.83473160128	2.01013736872
1428942_at	Mt2			metallothionein 2	0.00509949005099	153.4599894	54.21958584	221.9276037	136.8716352	1581.363297	4174.372848	422.4556989	1530.80853	2943.746043	852.9563628	10974.55636	20181.99609	13.6086296283	61.7026691614
