Probe Set	Gene Symbol	UniGene ID	Rep. Pub. ID	Gene Title	Pvalue	CON 1	CON 2	CON 3	CON 4	D3T 1	D3T 2	D3T 3	D3T 4	C10 1	C10 2	C10 3	C10 4	D3T(fold-change)	C10(fold-change)
1434110_x_at	Mup1 /// Mup10 /// Mup2			major urinary protein 1 /// major urinary protein 10 /// major urinary protein 2	0.002499750025	71081.54899	70506.50511	72050.39654	64742.33956	37671.13498	40528.26036	56087.46002	47806.58991	61329.64076	55860.12765	51781.75529	51711.7006	0.6541164178	0.79273869487
1437666_x_at	Ubc			ubiquitin C	0.014898510149	47484.07897	44798.78175	58650.01066	43602.08125	44677.64836	46278.2561	49251.86141	48327.16954	35976.46037	29444.34847	27110.46992	25029.26195	0.969157125036	0.604315775241
1433443_a_at	Hmgcs1			3-hydroxy-3-methylglutaryl-Coenzyme A synthase 1	0.00509949005099	31378.7443	21537.02339	20933.35063	28043.73001	42322.59975	42379.93487	37875.68552	47227.63757	27967.90134	30706.36252	30089.09574	33941.93633	1.66651399478	1.20425817848
1432827_x_at	Ubc			ubiquitin C	0.013798620138	38757.48941	35637.13531	43074.04679	33485.52577	37265.34201	37569.27435	37467.68913	36220.81153	26314.92659	24426.70896	21801.04062	20100.19504	0.983895245685	0.613715106167
1433445_x_at	Hmgcs1			3-hydroxy-3-methylglutaryl-Coenzyme A synthase 1	0.000499950005	26818.4363	21018.54234	20651.86397	26565.48865	41247.84852	42437.34795	36074.00245	47806.58991	29245.71216	30623.33424	28387.51121	36714.50427	1.76284222517	1.3147329556
1433866_x_at	Prdx1			peroxiredoxin 1	0.023497650235	26422.0197	24995.4001	24492.93648	32065.84933	38548.17662	32856.84306	21276.20364	34358.02243	37671.13498	38705.05504	34873.50499	40363.99218	1.17654852782	1.40413979481
1433444_at	Hmgcs1			3-hydroxy-3-methylglutaryl-Coenzyme A synthase 1	0.000399960004	21889.76354	17202.2839	17578.96487	23045.34108	34826.32519	32152.78867	29926.59728	40473.43006	25577.33142	27405.68358	24459.80022	31849.52818	1.7233495432	1.37101534067
1424273_at	Cyp2c70			"cytochrome P450, family 2, subfamily c, polypeptide 70"	0.00589941005899	37620.17006	31806.43925	31293.89794	27073.79261	33758.6303	30170.67556	24860.41053	24759.64707	21189.96743	18557.14951	22612.67034	17063.11884	0.888532302179	0.62149020893
1417580_s_at	Selenbp1			selenium binding protein 1	0.000199980002	33214.63062	34826.32519	36220.81153	24492.93648	12650.90637	12514.63098	16742.76288	14762.0901	18835.56749	19749.53753	19483.96937	20512.54318	0.440142291106	0.610320362974
1451122_at	Idi1			isopentenyl-diphosphate delta isomerase	0.000199980002	17272.29155	12346.34919	12719.59954	14662.50266	27629.20155	29684.49357	23968.10336	35637.13531	18937.84276	18382.12113	19040.67337	23076.56114	2.05118262955	1.3936168952
1422230_s_at	Cyp2a4 /// Cyp2a5 /// LOC100047711			"cytochrome P450, family 2, subfamily a, polypeptide 4 /// cytochrome P450, family 2, subfamily a, polypeptide 5 /// similar to Cytochrome P450, family 2, subfamily a, polypeptide 4"	0.000199980002	8520.017214	4123.819952	9366.922284	5745.756943	10566.33547	15436.54751	14802.11418	23677.84234	35396.72171	30789.61591	33124.82013	29444.34847	2.32316039185	4.63874876793
1451457_at	Sc5d			"sterol-C5-desaturase (fungal ERG3, delta-5-desaturase) homolog (S. cerevisae)"	0.00729927007299	15583.52923	14702.25674	12114.54945	16993.95913	21889.76354	22858.90617	23870.95641	24492.93648	18012.59913	15478.40024	14943.05493	16098.1734	1.56770213882	1.08650550005
1421074_at	Cyp7b1			"cytochrome P450, family 7, subfamily b, polypeptide 1"	0.000199980002	33896.01684	26386.2736	35301.01096	20319.07181	11600.93229	8038.197167	12147.39532	10200.88181	12875.52599	13445.57423	14155.37648	16251.45479	0.362265287795	0.489445814774
1439443_x_at	Tkt			transketolase	0.019298070193	11616.64827	13121.88625	12945.43882	15064.92897	17674.41691	18208.74348	19696.13589	16948.00842	16970.96816	18012.59913	14742.1186	14348.31547	1.37495381939	1.21469828857
1435084_at	C730049O14Rik			RIKEN cDNA C730049O14 gene	0.000199980002	25336.08953	21949.11271	18012.59913	22038.43839	17248.92402	12599.63002	14270.82629	13051.0205	10353.92843	11124.14049	10638.10182	9768.397886	0.654601125342	0.479578337024
1416416_x_at	Gstm1			"glutathione S-transferase, mu 1"	0.013498650135	7154.759214	7421.123393	8683.03919	8566.280065	18184.10917	23838.66178	17674.41691	14822.16685	18012.59913	18037.00122	22038.43839	13965.03191	2.34152025282	2.26402556573
1419499_at	Gpam			"glycerol-3-phosphate acyltransferase, mitochondrial"	0.015298470153	9253.486007	13246.82853	10523.50833	16810.90043	20018.7254	20401.76362	25131.12265	19803.08396	11429.45309	9430.542172	10915.28743	10638.10182	1.71275548419	0.851080967365
1422478_a_at	Acss2			acyl-CoA synthetase short-chain family member 2	0.000899910008999	11951.64748	10580.64994	7760.183221	12548.56158	23359.45104	20073.00167	15003.86826	17650.50548	14387.2177	15731.91035	14155.37648	12927.92515	1.77602650415	1.33522497854
1439459_x_at	Acly			ATP citrate lyase	0.012298770123	8945.541685	9366.922284	7512.097122	15044.54787	23806.41068	20154.6922	20651.86397	19483.96937	12927.92515	10159.53591	9341.594651	8092.792445	2.05771396436	0.991503098212
1452540_a_at	Hist1h2bc /// Hist1h2be /// Hist1h2bl /// Hist1h2bm /// Hist1h2bp /// LOC100046213 /// LOC665622 /// RP23-38E20.1			"histone cluster 1, H2bc /// histone cluster 1, H2be /// histone cluster 1, H2bl /// histone cluster 1, H2bm /// histone cluster 1, H2bp /// similar to Hist1h2bj protein /// H2b histone family member /// predicted gene, OTTMUSG00000013203"	0.000499950005	16993.95913	18733.84457	16970.96816	13318.7575	13264.77423	12754.08588	13211.00985	12049.1239	10187.0812	9834.744654	12098.15979	11019.2192	0.77674815094	0.653450761672
