Probe Set	Gene Symbol	UniGene ID	Representative Public ID	Gene Title=Chromosomal Location	Pvalue	CON1	CON2	CON3	CON4	CON5	BNF1	BNF2	BNF3	BNF4	BNF5	D3T1	D3T2	D3T3	D3T4	D3T5	OLT1	OLT2	OLT3	OLT4	OLT5	BNF(fold-change)	D3T(fold-change)	OLT(fold-change)
1375336_at	Hspcb	Rn.98667	AI237389	heat shock 90kDa protein 1, beta=chr9q12	0.00497512437811	15856.71234	15357.33966	15968.58756	16948.8317	15024.65465	12250.84473	10875.97824	14569.824	15445.26721	14590.15743	10368.9503	7097.359652	9811.063331	9970.337597	11356.13441	12021.81955	13481.86655	12540.58962	14540.55967	13970.10119	0.855676940115	0.614025064153	0.840805886024
1372701_at	Hspca	Rn.119867	AI237597	heat shock protein 1, alpha=chr6q32	0.00497512437811	12995.3228	15615.60397	15019.28829	16339.86553	16234.23081	12563.632	10660.98967	15164.35179	14869.16497	13850.4141	6646.235139	5597.584281	6801.060782	7349.850654	12161.15657	9969.343858	12382.08227	15084.55995	14855.72506	13947.29948	0.8806398391	0.505954147707	0.869229173535
1368365_at	Aldh3a2	Rn.9113 /// rn.9113	NM_031731	aldehyde dehydrogenase family 3, subfamily A2 /// aldehyde dehydrogenase family 3, subfamily A2=chr10q22	0.00497512437811	8649.651071	8115.809859	8384.526341	7528.180688	6850.250309	6892.503694	5405.540257	8052.01224	6998.274847	5284.826853	4490.615051	3811.013333	4395.836586	4703.915569	5158.02482	5025.055134	4549.954648	5489.725282	5806.004118	6106.517113	0.825561945579	0.570713586515	0.682477505477
1371754_at	Slc25a25	Rn.17644 /// rn.17644	AI177358	solute carrier family 25 (mitochondrial carrier, phosphate carrier), member 25 /// solute carrier family 25 (mitochondrial carrier, phosphate carrier), member 25=chr3p11	0.00497512437811	3664.745632	5377.164715	5541.646426	6941.347933	5189.275803	3365.160757	1903.493278	4165.580318	2696.070842	2014.477505	919.8820352	797.5049355	533.3597427	1779.575764	3159.467565	2773.675217	2850.962268	2709.258805	2811.486511	3235.59641	0.529485929588	0.26913758556	0.538327545034
1367939_at	Rbp1	Rn.902	NM_012733	retinol binding protein 1, cellular=chr8q31	0.00497512437811	3112.638721	3284.883477	2984.041884	2779.297528	2432.937966	1691.501862	1800.796097	1950.948663	1470.913456	1898.971687	1078.239118	783.6075561	1236.493028	1362.321353	1109.733182	1631.763478	1242.247222	1522.471388	1900.568028	1937.233767	0.603895628353	0.381695953003	0.564231668396
1381124_at	---	Rn.66488	AA819672	Transcribed locus, weakly similar to NP_035385.1 retinol binding protein 4, plasma [Mus musculus]=---	0.00497512437811	1750.187254	2083.382903	1811.023473	2004.953734	2453.291637	1270.068153	1371.030062	1912.29733	1589.166311	1413.385737	1625.944378	918.2040123	1101.091641	1189.171931	1243.252132	1455.940265	1311.381743	1378.6427	1285.832415	1901.214296	0.747903395496	0.601579822632	0.725836709689
1368870_at	Id2	Rn.3272	NM_013060	inhibitor of DNA binding 2=chr6q16	0.00497512437811	1406.888705	1552.670946	1175.922837	1014.381752	1313.177581	712.9846136	472.2217196	795.436028	648.0586162	1022.328143	249.3243153	286.6552678	269.1774881	378.1854851	675.8690667	458.1681425	1014.927112	677.9837919	1208.889539	597.5958404	0.564908787769	0.287668202449	0.612337740558
1386917_at	Pc	Rn.11094	NM_012744	Pyruvate carboxylase=chr1q42	0.00497512437811	832.2586086	620.0444837	626.3439605	583.3048943	524.3741566	438.3474645	457.6806709	627.3777015	509.8551267	457.4189894	373.8197889	349.0721629	362.2583071	431.7145646	479.7152035	403.9794692	508.635063	416.3281242	545.0199586	526.3139975	0.781677666359	0.626608815928	0.753305385068
1377869_at	Ccrn4l /// LOC310395	Rn.15040	BI284261	CCR4 carbon catabolite repression 4-like (S. cerevisiae) /// similar to Nocturnin (CCR4 protein homolog)=chr2q26	0.00497512437811	1071.594376	1126.870691	919.8787738	1167.285225	1259.389169	412.6916116	126.123897	712.9639883	212.5171457	121.2563363	9.265906291	15.87500163	10.31237371	101.9283485	86.74628242	242.6790792	118.4493165	529.6495456	210.8883981	173.3436548	0.285941887251	0.0404196890002	0.229937926299
1388539_at	Pkp2	Rn.27944	BE113268	plakophilin 2=chr11q23	0.00497512437811	367.8472299	257.2365489	213.1207084	257.3333728	241.8044743	164.917048	125.8615631	193.5100726	178.7637748	214.7443674	106.0038312	135.9653863	119.2213598	121.943802	189.5536584	179.0769999	210.3295677	167.855426	196.0247045	205.3230706	0.656374066226	0.503003621771	0.716802081347
1387184_at	Axin2	Rn.162212	NM_024355	axin2=chr10q32.1	0.00497512437811	216.5692367	297.5773345	178.4154902	152.8926404	276.7796378	184.5832171	129.3247884	131.4154618	120.5959308	183.7109065	90.87799679	59.07533823	31.10124004	73.22979743	126.4434129	105.6746172	224.1711639	159.0569657	143.5922745	147.2571013	0.667980187513	0.339258719819	0.694821121654
1394605_at	RGD1566149_predicted	Rn.19152	AI409909	similar to CDNA sequence BC017647 (predicted)=chr10q25	0.00497512437811	236.749015	198.4581991	163.2181712	157.2466562	258.7934837	118.5399945	143.4364144	114.8950323	138.1283099	154.1409471	114.2280954	75.10682661	96.013023	102.1608806	109.0876972	102.8164087	125.8954572	103.3360525	137.2324371	136.3622274	0.659599248647	0.489515425093	0.597006569327
1379704_at	Zfp143	Rn.105662	BM383283	zinc finger protein 143=chr1q33	0.00497512437811	114.2032949	115.7223378	90.95567647	106.1635338	136.6219348	92.80710614	72.17603127	89.78889526	87.39938192	91.75656897	70.76964739	79.10891319	74.02257521	81.33902002	70.77419963	78.8763825	82.90145957	77.25324119	100.1720379	101.4156722	0.769830688402	0.667086247175	0.781700839463
1385956_at	---	Rn.119429	BF289086	Transcribed locus=---	0.00497512437811	151.1515206	94.29136422	102.284886	85.85457862	121.264805	83.61043703	82.36067085	119.395175	84.67342151	84.20442746	67.67395749	46.65261118	46.64818822	69.18328591	74.71137885	69.35846188	83.2689967	111.1447823	81.97033347	86.138933	0.818683358498	0.549465594642	0.778379241732
