Probe Set	Gene Symbol	UniGene ID	Representative Public ID	Gene Title=Chromosomal Location	Pvalue	CON1	CON2	CON3	CON4	CON5	BNF1	BNF2	BNF3	BNF4	BNF5	D3T1	D3T2	D3T3	D3T4	D3T5	OLT1	OLT2	OLT3	OLT4	OLT5	BNF(fold-change)	D3T(fold-change)	OLT(fold-change)
1387243_at	Cyp1a2	Rn.5563 /// rn.5563	K02422	cytochrome P450, family 1, subfamily a, polypeptide 2 /// cytochrome P450, family 1, subfamily a, polypeptide 2=chr8q24	0.00497512437811	12301.44592	16058.77629	17906.13304	13897.95698	15796.60043	26938.18706	37552.21535	27516.5758	28092.42391	30827.54388	12345.43516	11510.49583	10957.1978	11107.25863	23386.78425	14677.21365	20499.7046	24640.50306	21902.80377	19807.35431	1.98690274662	0.91240572609	1.33657661335
1387759_s_at	Ugt1a1 /// Ugt1a6 /// Ugt1a7 /// Ugt1a8 /// Ugt1a2 /// Ugt1a3 /// Ugt1a10 /// Ugt1a5	Rn.26489	J02612	UDP glycosyltransferase 1 family, polypeptide A1 /// UDP glycosyltransferase 1 family, polypeptide A6 /// UDP glycosyltransferase 1 family, polypeptide A7 /// UDP glycosyltransferase 1 family, polypeptide A8 /// UDP glycosyltransferase 1 family polypeptide A2 /// UDP glycosyltransferase 1 family polypeptide A3 /// UDP glycosyltransferase 1 family polypeptide A10 /// UDP glycosyltransferase 1 family, polypeptide A5=chr9q35-q36 /// chr9q35	0.00497512437811	17820.23337	17074.71041	15897.04978	19066.44337	18171.67931	23795.2729	22018.99696	22668.9439	25014.24122	24756.07796	20250.86581	15325.77723	15612.98102	17335.77412	13480.21083	16145.03424	12085.15587	14204.38285	14627.84475	17358.39382	1.34333041908	0.931563111724	0.845401718284
1370244_at	Ctsl	Rn.1294	AI176595	cathepsin L=chr17p14	0.00497512437811	20509.73996	18174.29083	17617.34548	17419.38018	17767.08807	22056.5826	20110.56606	20034.57951	22703.01402	23389.92556	14644.21896	9926.384408	13126.25214	13918.91601	15228.32094	9799.267936	16489.20668	11225.59675	15462.0586	17445.95097	1.18370553288	0.730633591913	0.769742486616
1368335_at	Apoa1	Rn.10308 /// rn.10308	NM_012738	apolipoprotein A-I /// apolipoprotein A-I=chr8q23-q24	0.00497512437811	16439.50831	14415.2859	19943.19355	15219.16208	11349.52619	28863.01021	23271.217	26613.41469	29326.72602	23446.34059	9539.318786	11229.76393	13154.53253	8890.590632	14003.69437	8456.520487	15263.52775	10576.97304	14379.16779	14514.36374	1.6999658672	0.734397587741	0.816767063671
1371050_at	Pon1	Rn.20732	AI717733	paraoxonase 1=chr4q13	0.00497512437811	12358.4571	12433.39074	13418.20165	12621.1465	13703.20491	16449.65356	15717.93859	16680.20721	16047.54048	18144.00912	13975.05102	13720.39808	12850.67446	12705.94448	13917.46843	14423.81752	14656.70749	15672.1261	14903.57822	16440.32718	1.28674548461	1.04083303685	1.17916267059
1369275_s_at	Cyp2a1 /// Cyp2a2	Rn.9867	NM_012692	Cytochrome P450 IIA1 (hepatic steroid hydroxylase IIA1) gene /// cytochrome P450, subfamily 2A, polypeptide 1=chr1q21	0.00497512437811	5171.828212	9038.022354	7576.744377	7580.314603	9812.063329	12193.78277	15007.3547	11483.7918	12084.47117	14760.36155	7919.41457	6823.689285	6484.397829	4796.717533	9091.756876	7494.783091	7884.394725	9624.270726	9357.3509	8742.257152	1.67257478135	0.8962964957	1.10015790183
1367586_at	Ldha	Rn.107896 /// rn.107896	NM_017025	lactate dehydrogenase A /// lactate dehydrogenase A=chr1q22	0.00497512437811	6373.271521	7224.443372	8734.43695	5704.784366	5406.887674	7834.886283	12158.33167	6803.167855	7701.909096	8897.010255	4333.468403	3196.416031	3299.794967	3403.454459	4738.642212	3279.434307	4895.058242	3507.273981	5879.023991	5338.576531	1.29755811748	0.567272933214	0.684711387433
1383315_at	Eiih	Rn.8672 /// rn.8672	AW434208	hepatic protein EIIH /// hepatic protein EIIH=chr1q32	0.00497512437811	4739.151874	2541.95966	3545.162444	5634.381908	7419.344115	9645.188377	9218.373135	10442.92002	11734.16497	9121.882428	5910.926885	4945.284549	6114.997993	2546.435765	3351.192302	2888.274127	4955.083281	2792.611251	4445.355092	4876.277959	2.10060841407	0.957656511434	0.835745465208
1374320_at	F5_mapped	Rn.82910	AI717113	coagulation factor 5 (mapped)=chr13q22	0.00497512437811	3545.23238	6483.603899	6119.204888	5593.070034	6129.565392	6030.271197	6825.305183	7320.639468	6497.390005	7623.160891	5183.95051	4934.949	3333.501428	3720.950595	4560.5691	4050.883642	3783.972976	4629.280415	4505.342282	4455.040525	1.23056814317	0.779813168887	0.768711867059
1387511_at	Cyp2a1	Rn.32107 /// rn.32107	NM_012692	Cytochrome P450 IIA1 (hepatic steroid hydroxylase IIA1) gene /// Cytochrome P450 IIA1 (hepatic steroid hydroxylase IIA1) gene=chr1q21	0.00497512437811	2858.069948	5124.027347	4164.011478	4291.387521	5931.93153	6719.598415	7211.726704	6047.333802	6330.772293	7959.011856	4541.460069	3811.893111	4057.300857	2789.506408	4907.750222	3370.587447	4079.711559	5252.352364	5126.531484	4911.613934	1.53193203419	0.898901430345	1.01660163
