Probe Set	Gene Symbol	UniGene ID	Representative Public ID	Gene Title=Chromosomal Location	Pvalue	CON1	CON2	CON3	CON4	CON5	BNF1	BNF2	BNF3	BNF4	BNF5	D3T1	D3T2	D3T3	D3T4	D3T5	OLT1	OLT2	OLT3	OLT4	OLT5	BNF(fold-change)	D3T(fold-change)	OLT(fold-change)
1368060_at	Hrsp12	Rn.6987	NM_031714	heat-responsive protein 12=chr7q22	0.00497512437811	16361.28625	16036.61311	12658.07333	15918.42534	15733.70981	12312.01761	12009.51051	15115.94538	14944.35996	14987.07965	22556.67499	18174.49239	20759.52553	24962.86548	18896.19241	17630.61708	16160.1247	15719.72447	21755.19548	21623.74	0.904323090001	1.37338481898	1.21094633078
1367576_at	Gpx1	Rn.11323 /// rn.11323	S41066	glutathione peroxidase 1 /// glutathione peroxidase 1=---	0.00497512437811	15531.30268	14425.29698	17048.44871	12905.55343	15270.58404	10225.10764	11200.97074	11428.95352	12534.45606	13135.97658	15005.6067	17535.67446	18247.3023	13008.35704	19073.16482	19215.30306	19415.62259	18790.11492	17144.75859	17704.14719	0.778458917429	1.1022718569	1.22730102377
1390326_at	Ang1	unknown629	BF564217	angiogenin, ribonuclease A family, member 1=chr15p14	0.00497512437811	17348.57987	14378.2999	15840.5094	16882.89849	16307.30278	9959.582767	9875.657859	12035.09142	12562.96277	12473.89509	14041.70973	14222.16225	16466.50801	14633.49401	16250.18509	16146.62421	15254.34591	13057.17234	15502.3874	15121.12313	0.70466676378	0.936309004244	0.929716359551
1392172_at	Ccl9	Rn.145427	AI169984	chemokine (C-C motif) ligand 9=chr10q26	0.00497512437811	12484.26183	10735.17962	10207.57127	12018.26243	11005.90011	9732.518725	8729.191065	11183.19896	9835.210056	9262.202155	12854.05233	11840.72493	12342.08513	14484.59845	13717.11021	11600.3716	12169.85619	12243.99729	11977.71799	11195.53972	0.863442093747	1.1556636465	1.04847210917
1387234_at	Azgp1	Rn.5007	NM_012826	alpha-2-glycoprotein 1, zinc=chr12q11	0.00497512437811	12259.77167	11905.542	11370.10116	11188.16643	10961.90708	9694.597524	10092.67107	10774.76505	10426.55854	10523.52124	10904.29449	11957.38263	12488.4353	11552.28581	12308.56258	11306.79983	10272.60866	11370.10116	11762.3379	11052.12727	0.892982185058	1.02644464863	0.966689828321
1367793_at	Ddt	Rn.3464	NM_024131	D-dopachrome tautomerase=chr20p12	0.00497512437811	11169.13369	10497.81203	10948.16377	10491.9362	11319.09779	8839.621797	10111.59265	9641.249663	9486.304942	9732.912299	12073.55841	12551.99333	12718.43281	11195.43745	11180.45685	14201.32519	11929.14977	11800.70286	11338.12933	10759.7762	0.878469027822	1.09726456867	1.10294574467
1387770_at	isg12(a)	Rn.3867	NM_130743	putative ISG12(a) protein=chr6q32	0.00497512437811	8347.066446	10115.57746	12262.20578	10157.92988	10740.16778	9274.387044	9456.354074	8261.28782	7907.190187	9021.169559	11570.00061	13434.73571	12569.2671	10398.16123	11249.60145	15045.61804	11178.68975	10295.64454	8835.716474	10966.82917	0.850791962528	1.14719846783	1.09103607736
1367613_at	Prdx1	Rn.2845 /// rn.2845	NM_057114	peroxiredoxin 1 /// peroxiredoxin 1=chr5q36	0.00497512437811	11394.37735	8934.257805	10147.54192	8983.031827	10251.8678	8442.311226	8452.000692	8851.311991	8827.730982	8912.479575	11297.72235	10813.15766	11305.34376	11514.76318	10587.75019	11297.92932	10362.13296	9091.387969	10183.50028	10186.36212	0.87477152681	1.1168282971	1.0283686462
1370420_at	Srd5a1	Rn.4620 /// rn.4620	J05035	steroid 5 alpha-reductase 1 /// steroid 5 alpha-reductase 1=chr17p14	0.00497512437811	7395.740965	6829.084169	7774.852553	6204.382561	7192.009544	4200.64048	7036.026202	5941.495772	5391.158276	6440.377775	8531.468943	9585.868874	9302.374007	9235.048868	14097.04062	7832.760333	11901.41054	10759.95945	12229.38344	10600.16815	0.819574000036	1.43382589113	1.50648595243
1367667_at	Fdps	Rn.2848	NM_031840	farensyl diphosphate synthase=chr2q34	0.00497512437811	6981.740646	7567.783809	9899.519936	6073.392783	7265.46087	2889.533899	7437.014244	5056.342658	6463.234673	5625.850656	10396.6655	9597.533464	9436.032093	7920.947227	10361.32827	12491.59543	8073.454186	6378.196988	7667.459469	8625.492625	0.727004611318	1.26263986683	1.14418109861
1383732_at	RGD1307603_predicted	Rn.16668	AA819810	similar to hypothetical protein MGC37914 (predicted)=chr1q42	0.00497512437811	7036.754278	8252.384349	6472.261127	6163.033467	6525.901787	4836.957077	4018.370072	7914.988451	4911.287081	3948.388979	9064.407028	8557.783702	9333.882431	8191.136155	9980.872416	7509.505946	9169.495217	10249.15877	8370.134556	8891.970458	0.743969301142	1.30994609259	1.28272380912
1386858_at	Rpl13	Rn.908	NM_031101	ribosomal protein L13=chr19q12	0.00497512437811	6895.24123	6330.78379	6663.21694	6313.571354	6469.812468	5411.220856	5635.792071	5657.455201	6055.310693	6330.958222	7823.565751	8659.700115	8927.573369	8027.312183	8034.804523	8950.822476	9178.318527	5538.076857	6428.98068	6665.825013	0.890370343574	1.2693487269	1.12516281361
