Probe Set	Gene Symbol	UniGene ID	Representative Public ID	Gene Title=Chromosomal Location	Pvalue	CON1	CON2	CON3	CON4	CON5	BNF1	BNF2	BNF3	BNF4	BNF5	D3T1	D3T2	D3T3	D3T4	D3T5	OLT1	OLT2	OLT3	OLT4	OLT5	BNF(fold-change)	D3T(fold-change)	OLT(fold-change)
1394844_s_at	Cyp4a14	Rn.33492	AA893326	cytochrome P450, family 4, subfamily a, polypeptide 14=chr5q36	0.00497512437811	12292.23983	11891.07297	11268.05203	11356.77367	11912.12386	9341.214571	6168.451962	9117.648331	7243.829931	10118.7366	6930.997583	6611.078042	8045.57469	7656.195054	9187.374995	7215.81212	9951.70952	6944.096975	11015.66599	9291.009413	0.715083341038	0.654479711422	0.756438957062
1387325_at	Slc27a5	Rn.15135	NM_024143	solute carrier family 27 (fatty acid transporter), member 5=chr1q21	0.00497512437811	10652.55655	8090.43136	11541.99299	8680.202173	10186.74347	5607.436917	6423.269441	5837.830266	6577.176817	5975.736092	3294.788402	3833.543141	6585.336836	5048.963106	5891.807707	4813.511594	5744.078698	6031.747079	5262.336612	5936.761784	0.618926900177	0.501596599076	0.565358017914
1388988_at	Abhd14b	Rn.2080	AI175070	abhydrolase domain containing 14b=chr8q32	0.00497512437811	8888.173601	7569.706246	6443.924386	6899.685847	6725.975041	5677.58026	4840.631011	6338.065176	6128.01643	5983.190282	6348.560849	5548.131242	6532.894833	6732.057669	6143.006353	5877.630904	5586.524057	5302.025708	5988.551859	6255.260885	0.793032942829	0.857016791127	0.794196731607
1370387_at	Cyp3a13	Rn.10489 /// rn.10489	U46118	cytochrome P450, family 3, subfamily a, polypeptide 13 /// cytochrome P450, family 3, subfamily a, polypeptide 13=chr12q11	0.00497512437811	11247.24494	12842.87527	9351.462667	13286.04191	14376.92063	2614.855902	2808.097806	6545.005957	3448.214365	5919.491646	2545.084375	1368.34102	1403.201121	2793.554227	6535.915607	1823.743638	5153.380741	4089.65611	8339.400557	8400.007438	0.349166588678	0.239689146692	0.455059247953
1370149_at	Asgr1	Rn.44300	NM_012503	asialoglycoprotein receptor 1=chr10q24	0.00497512437811	9274.28046	6628.018987	6473.969978	5767.303461	6912.009332	4223.076775	5696.697838	5783.113093	5226.010145	5569.050077	4710.033481	4493.186219	6013.200966	4611.596973	5126.282074	5110.081694	4474.104599	3781.238646	5297.763148	5114.426327	0.755883835083	0.711849529636	0.678283255036
1393887_at	Chpt1	Rn.154718	AI511041	choline phosphotransferase 1=chr7q13	0.00497512437811	5319.456188	4117.930112	4225.564351	4225.243557	4443.524631	3136.065768	2874.561636	3294.641696	3244.379211	3394.560846	2647.728556	3395.701927	2849.152978	2395.347447	3185.335237	2939.008997	2923.471638	3176.343163	3791.737775	3345.830697	0.713971426559	0.648103544978	0.724368436958
1371913_at	Tgfbi	Rn.1046	BG379319	transforming growth factor, beta induced=chr17p14	0.00497512437811	4502.421352	4213.636773	4201.485268	4130.488817	4442.641494	2561.535889	2693.745297	3624.031751	2596.117598	2822.661886	2751.658124	2931.306154	3366.923228	2625.007465	3391.179441	3027.103693	3174.433081	2584.541549	3157.096055	3476.591994	0.665316156112	0.701051750146	0.717509678123
1373710_at	---	Rn.176436	BI296600	Transcribed locus, moderately similar to XP_579384.1 PREDICTED: hypothetical protein XP_579384 [Rattus norvegicus]=---	0.00497512437811	3977.096217	4736.076109	3361.032296	5113.140096	3852.472465	2753.900653	2083.162619	4251.177936	2662.89434	1946.785677	2146.999828	1984.919963	1883.498749	2443.914249	3276.579793	2828.607077	2450.66055	2632.278533	2394.360403	3169.83656	0.651047540283	0.557795368654	0.640487652806
1367741_at	Herpud1	Rn.4028 /// rn.4028	NM_053523	homocysteine-inducible, endoplasmic reticulum stress-inducible, ubiquitin-like domain member 1 /// homocysteine-inducible, endoplasmic reticulum stress-inducible, ubiquitin-like domain member 1=chr19p12	0.00497512437811	5575.306757	5233.816107	4445.622864	4786.481573	4715.317334	2196.190796	3296.11152	2583.599696	2549.384424	1455.737827	3260.176757	2971.800512	3299.13793	4256.35536	1271.092847	3866.024219	702.3825126	1005.786515	618.8175981	1692.611244	0.487993152563	0.608265960699	0.318526765547
1367642_at	Suclg1	Rn.3766	NM_053752	succinate-CoA ligase, GDP-forming, alpha subunit=chr4q33	0.00497512437811	3970.029962	3921.68393	3680.559733	3462.447954	3472.796624	2497.54987	2144.089346	2860.214818	2830.998422	3095.951617	2769.267954	2225.363784	3269.089228	2849.211849	2312.450727	2308.142323	2301.072191	1962.413557	3048.309893	3320.388275	0.725586430644	0.725401612185	0.699192949431
