Probe Set	Gene Symbol	UniGene ID	Representative Public ID	Gene Title=Chromosomal Location	Pvalue	CON1	CON2	CON3	CON4	CON5	BNF1	BNF2	BNF3	BNF4	BNF5	D3T1	D3T2	D3T3	D3T4	D3T5	OLT1	OLT2	OLT3	OLT4	OLT5	BNF(fold-change)	D3T(fold-change)	OLT(fold-change)
1367755_at	Cdo1	Rn.2589	NM_052809	cysteine dioxygenase 1, cytosolic=chr18q11	0.00497512437811	17171.53643	18184.09114	17502.94298	19512.10207	18369.08303	13007.35	14246.47344	15341.62593	13525.67469	10596.63196	15085.04197	16196.81035	16620.22923	16637.68168	16473.3137	15341.44048	13236.28059	14384.22079	12862.01646	13343.98831	0.735264885188	0.892806866733	0.762267278929
1375336_at	Hspcb	Rn.98667	AI237389	heat shock 90kDa protein 1, beta=chr9q12	0.00497512437811	15856.71234	15357.33966	15968.58756	16948.8317	15024.65465	12250.84473	10875.97824	14569.824	15445.26721	14590.15743	10368.9503	7097.359652	9811.063331	9970.337597	11356.13441	12021.81955	13481.86655	12540.58962	14540.55967	13970.10119	0.855676940115	0.614025064153	0.840805886024
1372701_at	Hspca	Rn.119867	AI237597	heat shock protein 1, alpha=chr6q32	0.00497512437811	12995.3228	15615.60397	15019.28829	16339.86553	16234.23081	12563.632	10660.98967	15164.35179	14869.16497	13850.4141	6646.235139	5597.584281	6801.060782	7349.850654	12161.15657	9969.343858	12382.08227	15084.55995	14855.72506	13947.29948	0.8806398391	0.505954147707	0.869229173535
1367620_at	Prpsap2 /// Atp5g3 /// Ubadc1	Rn.2180 /// rn.2180 /// Rn.2681 /// rn.2681 /// Rn.6512 /// rn.6512	NM_053756	Phosphoribosyl pyrophosphate synthetase-associated protein 2 /// Phosphoribosyl pyrophosphate synthetase-associated protein 2 /// ATP synthase, H+ transporting, mitochondrial F0 complex, subunit c (subunit 9) isoform 3 /// ATP synthase, H+ transporting, mitochondrial F0 complex, subunit c (subunit 9) isoform 3 /// Ubiquitin associated domain containing 1 /// Ubiquitin associated domain containing 1=chr10q23 /// chr3q23 /// chr3p13	0.00497512437811	11600.60583	10755.3827	12423.48198	10670.54638	11695.99306	9206.29834	8600.975855	9564.983138	9192.000875	9547.451759	9858.615364	10463.05144	10788.87914	9483.426798	9290.174693	9742.522953	9801.403611	8422.203678	11189.54878	10555.65688	0.806910403847	0.872924417272	0.869900382293
1370310_at	Hmgcs2	Rn.29594 /// rn.29594	M33648	3-hydroxy-3-methylglutaryl-Coenzyme A synthase 2 /// 3-hydroxy-3-methylglutaryl-Coenzyme A synthase 2=chr2q34	0.00497512437811	13995.06464	13095.64711	13540.29011	10828.4624	10258.89319	10272.69168	9770.251403	9761.548371	11305.07122	10610.79138	6029.914581	6145.857112	7181.814975	6254.430674	9000.36722	7361.964971	9598.508837	6822.983679	8892.058041	9399.517263	0.838006003253	0.560811823128	0.681726386271
1394844_s_at	Cyp4a14	Rn.33492	AA893326	cytochrome P450, family 4, subfamily a, polypeptide 14=chr5q36	0.00497512437811	12292.23983	11891.07297	11268.05203	11356.77367	11912.12386	9341.214571	6168.451962	9117.648331	7243.829931	10118.7366	6930.997583	6611.078042	8045.57469	7656.195054	9187.374995	7215.81212	9951.70952	6944.096975	11015.66599	9291.009413	0.715083341038	0.654479711422	0.756438957062
1367680_at	Acox1	Rn.31796 /// rn.31796	NM_017340	acyl-Coenzyme A oxidase 1, palmitoyl /// acyl-Coenzyme A oxidase 1, palmitoyl=chr10q32.3	0.00497512437811	9492.077339	9962.09173	10009.07062	9110.677208	9636.778968	6589.81263	6480.258461	7528.301436	7333.065345	7815.439501	8009.928449	7135.689577	8796.147188	8000.282783	6806.994176	7954.851812	5816.824936	5600.139888	6556.247126	7361.87863	0.741471923017	0.803743681309	0.690509477092
1371715_at	MGC112883	Rn.55623	AI012212	LOC500651=chr6q23	0.00497512437811	10410.71078	8645.363087	6962.329464	8884.255141	9409.45651	6870.249893	5211.215317	9088.10495	7407.341983	6739.87972	5152.974829	4974.758168	4571.357744	5179.102299	6025.522818	4634.050176	5806.938623	6001.052725	7499.270982	8389.11571	0.797000817437	0.58457412535	0.729606976086
1387325_at	Slc27a5	Rn.15135	NM_024143	solute carrier family 27 (fatty acid transporter), member 5=chr1q21	0.00497512437811	10652.55655	8090.43136	11541.99299	8680.202173	10186.74347	5607.436917	6423.269441	5837.830266	6577.176817	5975.736092	3294.788402	3833.543141	6585.336836	5048.963106	5891.807707	4813.511594	5744.078698	6031.747079	5262.336612	5936.761784	0.618926900177	0.501596599076	0.565358017914
1388988_at	Abhd14b	Rn.2080	AI175070	abhydrolase domain containing 14b=chr8q32	0.00497512437811	8888.173601	7569.706246	6443.924386	6899.685847	6725.975041	5677.58026	4840.631011	6338.065176	6128.01643	5983.190282	6348.560849	5548.131242	6532.894833	6732.057669	6143.006353	5877.630904	5586.524057	5302.025708	5988.551859	6255.260885	0.793032942829	0.857016791127	0.794196731607
1370387_at	Cyp3a13	Rn.10489 /// rn.10489	U46118	cytochrome P450, family 3, subfamily a, polypeptide 13 /// cytochrome P450, family 3, subfamily a, polypeptide 13=chr12q11	0.00497512437811	11247.24494	12842.87527	9351.462667	13286.04191	14376.92063	2614.855902	2808.097806	6545.005957	3448.214365	5919.491646	2545.084375	1368.34102	1403.201121	2793.554227	6535.915607	1823.743638	5153.380741	4089.65611	8339.400557	8400.007438	0.349166588678	0.239689146692	0.455059247953
1368365_at	Aldh3a2	Rn.9113 /// rn.9113	NM_031731	aldehyde dehydrogenase family 3, subfamily A2 /// aldehyde dehydrogenase family 3, subfamily A2=chr10q22	0.00497512437811	8649.651071	8115.809859	8384.526341	7528.180688	6850.250309	6892.503694	5405.540257	8052.01224	6998.274847	5284.826853	4490.615051	3811.013333	4395.836586	4703.915569	5158.02482	5025.055134	4549.954648	5489.725282	5806.004118	6106.517113	0.825561945579	0.570713586515	0.682477505477
