Probe Set	Gene Symbol	UniGene ID	Representative Public ID	Gene Title=Chromosomal Location	Pvalue	CON1	CON2	CON3	CON4	CON5	BNF1	BNF2	BNF3	BNF4	BNF5	D3T1	D3T2	D3T3	D3T4	D3T5	OLT1	OLT2	OLT3	OLT4	OLT5	BNF(fold-change)	D3T(fold-change)	OLT(fold-change)
1367774_at	Gsta3	Rn.10460 /// rn.10460	NM_031509	glutathione S-transferase A3 /// glutathione S-transferase A3=chr9q13	0.00497512437811	19157.54362	18956.84782	19669.85879	17775.78153	20047.2342	21860.51138	20431.26655	22255.7582	20606.73418	25823.16797	32345.67681	33503.30315	29578.79624	31295.4079	26842.08893	33314.91195	24646.16693	26064.62259	25817.4038	27791.82164	1.16076364245	1.6062092299	1.43958647419
1367565_a_at	Fth1	Rn.54447 /// rn.54447	NM_012848	ferritin, heavy polypeptide 1 /// ferritin, heavy polypeptide 1=chr1q43	0.00497512437811	18533.22502	19341.48827	19953.68494	19953.68494	20060.79486	21075.69622	21003.6139	21475.14393	21159.70201	21556.70194	24512.43425	22257.46335	22951.52269	23466.04747	21704.60775	21484.96118	20198.61862	18851.55028	22256.00703	22626.92194	1.08613789925	1.17425077658	1.0774218949
1368180_s_at	Gsta2	Rn.144550	NM_017013	glutathione-S-transferase, alpha type2=chr8q31	0.00497512437811	8809.193511	5845.934705	8023.495222	5732.099789	10561.9233	20787.57805	20374.8321	18423.07728	17740.98658	24984.48691	31536.2389	34564.23488	33815.34307	32286.32199	24508.9147	37922.99089	26629.00791	19131.68974	19105.73237	20665.05768	2.62519921117	4.021052392	3.16772119914
1370274_at	Ubb	Rn.1253 /// rn.1253	D16554	polyubiquitin /// polyubiquitin=chr10q23	0.00497512437811	17268.23056	13323.59661	16872.77995	19293.95224	19102.15283	20904.48469	21179.665	21158.23348	20302.34185	22181.31674	20845.59975	20130.89899	22389.21228	20964.10602	24171.30508	19265.8953	23135.55921	20740.17648	22197.25473	23096.92834	1.23136693213	1.26368765589	1.26292702791
1371050_at	Pon1	Rn.20732	AI717733	paraoxonase 1=chr4q13	0.00497512437811	12358.4571	12433.39074	13418.20165	12621.1465	13703.20491	16449.65356	15717.93859	16680.20721	16047.54048	18144.00912	13975.05102	13720.39808	12850.67446	12705.94448	13917.46843	14423.81752	14656.70749	15672.1261	14903.57822	16440.32718	1.28674548461	1.04083303685	1.17916267059
1371245_a_at	LOC689064	unknown48	BI287300	similar to Hemoglobin beta-2 subunit (Hemoglobin beta-2 chain) (Beta-2-globin) (Hemoglobin beta chain, minor-form) /// similar to Hemoglobin beta-2 subunit (Hemoglobin beta-2 chain) (Beta-2-globin) (Hemoglobin beta chain, minor-form)=chr1q32	0.00497512437811	5230.792008	3808.264479	8944.996795	8370.886901	8088.741608	10481.75433	11743.53615	5752.381525	15011.04121	9689.949825	14039.89679	17418.17703	11514.76318	13564.75726	20800.91628	15734.13667	19773.74853	14751.28802	11310.08311	12492.37256	1.52941440348	2.24536131211	2.15022393191
1387669_a_at	Ephx1	Rn.3603 /// rn.3603	NM_012844	epoxide hydrolase 1, microsomal /// epoxide hydrolase 1, microsomal=chr13q26	0.00497512437811	4498.511981	3247.376715	4775.635825	3727.588733	4184.116656	7001.62049	5175.895053	5979.04917	7551.523247	9256.342422	20956.25744	23774.08621	23085.61299	17824.58528	12448.61966	26762.40354	12490.88035	10010.26114	9384.817273	12736.54354	1.7111553355	4.80047266203	3.49356935528
1369954_at	Idh1	Rn.3561	NM_031510	isocitrate dehydrogenase 1 (NADP+), soluble=chr9q32	0.00497512437811	8653.394141	8382.615552	10041.20402	7571.704957	8157.153922	9245.953746	9681.692579	9373.266652	9630.483331	11233.75855	10476.79875	11937.54416	12379.07349	10969.09355	12009.18503	11678.02124	10015.42054	9960.259191	11323.23274	10609.45325	1.14855561094	1.34961447014	1.25184077203
1388122_at	Gstp1 /// Gstp2	Rn.87063 /// rn.87063	X02904	glutathione-S-transferase, pi 1 /// glutathione-S-transferase, pi 1 /// glutathione S-transferase, pi 2 /// glutathione S-transferase, pi 2=chr1q43 /// chr1q42	0.00497512437811	192.228521	117.532954	237.2737544	95.13264689	199.6075902	1337.860326	750.6513333	763.347617	1247.083232	1342.54566	34883.29645	39843.01051	30333.79728	28334.5612	1257.152829	39317.76979	766.6240533	785.8157339	408.8738935	842.2662958	6.46429883611	159.961680554	50.038699681
1371942_at	RGD1562732_predicted	Rn.92581	BM390378	similar to Glutathione S-transferase, theta 3 (predicted)=chr20p12	0.00497512437811	2446.576282	2325.52991	3263.23631	2276.863756	3600.054121	3824.945934	2553.736523	4737.186613	4274.644239	6598.133441	15184.36661	13701.01885	13276.03465	12136.40866	9320.209572	15929.88664	6633.462675	8509.42132	7774.072517	7972.069764	1.5805229453	4.57280388728	3.36529878255
