Probe Set	Gene Symbol	UniGene ID	Representative Public ID	Gene Title=Chromosomal Location	Pvalue	CON1	CON2	CON3	CON4	CON5	BNF1	BNF2	BNF3	BNF4	BNF5	D3T1	D3T2	D3T3	D3T4	D3T5	OLT1	OLT2	OLT3	OLT4	OLT5	BNF(fold-change)	D3T(fold-change)	OLT(fold-change)
1371237_a_at	Mt1a	Rn.54397 /// rn.54397	AF411318	metallothionein 1a /// metallothionein 1a=chr19p12	0.00497512437811	27659.72246	41773.82475	35895.27027	31936.05389	34112.36406	34825.93606	37543.07657	35562.0093	27631.51376	38304.08133	1541.496673	1477.052807	1134.206245	2526.049194	15947.70518	2766.721666	16409.03025	16569.92302	14838.17613	12438.43115	1.01452574249	0.132027512535	0.367740103042
1393245_at	Phyh	Rn.7279	AI029057	Phytanoyl-CoA hydroxylase=chr17q12.3	0.00497512437811	28809.12974	25842.51948	23358.71498	25846.60658	29174.09252	31096.39806	22205.64582	24341.177	27011.15668	19487.83483	6484.544221	6838.182874	6517.149569	6557.818465	8726.050091	6978.944193	10293.35244	11260.38512	10662.50228	12513.00384	0.9331821404	0.264026644219	0.388692584952
1370708_a_at	LOC191574	Rn.10021	M61937	3-alpha-hydroxysteroid dehydrogenase=chr17q12.3	0.00497512437811	18199.42627	14029.75252	12938.84582	15539.44352	15968.8459	14985.95226	11775.43128	16249.9802	17560.6324	14948.37945	12921.43242	6153.126554	7882.33418	10626.70454	9251.17173	7633.299803	9866.904568	9998.284542	13226.16258	15126.12683	0.984924439123	0.610811435272	0.728396754976
1368150_at	Slc27a2	Rn.3608 /// rn.3608	NM_031736	solute carrier family 27 (fatty acid transporter), member 2 /// solute carrier family 27 (fatty acid transporter), member 2=chr3q36	0.00497512437811	15643.22014	14482.8496	14751.31931	13652.24851	13693.51006	15189.60697	15218.5898	14248.96451	14360.71848	13989.90165	10073.81855	10306.04638	11586.29152	11013.35176	11608.17505	11030.53037	11413.0767	10184.23172	11409.35117	9839.087585	1.01086402097	0.755819776053	0.745969669288
1367887_at	Lcat	Rn.10481 /// rn.10481	NM_017024	lecithin cholesterol acyltransferase /// lecithin cholesterol acyltransferase=chr19q12	0.00497512437811	12203.27334	12830.10601	13889.19313	12379.94925	12089.69024	11434.16592	13148.59676	13983.52884	11762.63671	12056.36451	7307.575985	6318.764315	7714.542463	7640.73156	10415.58499	6953.601907	9679.824865	7758.144759	10946.66897	10991.6068	0.984116042039	0.621483271977	0.730844465925
1371327_a_at	Actg1 /// LOC295810	unknown52	BG666668	actin, gamma, cytoplasmic 1 /// similar to Actin, cytoplasmic 2 (Gamma-actin)=chr10q32.3	0.00497512437811	13580.96562	15486.07657	16283.89473	12688.58419	11793.81101	9999.246165	13892.80555	12774.47924	12242.83532	14474.26701	6472.573735	4179.825679	5466.713791	4475.541901	7133.817038	5179.709958	9433.094989	6050.777545	12257.95021	11121.22285	0.907641542524	0.397066433782	0.630683861345
1367775_at	Amacr	Rn.2590 /// rn.2590	NM_012816	alpha-methylacyl-CoA racemase /// alpha-methylacyl-CoA racemase=chr2q16	0.00497512437811	12330.83187	8845.905838	10321.26406	9375.862649	9167.073465	9947.309156	9246.563051	9872.16697	9024.549938	8626.888414	6550.496293	5425.745489	6119.953984	7188.108698	9391.841917	6994.708888	7948.361367	8382.720488	8683.849395	8414.450354	0.933585170589	0.692955564957	0.807820400715
1387271_at	Phyh	Rn.7279	NM_053674	phytanoyl-CoA hydroxylase=chr17q12.3	0.00497512437811	10824.12827	11969.28257	13510.44084	10901.90248	12339.40329	12455.74773	15368.67672	12081.23859	12015.91248	10715.17877	3644.565946	3172.290664	3158.706334	3151.785483	3707.265362	4434.826903	5705.319243	6851.947632	4454.752888	6612.158901	1.05192020598	0.282720115454	0.471222291931
1388310_at	Sui1-rs1_predicted	Rn.137199	AI012372	suppressor of initiator codon mutations, related sequence 1 (S. cerevisiae) (predicted)=chr10q32.1	0.00497512437811	8645.401619	8081.406902	7881.040283	7264.773988	7913.38948	7715.072399	6859.853115	7728.222899	7979.611373	7570.574189	7057.572017	6867.375618	6383.468015	6398.365891	6288.330853	6361.627795	6719.014787	5048.266404	5971.535527	6195.494492	0.951423171446	0.829314387389	0.761472117333
1368435_at	Cyp8b1	Rn.23013 /// rn.23013	NM_031241	cytochrome P450, family 8, subfamily b, polypeptide 1 /// cytochrome P450, family 8, subfamily b, polypeptide 1=chr8q32	0.00497512437811	7906.381036	9569.774736	13500.165	6713.332067	7528.686394	11193.50271	11499.55951	10422.00391	11686.18708	11185.70812	2249.550112	2090.2906	2642.869456	1851.119876	4448.89693	5166.278278	3476.533341	5349.788791	6881.876849	3662.904013	1.23814722698	0.293746457727	0.542642248437
1367754_s_at	Asl /// Hnrpab	Rn.64591	NM_031330	argininosuccinate lyase /// heterogeneous nuclear ribonucleoprotein A/B=chr12q13 /// chr10q22	0.00497512437811	7642.963631	8884.238576	9402.483994	7869.522857	8488.628722	8260.917968	7155.437877	9511.336615	8364.345557	8677.587668	3045.830726	3878.754795	3915.051744	3991.998989	5762.281957	6942.419172	5777.674849	7107.630709	5916.030357	5653.109395	0.992475091854	0.486993880324	0.742456132313
1367735_at	Acadl	Rn.174 /// rn.174	NM_012819	acetyl-Coenzyme A dehydrogenase, long-chain /// acetyl-Coenzyme A dehydrogenase, long-chain=chr9q32	0.00497512437811	7989.803407	7308.808914	8885.397234	8326.184891	7635.28244	6570.016553	6252.702236	8236.290212	7838.361254	7717.166301	4587.423613	3736.647974	4851.635868	4014.083883	4428.40029	4324.699632	5305.293349	5038.858926	5401.013653	6283.356145	0.912046372247	0.538496321501	0.656443110138
1368916_at	Asl	Rn.64591	NM_021577	argininosuccinate lyase=chr12q13	0.00497512437811	7579.372938	7689.382441	7315.827638	7134.8119	6661.787316	7412.207788	6373.49192	8877.95918	7550.433645	7333.938638	2806.537168	2501.890078	3110.754183	3545.200681	4612.569743	4683.718063	4200.057228	5444.661641	5034.198227	5088.749009	1.03207287027	0.45564632141	0.67208877412
1372242_at	Ddx3x	Rn.95841	AI169598	DEAD/H (Asp-Glu-Ala-Asp/His) box polypeptide 3, X-linked=chrXq12	0.00497512437811	8811.664129	6881.084334	5708.862502	6821.351025	6956.116647	6667.628737	5675.419625	6271.841521	6702.628417	7746.283301	5409.17021	3886.869567	3746.744046	4555.188056	4965.965764	3446.539872	5020.597591	3129.044975	5206.445793	6432.470855	0.939871164398	0.641402177579	0.660480603422
1398819_at	Dnaja1	Rn.64562	NM_022934	DnaJ (Hsp40) homolog, subfamily A, member 1=chr5q22	0.00497512437811	5196.796354	5840.966641	6358.095055	6614.895545	6799.532819	6209.741424	5066.441056	6785.292155	7061.651113	6641.339525	3825.381878	3076.871931	3293.318186	4221.439346	3851.633218	3507.813814	4332.034629	4605.193943	5290.149653	4803.986395	1.03096949007	0.592939783601	0.731547189505
1369011_at	Apoa5	Rn.48763 /// rn.48763	AF202888	apolipoprotein A-V /// apolipoprotein A-V=chr8q23	0.00497512437811	6773.909889	5604.404107	6709.5084	5471.993496	5052.225962	4349.347665	6371.576133	5622.747632	5481.272901	6185.378822	4592.321975	3776.262293	5366.362882	4176.794677	5217.89443	3586.643206	5040.48597	3586.704762	4477.458919	5301.239702	0.94590988663	0.781088868206	0.742688824615
1383003_at	Lect2_predicted	Rn.23016	AA924735	leukocyte cell-derived chemotaxin 2 (predicted)=chr17p14	0.00497512437811	6291.491471	6080.724958	7724.252177	5856.224843	6400.460977	5761.221219	5976.27649	6654.659804	5908.126947	6223.22568	2191.911022	2365.782879	3347.084017	1935.658163	5017.623931	3375.201363	4915.2934	4245.788703	5292.516586	4982.920323	0.943447731188	0.459246100592	0.705084891403
1388271_at	LOC682651 /// LOC689415	Rn.115549 /// rn.115549	BM383531	similar to Metallothionein-2 (MT-2) (Metallothionein-II) (MT-II) /// similar to Metallothionein-2 (MT-2) (Metallothionein-II) (MT-II) /// similar to Metallothionein-2 (MT-2) (Metallothionein-II) (MT-II) /// similar to Metallothionein-2 (MT-2) (Metallothionein-II) (MT-II)=chr19p12	0.00497512437811	5284.754982	10341.05065	8248.992674	7060.73179	8012.86847	7078.834054	12576.21468	8549.95102	5551.620017	8043.497556	113.5584752	127.3424047	125.7517619	260.0002849	3281.823418	415.2418824	3466.894333	5003.810331	1948.790243	1865.263533	1.07321786944	0.100350116785	0.326072464851
