Probe Set	Gene Symbol	UniGene ID	Representative Public ID	Gene Title=Chromosomal Location	Pvalue	CON1	CON2	CON3	CON4	CON5	BNF1	BNF2	BNF3	BNF4	BNF5	D3T1	D3T2	D3T3	D3T4	D3T5	OLT1	OLT2	OLT3	OLT4	OLT5	BNF(fold-change)	D3T(fold-change)	OLT(fold-change)
1367634_at	Rpl31	Rn.1101	NM_022506	ribosomal protein L31=chr9q21	0.00497512437811	13969.13434	12685.26695	11826.92376	11881.64822	12422.47063	13431.4581	12782.76115	12101.55677	13267.82299	12441.70427	16244.67489	16011.58358	18617.39125	16893.18131	14385.60514	14960.11692	14703.67599	11556.91367	13977.69363	13227.1574	1.01974756095	1.30846309378	1.08983154947
1370698_at	Udpgtr2	Rn.9969 /// rn.9969	M13506	liver UDP-glucuronosyltransferase, phenobarbital-inducible form /// liver UDP-glucuronosyltransferase, phenobarbital-inducible form=chr14p21	0.00497512437811	7465.146047	5535.410675	8051.094571	6163.970192	6967.197815	6296.623979	4809.344811	6354.959872	5296.936653	6999.540107	9594.035284	10389.66106	13251.79619	8722.041805	7470.52708	8217.666289	6935.774701	5010.428135	7288.928989	8456.175069	0.870536896352	1.44599136148	1.05049770377
1371368_at	Sec61a1	Rn.47029	BI279499	Sec61 alpha 1 subunit (S. cerevisiae)=chr4q34	0.00497512437811	2365.395269	2102.679632	2528.413942	2108.63818	2501.788128	2107.629525	2543.240146	2132.264241	2147.016451	2552.403726	2783.329472	3021.076246	3207.978661	2737.715185	2984.564589	3205.102744	2675.344979	2530.918876	2342.117354	2397.673733	0.989285606005	1.26947289278	1.13304504383
1392616_at	---	Rn.199390	AI575519	Transcribed locus=---	0.00497512437811	1699.245739	1707.297834	1903.930842	1697.966876	2165.205241	2122.662562	1578.306629	1654.714805	1566.59808	2686.155298	3164.21001	2903.405153	3970.14986	3323.15599	2534.34996	2733.818407	2225.26738	1542.692791	2228.994158	2278.069979	1.04739563929	1.73271020608	1.20005089324
1389544_at	LOC682454 /// LOC685620	Rn.160555	BG669998	similar to translocase of outer mitochondrial membrane 7 homolog /// similar to translocase of outer mitochondrial membrane 7 homolog=chr4q11	0.00497512437811	1680.069314	1501.03505	1671.198955	1608.364764	1729.391826	1634.70989	1713.808586	1609.005063	1853.35262	1874.8346	2166.564317	2570.212254	2818.014813	2136.55568	2106.405313	2060.367681	1897.970785	1164.204908	1844.651351	1749.487062	1.06051858662	1.44049646866	1.06430012526
1382971_at	Pdcd6ip	Rn.1588	BF389407	programmed cell death 6 interacting protein=---	0.00497512437811	1521.403644	1505.636623	1149.717682	1508.481837	1620.267937	1392.035434	1239.025162	1461.383917	1341.437739	1198.01771	1822.379086	1671.856098	1826.52845	1933.097246	1640.962074	1512.483575	1442.957807	1219.113946	1602.879171	1397.737764	0.907794531668	1.21755027731	0.982159287904
1370179_at	Dncl2a	Rn.3560	AI102949	dynein, cytoplasmic, light chain 2A=chr3q42	0.00497512437811	1344.886492	1322.145595	1334.640432	1163.784128	1277.151626	1157.675337	1366.833853	1225.943725	1151.954709	1273.495759	1454.599086	1680.157297	1596.18486	1536.74722	1621.825403	1378.483659	1312.554844	1362.607899	1368.29006	1217.287779	0.958602963474	1.22458382253	1.03051806965
1377807_a_at	RGD1561961_predicted	Rn.3917	BF389856	Similar to IQ motif and WD repeats 1 (predicted)=chr13q23	0.00497512437811	674.7844033	1221.764626	1377.010953	1237.011948	1332.733735	968.8350105	1155.228617	1230.87382	1016.882022	998.4273006	1300.601367	1488.207026	1255.000279	1552.359646	1439.923509	1009.956857	1285.969794	1024.964943	1238.178742	1165.423862	0.919042589538	1.20412866107	0.979667079885
1371637_at	Hp1bp3	Rn.92942	AI411691	heterochromatin protein 1, binding protein 3=chr5q36	0.00497512437811	740.3975638	649.0774247	694.8174154	586.3951529	729.097101	646.2113836	543.5550401	659.3934998	594.5096308	686.6361357	730.5714376	745.9140364	777.7237764	815.1023108	735.803668	721.4445522	625.8656117	520.3803477	694.3063346	689.3978561	0.920736459828	1.11922242501	0.956353131026
1372221_at	---	Rn.21816	BM389079	Transcribed locus=---	0.00497512437811	624.3178078	442.3619385	414.418121	391.4075417	460.9896526	460.9474237	337.7010149	429.5557411	304.2948778	390.757181	760.6635867	609.6120233	722.4574787	796.3855279	530.9235376	458.3094649	469.7297548	345.5182386	453.9329692	583.0249705	0.824195546907	1.46563076583	0.990152255311
