Probe Set	Gene Symbol	UniGene ID	Representative Public ID	Gene Title=Chromosomal Location	Pvalue	CON1	CON2	CON3	CON4	CON5	BNF1	BNF2	BNF3	BNF4	BNF5	D3T1	D3T2	D3T3	D3T4	D3T5	OLT1	OLT2	OLT3	OLT4	OLT5	BNF(fold-change)	D3T(fold-change)	OLT(fold-change)
1367565_a_at	Fth1	Rn.54447 /// rn.54447	NM_012848	ferritin, heavy polypeptide 1 /// ferritin, heavy polypeptide 1=chr1q43	0.00497512437811	18533.22502	19341.48827	19953.68494	19953.68494	20060.79486	21075.69622	21003.6139	21475.14393	21159.70201	21556.70194	24512.43425	22257.46335	22951.52269	23466.04747	21704.60775	21484.96118	20198.61862	18851.55028	22256.00703	22626.92194	1.08613789925	1.17425077658	1.0774218949
1371099_at	---	Rn.107069	U07886	Polymeric immunoglobulin receptor AATTAA-containing 3'UTR Group 1 mRNA sequence=---	0.00497512437811	16673.0411	15325.03396	15923.80192	13998.50161	15969.7228	14221.71914	16909.03	14601.0416	14321.26995	16433.68297	17969.82639	22824.44532	20942.0922	18783.62681	19594.02465	19123.56959	17359.77465	18168.89286	16814.13056	16928.35339	0.981982848848	1.28532398319	1.13486462943
1367634_at	Rpl31	Rn.1101	NM_022506	ribosomal protein L31=chr9q21	0.00497512437811	13969.13434	12685.26695	11826.92376	11881.64822	12422.47063	13431.4581	12782.76115	12101.55677	13267.82299	12441.70427	16244.67489	16011.58358	18617.39125	16893.18131	14385.60514	14960.11692	14703.67599	11556.91367	13977.69363	13227.1574	1.01974756095	1.30846309378	1.08983154947
1392172_at	Ccl9	Rn.145427	AI169984	chemokine (C-C motif) ligand 9=chr10q26	0.00497512437811	12484.26183	10735.17962	10207.57127	12018.26243	11005.90011	9732.518725	8729.191065	11183.19896	9835.210056	9262.202155	12854.05233	11840.72493	12342.08513	14484.59845	13717.11021	11600.3716	12169.85619	12243.99729	11977.71799	11195.53972	0.863442093747	1.1556636465	1.04847210917
1368245_at	Upb1	Rn.11110	NM_053845	ureidopropionase, beta=chr20p12	0.00497512437811	9600.246006	7091.695517	7326.459493	8548.184017	9518.851303	7223.578961	8142.679201	7720.336205	8886.80268	9885.069062	14124.57228	14451.31754	14937.11316	12514.32633	13107.85901	12872.17121	12456.57141	11119.78112	10049.97046	11196.60517	0.994606917576	1.64273426484	1.37090415101
1367613_at	Prdx1	Rn.2845 /// rn.2845	NM_057114	peroxiredoxin 1 /// peroxiredoxin 1=chr5q36	0.00497512437811	11394.37735	8934.257805	10147.54192	8983.031827	10251.8678	8442.311226	8452.000692	8851.311991	8827.730982	8912.479575	11297.72235	10813.15766	11305.34376	11514.76318	10587.75019	11297.92932	10362.13296	9091.387969	10183.50028	10186.36212	0.87477152681	1.1168282971	1.0283686462
1398839_at	Txn1	Rn.29777 /// rn.29777	NM_053800	thioredoxin 1 /// thioredoxin 1=chr5q24	0.00497512437811	7198.511135	6117.450427	7355.366327	7164.824444	7896.040422	7964.892363	7279.736067	6806.770487	7624.236625	8671.21241	12614.40056	12746.72196	12332.77297	12296.54915	10745.6359	12670.20872	10261.18117	6888.67018	9409.544103	10596.66171	1.07317365645	1.69975800132	1.39443627836
1388122_at	Gstp1 /// Gstp2	Rn.87063 /// rn.87063	X02904	glutathione-S-transferase, pi 1 /// glutathione-S-transferase, pi 1 /// glutathione S-transferase, pi 2 /// glutathione S-transferase, pi 2=chr1q43 /// chr1q42	0.00497512437811	192.228521	117.532954	237.2737544	95.13264689	199.6075902	1337.860326	750.6513333	763.347617	1247.083232	1342.54566	34883.29645	39843.01051	30333.79728	28334.5612	1257.152829	39317.76979	766.6240533	785.8157339	408.8738935	842.2662958	6.46429883611	159.961680554	50.038699681
1370918_a_at	Atp5c1	Rn.63959	BI275939	ATP synthase, H+ transporting, mitochondrial F1 complex, gamma polypeptide 1=chr17q12.3	0.00497512437811	6958.47168	7385.903204	7816.328739	7211.906263	7807.630809	8068.303676	6805.979875	7577.432342	7649.936993	7707.012577	8966.364353	9664.072751	10729.35217	9510.737814	8595.528549	9091.548032	8039.329574	8453.609291	8108.443245	7868.443766	1.01690211672	1.27664734681	1.11783498792
1370698_at	Udpgtr2	Rn.9969 /// rn.9969	M13506	liver UDP-glucuronosyltransferase, phenobarbital-inducible form /// liver UDP-glucuronosyltransferase, phenobarbital-inducible form=chr14p21	0.00497512437811	7465.146047	5535.410675	8051.094571	6163.970192	6967.197815	6296.623979	4809.344811	6354.959872	5296.936653	6999.540107	9594.035284	10389.66106	13251.79619	8722.041805	7470.52708	8217.666289	6935.774701	5010.428135	7288.928989	8456.175069	0.870536896352	1.44599136148	1.05049770377
1387121_a_at	Ndrg2	Rn.3407	NM_133583	N-myc downstream regulated gene 2=chr15p14	0.00497512437811	7427.29286	5613.353693	6610.833343	6352.567436	6453.872896	3682.742803	3681.7294	4694.872359	4136.736044	4822.588907	7317.345225	7605.467256	9694.697111	8177.379727	8152.141343	7267.507249	6729.749643	5712.125811	6963.86553	6550.175245	0.647566737652	1.26154203271	1.02358448245
1387376_at	Aox1	Rn.15681	NM_019363	aldehyde oxidase 1=chr9q31	0.00497512437811	5234.622594	3999.394527	4542.443359	4226.824978	4300.485722	4479.625122	4287.89193	5579.974447	5229.203718	5974.061234	9915.335887	11250.24134	10894.27485	10473.0969	5405.168733	10916.85058	4346.72931	5314.998429	5093.47804	5312.082472	1.14558010145	2.14932790169	1.38918833864
1368092_at	Fah	Rn.9195	NM_017181	fumarylacetoacetate hydrolase=chr1q31	0.00497512437811	5193.652488	5179.902581	5477.210987	4651.495708	5130.847711	4328.801197	4895.934867	5046.943848	4621.903587	4576.151405	6625.897728	8187.604615	8158.755831	6371.98692	7334.225201	8079.826004	5880.753321	6116.815306	5632.735921	5633.532223	0.9156023356	1.43090210459	1.22278035779
