Probe Set	Gene Symbol	UniGene ID	Representative Public ID	Gene Title=Chromosomal Location	Pvalue	CON1	CON2	CON3	CON4	CON5	BNF1	BNF2	BNF3	BNF4	BNF5	D3T1	D3T2	D3T3	D3T4	D3T5	OLT1	OLT2	OLT3	OLT4	OLT5	BNF(fold-change)	D3T(fold-change)	OLT(fold-change)
1371237_a_at	Mt1a	Rn.54397 /// rn.54397	AF411318	metallothionein 1a /// metallothionein 1a=chr19p12	0.00497512437811	27659.72246	41773.82475	35895.27027	31936.05389	34112.36406	34825.93606	37543.07657	35562.0093	27631.51376	38304.08133	1541.496673	1477.052807	1134.206245	2526.049194	15947.70518	2766.721666	16409.03025	16569.92302	14838.17613	12438.43115	1.01452574249	0.132027512535	0.367740103042
1393245_at	Phyh	Rn.7279	AI029057	Phytanoyl-CoA hydroxylase=chr17q12.3	0.00497512437811	28809.12974	25842.51948	23358.71498	25846.60658	29174.09252	31096.39806	22205.64582	24341.177	27011.15668	19487.83483	6484.544221	6838.182874	6517.149569	6557.818465	8726.050091	6978.944193	10293.35244	11260.38512	10662.50228	12513.00384	0.9331821404	0.264026644219	0.388692584952
1368720_at	Tdo2	Rn.1029	NM_022403	tryptophan 2,3-dioxygenase=chr2q33	0.00497512437811	16091.04666	20339.1709	17469.96733	17954.98877	17150.73828	15668.32567	18472.87993	17792.53298	13984.55571	17358.434	13381.53002	10432.53558	8888.981629	13174.73671	14131.30802	15299.64428	10001.12539	17033.36521	15704.93651	16741.49773	0.935631425766	0.674214674633	0.840175303978
1378927_at	---	unknown313	BE329364	---=---	0.00497512437811	15249.21915	16849.02197	14925.81428	18200.34718	17582.87663	15945.68175	14371.13045	18881.14323	16637.69852	15077.45041	12120.62926	12304.83473	11118.55914	13839.81771	14658.57234	13865.50988	12662.76227	15110.54316	14879.63122	16096.81481	0.977125503119	0.773391105118	0.876918817195
1375336_at	Hspcb	Rn.98667	AI237389	heat shock 90kDa protein 1, beta=chr9q12	0.00497512437811	15856.71234	15357.33966	15968.58756	16948.8317	15024.65465	12250.84473	10875.97824	14569.824	15445.26721	14590.15743	10368.9503	7097.359652	9811.063331	9970.337597	11356.13441	12021.81955	13481.86655	12540.58962	14540.55967	13970.10119	0.855676940115	0.614025064153	0.840805886024
1372701_at	Hspca	Rn.119867	AI237597	heat shock protein 1, alpha=chr6q32	0.00497512437811	12995.3228	15615.60397	15019.28829	16339.86553	16234.23081	12563.632	10660.98967	15164.35179	14869.16497	13850.4141	6646.235139	5597.584281	6801.060782	7349.850654	12161.15657	9969.343858	12382.08227	15084.55995	14855.72506	13947.29948	0.8806398391	0.505954147707	0.869229173535
1370310_at	Hmgcs2	Rn.29594 /// rn.29594	M33648	3-hydroxy-3-methylglutaryl-Coenzyme A synthase 2 /// 3-hydroxy-3-methylglutaryl-Coenzyme A synthase 2=chr2q34	0.00497512437811	13995.06464	13095.64711	13540.29011	10828.4624	10258.89319	10272.69168	9770.251403	9761.548371	11305.07122	10610.79138	6029.914581	6145.857112	7181.814975	6254.430674	9000.36722	7361.964971	9598.508837	6822.983679	8892.058041	9399.517263	0.838006003253	0.560811823128	0.681726386271
1387271_at	Phyh	Rn.7279	NM_053674	phytanoyl-CoA hydroxylase=chr17q12.3	0.00497512437811	10824.12827	11969.28257	13510.44084	10901.90248	12339.40329	12455.74773	15368.67672	12081.23859	12015.91248	10715.17877	3644.565946	3172.290664	3158.706334	3151.785483	3707.265362	4434.826903	5705.319243	6851.947632	4454.752888	6612.158901	1.05192020598	0.282720115454	0.471222291931
1368435_at	Cyp8b1	Rn.23013 /// rn.23013	NM_031241	cytochrome P450, family 8, subfamily b, polypeptide 1 /// cytochrome P450, family 8, subfamily b, polypeptide 1=chr8q32	0.00497512437811	7906.381036	9569.774736	13500.165	6713.332067	7528.686394	11193.50271	11499.55951	10422.00391	11686.18708	11185.70812	2249.550112	2090.2906	2642.869456	1851.119876	4448.89693	5166.278278	3476.533341	5349.788791	6881.876849	3662.904013	1.23814722698	0.293746457727	0.542642248437
1388850_at	Hspca	Rn.119867 /// rn.119867	BG671521	heat shock protein 1, alpha /// heat shock protein 1, alpha=chr6q32	0.00497512437811	5297.092329	7599.504709	10489.20386	7639.21431	9853.724428	6845.648682	6389.904171	8402.858356	7616.677996	8842.101806	3578.146571	4115.747726	3524.887041	2679.42465	6249.953887	5713.589411	7430.557387	10304.1105	7609.182451	6707.447676	0.93195610604	0.492876249474	0.92382709842
1367754_s_at	Asl /// Hnrpab	Rn.64591	NM_031330	argininosuccinate lyase /// heterogeneous nuclear ribonucleoprotein A/B=chr12q13 /// chr10q22	0.00497512437811	7642.963631	8884.238576	9402.483994	7869.522857	8488.628722	8260.917968	7155.437877	9511.336615	8364.345557	8677.587668	3045.830726	3878.754795	3915.051744	3991.998989	5762.281957	6942.419172	5777.674849	7107.630709	5916.030357	5653.109395	0.992475091854	0.486993880324	0.742456132313
1369790_at	Tat	Rn.9947 /// rn.9947	M18340	tyrosine aminotransferase /// tyrosine aminotransferase=chr19q11-q12	0.00497512437811	7092.927913	6845.56982	6406.594794	8312.753982	8280.978473	6922.282672	8978.742874	9133.239626	8474.277812	7306.10747	4060.220801	2618.789674	2907.111801	3222.664708	5372.115248	6591.250245	5007.645987	7418.477878	6926.862063	6447.523987	1.10492552142	0.492189511736	0.876902829903
1367735_at	Acadl	Rn.174 /// rn.174	NM_012819	acetyl-Coenzyme A dehydrogenase, long-chain /// acetyl-Coenzyme A dehydrogenase, long-chain=chr9q32	0.00497512437811	7989.803407	7308.808914	8885.397234	8326.184891	7635.28244	6570.016553	6252.702236	8236.290212	7838.361254	7717.166301	4587.423613	3736.647974	4851.635868	4014.083883	4428.40029	4324.699632	5305.293349	5038.858926	5401.013653	6283.356145	0.912046372247	0.538496321501	0.656443110138
1368365_at	Aldh3a2	Rn.9113 /// rn.9113	NM_031731	aldehyde dehydrogenase family 3, subfamily A2 /// aldehyde dehydrogenase family 3, subfamily A2=chr10q22	0.00497512437811	8649.651071	8115.809859	8384.526341	7528.180688	6850.250309	6892.503694	5405.540257	8052.01224	6998.274847	5284.826853	4490.615051	3811.013333	4395.836586	4703.915569	5158.02482	5025.055134	4549.954648	5489.725282	5806.004118	6106.517113	0.825561945579	0.570713586515	0.682477505477
1368916_at	Asl	Rn.64591	NM_021577	argininosuccinate lyase=chr12q13	0.00497512437811	7579.372938	7689.382441	7315.827638	7134.8119	6661.787316	7412.207788	6373.49192	8877.95918	7550.433645	7333.938638	2806.537168	2501.890078	3110.754183	3545.200681	4612.569743	4683.718063	4200.057228	5444.661641	5034.198227	5088.749009	1.03207287027	0.45564632141	0.67208877412
1388395_at	G0s2	Rn.1040	AI406939	G0/G1 switch gene 2=chr13q27	0.00497512437811	10994.34038	9020.03071	7942.431792	5804.286832	8155.413547	5681.20206	3952.448228	8076.073862	6392.125684	7526.83745	2717.326147	2469.301117	1628.841377	2223.013262	3181.95677	2419.750997	6199.675073	3734.226185	5051.234416	2971.117406	0.754564069599	0.291542417002	0.486109348152
1398819_at	Dnaja1	Rn.64562	NM_022934	DnaJ (Hsp40) homolog, subfamily A, member 1=chr5q22	0.00497512437811	5196.796354	5840.966641	6358.095055	6614.895545	6799.532819	6209.741424	5066.441056	6785.292155	7061.651113	6641.339525	3825.381878	3076.871931	3293.318186	4221.439346	3851.633218	3507.813814	4332.034629	4605.193943	5290.149653	4803.986395	1.03096949007	0.592939783601	0.731547189505
1383003_at	Lect2_predicted	Rn.23016	AA924735	leukocyte cell-derived chemotaxin 2 (predicted)=chr17p14	0.00497512437811	6291.491471	6080.724958	7724.252177	5856.224843	6400.460977	5761.221219	5976.27649	6654.659804	5908.126947	6223.22568	2191.911022	2365.782879	3347.084017	1935.658163	5017.623931	3375.201363	4915.2934	4245.788703	5292.516586	4982.920323	0.943447731188	0.459246100592	0.705084891403
1388271_at	LOC682651 /// LOC689415	Rn.115549 /// rn.115549	BM383531	similar to Metallothionein-2 (MT-2) (Metallothionein-II) (MT-II) /// similar to Metallothionein-2 (MT-2) (Metallothionein-II) (MT-II) /// similar to Metallothionein-2 (MT-2) (Metallothionein-II) (MT-II) /// similar to Metallothionein-2 (MT-2) (Metallothionein-II) (MT-II)=chr19p12	0.00497512437811	5284.754982	10341.05065	8248.992674	7060.73179	8012.86847	7078.834054	12576.21468	8549.95102	5551.620017	8043.497556	113.5584752	127.3424047	125.7517619	260.0002849	3281.823418	415.2418824	3466.894333	5003.810331	1948.790243	1865.263533	1.07321786944	0.100350116785	0.326072464851
