Probe Set	Gene Symbol	UniGene ID	Representative Public ID	Gene Title=Chromosomal Location	Pvalue	CON1	CON2	CON3	CON4	CON5	BNF1	BNF2	BNF3	BNF4	BNF5	D3T1	D3T2	D3T3	D3T4	D3T5	OLT1	OLT2	OLT3	OLT4	OLT5	BNF(fold-change)	D3T(fold-change)	OLT(fold-change)
1367598_at	Ttr	Rn.1404	NM_012681	transthyretin=chr18p	0.00497512437811	28477.87684	35293.3582	44871.07166	31825.18014	37396.00797	33915.55427	37792.70861	35257.92399	35136.08502	37632.36871	38785.51775	46837.34929	42632.68061	37399.07714	42110.74562	49146.70823	43190.03724	44835.47401	38544.75373	38973.1867	1.0105201227	1.16811699125	1.20705016023
1368686_at	Ambp	Rn.18721	NM_012901	alpha 1 microglobulin/bikunin=chr5q24	0.00497512437811	29320.079	31052.02858	34853.57806	30115.65945	31342.41225	28679.03321	33380.75789	30596.53014	30460.28585	30115.20418	33010.4961	36095.55884	36930.54442	34197.22218	36056.95559	41640.05258	37282.28542	34925.9089	35080.73294	31936.4694	0.977968705062	1.12513753897	1.15433438865
1389270_x_at	Atf7ip_predicted	Rn.98469	AA893518	Activating transcription factor 7 interacting protein (predicted)=chr4q43	0.00497512437811	25196.28841	25619.2221	29826.56257	27479.43098	29222.32041	26998.43273	33024.59023	27725.28538	28763.72996	27291.6048	33688.85324	36642.84246	36204.7134	31880.77124	31688.35482	34379.77518	33667.00418	33321.58694	30103.82818	31390.87036	1.04703392129	1.23853792347	1.18580551742
1370239_at	Hba-a1 /// LOC360504	Rn.107334 /// rn.107334	AI179404	hemoglobin alpha, adult chain 1 /// hemoglobin alpha, adult chain 1 /// hemoglobin alpha 2 chain /// hemoglobin alpha 2 chain=chr10q12	0.00497512437811	12848.96685	12647.01304	27606.07593	18833.86418	20298.64942	20758.22966	26845.60206	15769.54485	26374.2833	23265.09117	25376.76821	36106.01202	29441.48437	23966.05867	36524.3265	35693.36233	35151.74698	35956.81564	24222.6598	25833.31132	1.22527542277	1.64162581039	1.70064106177
1368155_at	Cyp2c40	Rn.2586 /// rn.2586	NM_031572	cytochrome P450, family 2, subfamily c, polypeptide 40 /// cytochrome P450, family 2, subfamily c, polypeptide 40=chr1q53	0.00497512437811	17474.73188	21526.58356	26623.41467	20389.36903	23534.38447	21710.30028	24344.48786	22208.42482	21671.11691	24867.51248	26034.38506	30409.54964	29727.22963	23825.50016	28491.20501	31371.58499	27293.02494	30514.46868	25978.26372	25850.80399	1.0479546459	1.26416966202	1.28717570224
1367774_at	Gsta3	Rn.10460 /// rn.10460	NM_031509	glutathione S-transferase A3 /// glutathione S-transferase A3=chr9q13	0.00497512437811	19157.54362	18956.84782	19669.85879	17775.78153	20047.2342	21860.51138	20431.26655	22255.7582	20606.73418	25823.16797	32345.67681	33503.30315	29578.79624	31295.4079	26842.08893	33314.91195	24646.16693	26064.62259	25817.4038	27791.82164	1.16076364245	1.6062092299	1.43958647419
1370009_at	Apoc3	Rn.195323	NM_012501	apolipoprotein C-III=chr8q23-q24	0.00497512437811	17687.03538	22101.77489	26826.17588	19622.20745	23210.3798	17868.49914	22898.05233	20270.79148	20169.8224	22251.11391	23153.45836	28999.67376	26437.31129	24463.88229	27022.94407	33973.89529	25961.6632	29403.04013	25192.21247	23961.77847	0.945277049514	1.18848929884	1.26537834744
1367612_at	Mgst1	Rn.2580 /// rn.2580	NM_134349	microsomal glutathione S-transferase 1 /// microsomal glutathione S-transferase 1=chr4q44	0.00497512437811	16498.58229	20319.84209	25155.99215	18229.90888	23463.30235	19871.96215	22459.50825	20359.39796	20398.80997	22797.76445	23744.71451	30664.89052	25193.96501	21302.2509	26767.14615	31649.1089	26041.77274	28269.93038	23272.92188	24522.66599	1.02141280811	1.23156061201	1.29024269948
1387830_at	Crp	Rn.16463 /// rn.16463	NM_017096	C-reactive protein, pentraxin-related /// C-reactive protein, pentraxin-related=chr13q24	0.00497512437811	14849.7475	15249.7743	17029.94128	12473.25234	13541.29843	11729.92225	18148.06372	13498.35265	15398.52571	16346.19217	22071.14829	18126.31951	19410.19283	17162.25827	18252.98748	21755.00292	16026.79103	16755.56994	18179.48639	19745.7001	1.02702945253	1.29912075341	1.26411643979
1371245_a_at	LOC689064	unknown48	BI287300	similar to Hemoglobin beta-2 subunit (Hemoglobin beta-2 chain) (Beta-2-globin) (Hemoglobin beta chain, minor-form) /// similar to Hemoglobin beta-2 subunit (Hemoglobin beta-2 chain) (Beta-2-globin) (Hemoglobin beta chain, minor-form)=chr1q32	0.00497512437811	5230.792008	3808.264479	8944.996795	8370.886901	8088.741608	10481.75433	11743.53615	5752.381525	15011.04121	9689.949825	14039.89679	17418.17703	11514.76318	13564.75726	20800.91628	15734.13667	19773.74853	14751.28802	11310.08311	12492.37256	1.52941440348	2.24536131211	2.15022393191
1371100_at	Es2	unknown44	AA859049	esterase 2=chr19p11	0.00497512437811	9393.450398	8702.145961	12359.73294	8235.607791	11964.65818	8774.400907	8108.193649	9621.39107	11702.06243	10238.2752	14765.59006	16246.43863	18557.34721	12464.59753	11275.71017	14253.90773	13088.30234	11174.05247	13441.7109	11114.48368	0.956346934584	1.44721788796	1.24512320473
1386985_at	Gstm1	Rn.625 /// rn.625	M28241	glutathione S-transferase, mu 1 /// glutathione S-transferase, mu 1=chr2q34	0.00497512437811	6791.127015	5438.93621	7490.678098	7102.619873	7879.985065	9260.57051	7424.911064	7040.84101	9196.752435	9500.516546	17160.21859	21084.80429	18718.78091	14546.57874	13465.39005	21546.11592	12898.33433	11693.03736	9206.936175	11072.83535	1.22246400235	2.4486333952	1.913857489
1387669_a_at	Ephx1	Rn.3603 /// rn.3603	NM_012844	epoxide hydrolase 1, microsomal /// epoxide hydrolase 1, microsomal=chr13q26	0.00497512437811	4498.511981	3247.376715	4775.635825	3727.588733	4184.116656	7001.62049	5175.895053	5979.04917	7551.523247	9256.342422	20956.25744	23774.08621	23085.61299	17824.58528	12448.61966	26762.40354	12490.88035	10010.26114	9384.817273	12736.54354	1.7111553355	4.80047266203	3.49356935528
1367793_at	Ddt	Rn.3464	NM_024131	D-dopachrome tautomerase=chr20p12	0.00497512437811	11169.13369	10497.81203	10948.16377	10491.9362	11319.09779	8839.621797	10111.59265	9641.249663	9486.304942	9732.912299	12073.55841	12551.99333	12718.43281	11195.43745	11180.45685	14201.32519	11929.14977	11800.70286	11338.12933	10759.7762	0.878469027822	1.09726456867	1.10294574467
1375219_a_at	Rps2 /// RGD1559516_predicted /// LOC501171 /// LOC682718 /// LOC688473	Rn.2115	AA944861	ribosomal protein S2 /// similar to ribosomal protein S2 (predicted) /// similar to 40S ribosomal protein S2 /// similar to 40S ribosomal protein S2 /// similar to 40S ribosomal protein S2=chr10q12 /// chr11q12 /// chr9q34 /// chr8q22	0.00497512437811	7635.313242	9268.724673	11478.96184	8229.635625	9827.293375	8116.350089	10575.95498	9597.721199	8907.038409	10156.67104	11353.15341	14188.48175	12173.96928	11090.99394	12949.2341	14040.5974	11779.54415	12030.27224	10557.81272	10561.74951	1.01967718269	1.32980032777	1.26981193987
1388569_at	Serpinf1	Rn.16993	AI179984	serine (or cysteine) peptidase inhibitor, clade F, member 1=chr10q24	0.00497512437811	9985.840168	8798.540291	10233.49326	8573.119097	9560.123831	7864.435069	9912.842204	9164.325271	9261.699092	8902.283994	11743.84686	12599.93264	11902.08108	10368.54876	11059.7525	13757.03696	11388.01959	9819.982648	10273.95821	10749.04978	0.956617548799	1.22317700918	1.18741720598
1369954_at	Idh1	Rn.3561	NM_031510	isocitrate dehydrogenase 1 (NADP+), soluble=chr9q32	0.00497512437811	8653.394141	8382.615552	10041.20402	7571.704957	8157.153922	9245.953746	9681.692579	9373.266652	9630.483331	11233.75855	10476.79875	11937.54416	12379.07349	10969.09355	12009.18503	11678.02124	10015.42054	9960.259191	11323.23274	10609.45325	1.14855561094	1.34961447014	1.25184077203
1370420_at	Srd5a1	Rn.4620 /// rn.4620	J05035	steroid 5 alpha-reductase 1 /// steroid 5 alpha-reductase 1=chr17p14	0.00497512437811	7395.740965	6829.084169	7774.852553	6204.382561	7192.009544	4200.64048	7036.026202	5941.495772	5391.158276	6440.377775	8531.468943	9585.868874	9302.374007	9235.048868	14097.04062	7832.760333	11901.41054	10759.95945	12229.38344	10600.16815	0.819574000036	1.43382589113	1.50648595243
1371691_at	Rarres2	Rn.28532	BI282993	retinoic acid receptor responder (tazarotene induced) 2=chr4q24	0.00497512437811	8291.134454	7446.667365	7704.0548	7009.367689	8141.538219	7410.595224	8385.247141	6999.476453	7637.747867	7210.754105	8669.922007	8429.431556	8850.896766	8361.672944	9806.562153	8714.266022	8796.370403	8033.64608	8254.586602	9139.823245	0.975411406832	1.14318028918	1.11260996986
1398750_at	Calr	Rn.974 /// rn.974	NM_022399	calreticulin /// calreticulin=chr19q11	0.00497512437811	7091.113732	7036.469486	8357.731291	7384.808322	8244.689691	5521.809113	8604.284424	5786.704825	7222.788299	6767.832558	9525.98697	9821.101324	10323.44015	9760.615358	7437.021358	11115.2659	8883.950075	7405.809171	8680.042914	7605.93951	0.889507699911	1.22965750213	1.1462999469
1367573_at	Rps6	Rn.34341	NM_017160	ribosomal protein S6=---	0.00497512437811	6872.18367	6809.863287	7838.30187	7091.756029	7069.064401	6509.417395	7346.90951	7129.897692	7125.376491	7714.855928	7970.157287	9632.479465	9365.462524	7526.714847	9054.144085	9164.586351	8971.552466	7167.778101	7887.153033	7593.377725	1.0040718329	1.220502554	1.14302441667
