Probe Set	Gene Symbol	UniGene ID	Representative Public ID	Gene Title=Chromosomal Location	Pvalue	CON1	CON2	CON3	CON4	CON5	BNF1	BNF2	BNF3	BNF4	BNF5	D3T1	D3T2	D3T3	D3T4	D3T5	OLT1	OLT2	OLT3	OLT4	OLT5	BNF(fold-change)	D3T(fold-change)	OLT(fold-change)
1370244_at	Ctsl	Rn.1294	AI176595	cathepsin L=chr17p14	0.00497512437811	20509.73996	18174.29083	17617.34548	17419.38018	17767.08807	22056.5826	20110.56606	20034.57951	22703.01402	23389.92556	14644.21896	9926.384408	13126.25214	13918.91601	15228.32094	9799.267936	16489.20668	11225.59675	15462.0586	17445.95097	1.18370553288	0.730633591913	0.769742486616
1370708_a_at	LOC191574	Rn.10021	M61937	3-alpha-hydroxysteroid dehydrogenase=chr17q12.3	0.00497512437811	18199.42627	14029.75252	12938.84582	15539.44352	15968.8459	14985.95226	11775.43128	16249.9802	17560.6324	14948.37945	12921.43242	6153.126554	7882.33418	10626.70454	9251.17173	7633.299803	9866.904568	9998.284542	13226.16258	15126.12683	0.984924439123	0.610811435272	0.728396754976
1368150_at	Slc27a2	Rn.3608 /// rn.3608	NM_031736	solute carrier family 27 (fatty acid transporter), member 2 /// solute carrier family 27 (fatty acid transporter), member 2=chr3q36	0.00497512437811	15643.22014	14482.8496	14751.31931	13652.24851	13693.51006	15189.60697	15218.5898	14248.96451	14360.71848	13989.90165	10073.81855	10306.04638	11586.29152	11013.35176	11608.17505	11030.53037	11413.0767	10184.23172	11409.35117	9839.087585	1.01086402097	0.755819776053	0.745969669288
1367887_at	Lcat	Rn.10481 /// rn.10481	NM_017024	lecithin cholesterol acyltransferase /// lecithin cholesterol acyltransferase=chr19q12	0.00497512437811	12203.27334	12830.10601	13889.19313	12379.94925	12089.69024	11434.16592	13148.59676	13983.52884	11762.63671	12056.36451	7307.575985	6318.764315	7714.542463	7640.73156	10415.58499	6953.601907	9679.824865	7758.144759	10946.66897	10991.6068	0.984116042039	0.621483271977	0.730844465925
1371327_a_at	Actg1 /// LOC295810	unknown52	BG666668	actin, gamma, cytoplasmic 1 /// similar to Actin, cytoplasmic 2 (Gamma-actin)=chr10q32.3	0.00497512437811	13580.96562	15486.07657	16283.89473	12688.58419	11793.81101	9999.246165	13892.80555	12774.47924	12242.83532	14474.26701	6472.573735	4179.825679	5466.713791	4475.541901	7133.817038	5179.709958	9433.094989	6050.777545	12257.95021	11121.22285	0.907641542524	0.397066433782	0.630683861345
1367775_at	Amacr	Rn.2590 /// rn.2590	NM_012816	alpha-methylacyl-CoA racemase /// alpha-methylacyl-CoA racemase=chr2q16	0.00497512437811	12330.83187	8845.905838	10321.26406	9375.862649	9167.073465	9947.309156	9246.563051	9872.16697	9024.549938	8626.888414	6550.496293	5425.745489	6119.953984	7188.108698	9391.841917	6994.708888	7948.361367	8382.720488	8683.849395	8414.450354	0.933585170589	0.692955564957	0.807820400715
1367586_at	Ldha	Rn.107896 /// rn.107896	NM_017025	lactate dehydrogenase A /// lactate dehydrogenase A=chr1q22	0.00497512437811	6373.271521	7224.443372	8734.43695	5704.784366	5406.887674	7834.886283	12158.33167	6803.167855	7701.909096	8897.010255	4333.468403	3196.416031	3299.794967	3403.454459	4738.642212	3279.434307	4895.058242	3507.273981	5879.023991	5338.576531	1.29755811748	0.567272933214	0.684711387433
1372242_at	Ddx3x	Rn.95841	AI169598	DEAD/H (Asp-Glu-Ala-Asp/His) box polypeptide 3, X-linked=chrXq12	0.00497512437811	8811.664129	6881.084334	5708.862502	6821.351025	6956.116647	6667.628737	5675.419625	6271.841521	6702.628417	7746.283301	5409.17021	3886.869567	3746.744046	4555.188056	4965.965764	3446.539872	5020.597591	3129.044975	5206.445793	6432.470855	0.939871164398	0.641402177579	0.660480603422
1367777_at	Decr1	Rn.2854	NM_057197	2,4-dienoyl CoA reductase 1, mitochondrial=chr5q13	0.00497512437811	7199.165554	7272.091264	6637.324757	6636.523419	5712.067213	5213.96629	4597.026062	5604.536615	6480.939854	6385.552823	4963.273875	3874.601144	4677.027447	4370.240894	3675.842024	3452.615231	3291.39361	3461.996978	4871.735864	4487.633027	0.845320144483	0.644435376983	0.584788654252
1369011_at	Apoa5	Rn.48763 /// rn.48763	AF202888	apolipoprotein A-V /// apolipoprotein A-V=chr8q23	0.00497512437811	6773.909889	5604.404107	6709.5084	5471.993496	5052.225962	4349.347665	6371.576133	5622.747632	5481.272901	6185.378822	4592.321975	3776.262293	5366.362882	4176.794677	5217.89443	3586.643206	5040.48597	3586.704762	4477.458919	5301.239702	0.94590988663	0.781088868206	0.742688824615
