Probe Set	Gene Symbol	UniGene ID	Representative Public ID	Gene Title=Chromosomal Location	Pvalue	CON1	CON2	CON3	CON4	CON5	BNF1	BNF2	BNF3	BNF4	BNF5	D3T1	D3T2	D3T3	D3T4	D3T5	OLT1	OLT2	OLT3	OLT4	OLT5	BNF(fold-change)	D3T(fold-change)	OLT(fold-change)
1371348_at	Psmb5	Rn.2 /// rn.2	BI285627	proteasome (prosome, macropain) subunit, beta type 5 /// proteasome (prosome, macropain) subunit, beta type 5=chr15p13	0.00497512437811	1878.046762	2188.006062	2975.898221	2168.548418	2469.292234	1980.987086	2479.989677	2182.702106	2351.853858	2682.790364	2568.452326	3080.764289	3104.364851	2872.61085	3061.307136	3489.153179	3124.975904	3143.298615	3291.387154	2745.447199	0.999874260942	1.25751381814	1.35227257992
1391429_at	Hfe2	unknown658	AW434961	hemochromatosis type 2 (juvenile) homolog (human)=chr2q34	0.00497512437811	1165.033408	1269.627679	1140.974505	954.7394852	1256.838217	612.9711077	512.6341624	483.5176756	616.2788393	967.8049715	994.5869449	1207.358983	1362.589019	1282.337917	2022.366478	1492.778999	1857.38018	1675.915506	2279.714098	1766.712645	0.551769322154	1.1869684065	1.56768049954
1389518_at	LOC680080 /// LOC684601	Rn.7385	AI009763	hypothetical protein LOC680080 /// hypothetical protein LOC684601=chr5q22	0.00497512437811	1001.579241	1015.243433	1056.111243	778.3596193	1041.93317	940.2068022	919.5869064	1003.220373	895.7178236	995.420715	1012.218626	1142.697641	1106.413171	1040.144752	999.9399894	1382.022684	1127.521642	1275.111455	1361.304157	1030.388142	0.971578245921	1.08341887625	1.26222397831
1398777_at	Psmb6	Rn.8118 /// rn.8118	NM_057099	proteasome (prosome, macropain) subunit, beta type 6 /// proteasome (prosome, macropain) subunit, beta type 6=chr10q24	0.00497512437811	873.8258253	784.1152063	1069.999969	816.357967	966.8784151	718.1136781	804.9722787	799.2971528	681.1668729	898.5358776	707.2753686	883.8543201	1101.812615	1017.5136	1233.092618	1179.63281	1198.27434	1070.426921	1274.671908	1280.594772	0.864981695259	1.09584441096	1.33082790626
1386922_at	Ca2	Rn.26083	AI408948	carbonic anhydrase 2=chr2q23	0.00497512437811	716.80504	556.5901337	898.8334089	690.1721334	884.1984322	765.155836	471.0185271	478.1156664	912.771929	509.2617457	991.4237408	1015.282723	713.8534137	651.598909	1083.269529	929.9773152	1274.679206	1107.667061	1052.096455	1312.140853	0.837112159625	1.18919268896	1.51512362696
1375396_at	Pum1_predicted	Rn.44196	BI282129	pumilio 1 (Drosophila) (predicted)=chr5q36	0.00497512437811	365.0452158	629.4538357	616.5499036	505.3004085	786.3141221	533.4507809	487.2760779	445.462155	433.1735905	634.5519907	697.9701529	928.1511416	696.3894641	395.0570338	993.0390384	830.4278392	816.2081081	1019.090015	1055.644407	1146.934192	0.872961887412	1.2783455089	1.67718531111
1372730_at	LOC684304	unknown114	BF282327	similar to Mitochondrial 39S ribosomal protein L39 (L39mt) (MRP-L39)=---	0.00497512437811	687.777368	530.0173421	610.0479905	580.3747817	677.8801324	462.1036053	444.9785225	609.6096097	651.295293	684.8668271	554.599208	653.6609712	697.1516942	709.1411647	723.5502816	969.0218229	694.7151495	894.1703092	966.4660057	825.207147	0.924421134319	1.08165837134	1.40941116496
1398772_at	Nsfl1c	Rn.2771	NM_031981	NSFL1 (p97) cofactor (p47)=chr3q41	0.00497512437811	595.380378	505.9584681	601.115413	596.5766461	538.3444386	497.7609903	484.2999883	489.6949177	564.679475	727.1354608	625.6071578	663.6794447	661.9245782	552.5231888	916.1837218	726.7054516	1051.883074	735.9664784	825.5209746	724.4377842	0.97398845667	1.20531042845	1.43249068957
1379315_at	Rassf7_predicted	Rn.24007	BM385768	Ras association (RalGDS/AF-6) domain family 7 (predicted)=chr1q41	0.00497512437811	159.2698926	144.1843175	162.7387487	190.3261735	152.3463143	102.6809006	124.9979393	137.2675114	141.0164579	119.9833422	134.4444141	189.8993545	151.9382975	180.148834	206.1009561	221.1329955	237.0612465	292.6851893	209.8970127	178.8908611	0.773856954863	1.06634775886	1.40897019386
1389695_at	RGD1311980	Rn.16181	AI410976	similar to cDNA sequence BC004044=chr12q11	0.00497512437811	138.0439153	144.7728427	177.0301054	150.9514236	149.9803843	133.2810133	119.6159696	121.9416346	144.8720404	122.322047	120.0078335	153.0131597	132.6551692	155.8506921	183.3687049	223.2696807	221.4278345	215.7387645	144.4466847	230.7663394	0.843915226754	0.9791225589	1.36130170688
1370261_at	Rps6ka1	Rn.34915	BI285433	ribosomal protein S6 kinase polypeptide 1=chr5q36	0.00497512437811	141.1579527	138.6784549	140.4657539	113.3412372	126.8826373	107.9392229	130.8474999	102.4376049	125.6485395	140.6451063	148.2954571	154.7959922	144.3482036	80.39064947	196.9444662	161.2178875	191.2375759	247.5419454	158.9315227	238.2078038	0.919748716007	1.09726903872	1.5096100395
1382604_at	---	Rn.147190	BE117925	Transcribed locus=---	0.00497512437811	68.45831743	62.18610356	67.06761105	65.1607186	68.93062522	65.00547837	68.32536037	56.71219922	66.60146182	69.85244679	69.25428326	76.27454592	70.49181804	70.50919	81.45808357	78.49747473	93.41148772	73.47869811	104.6656368	95.33130588	0.984007307713	1.10905417956	1.34231486369
1395289_at	LOC300472	Rn.61419	H33428	similar to Vacuolar protein sorting 26 homolog (VPS26 protein homolog)=chr8q13	0.00497512437811	47.76043839	21.9760743	24.74679038	26.69091571	26.0872154	25.8656975	20.80819384	25.6643619	25.78802729	25.15961858	18.84164031	21.47051867	25.87176585	26.06284495	25.78404044	27.29973833	27.66353913	27.74999032	31.53968357	52.55532151	0.83719067247	0.801505233717	1.13273562619
1370316_at	Hspbp1	Rn.4297	AF187860	hsp70-interacting protein=chr1q12	0.00497512437811	22.25690166	21.17081606	26.94383815	22.56803467	22.26538628	19.35328319	20.07896129	20.22465414	19.06560368	22.25315567	21.47570389	20.16548918	23.72796043	21.87409823	21.14249778	22.33911113	26.5367456	22.63961385	27.13689571	34.38706359	0.876486943162	0.940807875682	1.15480627272
1384310_at	---	Rn.23945	BM383081	Transcribed locus=---	0.00497512437811	9.715492048	9.360584932	9.888696106	9.866473417	9.994788712	10.14669778	9.923909102	9.774781123	10.11483026	10.08108173	9.926606935	10.34252614	10.32366821	9.418494	9.921064536	11.57331654	10.84222995	10.17387586	11.17885148	10.00783447	1.02488968794	1.02265849769	1.1013818358
