Probe Set	Gene Symbol	UniGene ID	Representative Public ID	Gene Title=Chromosomal Location	Pvalue	CON1	CON2	CON3	CON4	CON5	BNF1	BNF2	BNF3	BNF4	BNF5	D3T1	D3T2	D3T3	D3T4	D3T5	OLT1	OLT2	OLT3	OLT4	OLT5	BNF(fold-change)	D3T(fold-change)	OLT(fold-change)
1388310_at	Sui1-rs1_predicted	Rn.137199	AI012372	suppressor of initiator codon mutations, related sequence 1 (S. cerevisiae) (predicted)=chr10q32.1	0.00497512437811	8645.401619	8081.406902	7881.040283	7264.773988	7913.38948	7715.072399	6859.853115	7728.222899	7979.611373	7570.574189	7057.572017	6867.375618	6383.468015	6398.365891	6288.330853	6361.627795	6719.014787	5048.266404	5971.535527	6195.494492	0.951423171446	0.829314387389	0.761472117333
1373452_at	Rcl1	Rn.22496	AI232273	RNA terminal phosphate cyclase-like 1=chr1q52	0.00497512437811	3747.493291	3018.365395	2872.592014	2917.293089	3743.792577	2752.548712	3254.14344	2820.024908	2802.723173	2893.312884	2795.295833	2771.439906	2750.277525	2885.961383	2700.424598	2558.677351	2739.521575	2707.620932	2417.628303	2661.110329	0.890991792091	0.852993541215	0.802756483141
1367624_at	Atf4	Rn.2423 /// rn.2423	NM_024403	activating transcription factor 4 /// activating transcription factor 4=chr7q34	0.00497512437811	2917.285647	2559.690438	3111.770463	2449.199808	2467.51666	2995.59263	4256.747942	3615.901668	3048.782802	3534.755055	2997.362795	3241.506723	4098.292132	2969.561549	2505.887965	2548.476563	2298.687478	1236.043045	2055.583555	1955.145513	1.29220153921	1.17083073311	0.747396527023
1387116_at	Dnajb9	Rn.29778	NM_012699	DnaJ (Hsp40) homolog, subfamily B, member 9=chr6q16-q23	0.00497512437811	2860.049121	2393.064887	1764.344856	2670.226727	2676.870905	2193.110669	2185.708074	2263.135657	2695.243719	2444.188284	2343.829483	1567.684905	1348.001914	2012.926487	496.3658771	1352.497423	482.6594806	331.7133612	534.5622782	957.698674	0.952835340824	0.628312763876	0.29593711818
1374731_at	Coil	Rn.34382	BI275929	Coilin=chr10q26	0.00497512437811	3039.82366	2515.909705	2107.433467	1978.266109	2235.54162	1719.964986	1369.143274	1834.30176	1397.129882	1522.654672	1615.216457	1666.100001	1533.274704	1700.204608	1367.254874	1278.323532	1476.334284	891.9995345	1417.050807	1230.165333	0.660369737572	0.663641283689	0.529922284347
1388953_at	Gnl3	Rn.4110	AA892598	guanine nucleotide binding protein-like 3 (nucleolar)=chr16p16	0.00497512437811	2364.632486	1464.509585	1840.87094	1380.82178	1684.849766	1639.191996	1229.906672	2250.682536	1875.591356	2476.070883	1396.210431	1409.328214	1261.323207	1220.706565	808.8403565	1252.272285	970.5170492	592.0875131	783.4185305	998.1414092	1.08422452542	0.697874188762	0.526167898693
1371479_at	Mettl7a	Rn.3341	AA946026	methyltransferase like 7A=chr7q36	0.00497512437811	1834.00967	1656.657921	1113.732625	1867.948144	1894.361224	1590.648908	1103.170303	2005.917519	1273.744287	1574.100196	1278.081225	1001.667008	1033.104194	1132.880882	738.5149003	935.2251999	670.3009457	447.7217805	614.7728901	872.1544037	0.902096712838	0.619628081655	0.423126341886
1372564_at	Ets2_mapped	Rn.164554	AI411375	v-ets erythroblastosis virus E26 oncogene homolog 2 (avian) (mapped)=chr11q11	0.00497512437811	1296.14512	1045.35351	1145.0433	912.7268494	1026.37071	1225.626465	1171.26168	1270.305032	1051.950628	1355.277119	668.8989855	485.2907102	781.2288114	669.2003334	630.7928364	427.1702542	637.6186466	376.4242954	630.3784724	549.9527186	1.11957695233	0.596318956175	0.48317703237
1393248_at	Btn2a2_predicted	Rn.157952	BF407833	Butyrophilin, subfamily 2, member A2 (predicted)=chr17q11	0.00497512437811	1023.617963	830.9317791	693.4687254	822.7980457	812.8373041	952.9525862	748.4370022	743.4356257	842.2256113	748.4909165	622.1086453	593.3746428	488.1800687	667.4721579	471.2844881	440.8803114	587.4756365	443.9142039	520.0334377	468.9067699	0.964597435192	0.679410899402	0.588292068819
1383133_at	---	Rn.18130	BI295765	Transcribed locus=---	0.00497512437811	930.9368572	764.0943196	660.9359937	536.5637296	821.2220868	1617.689862	1920.112053	633.7967831	1271.68128	626.7362184	394.5624035	423.9279013	408.8248581	367.8826419	211.9261589	191.4039567	256.104504	234.285372	166.1608615	296.8833458	1.63446955624	0.486603166682	0.30826984025
