Probe Set	Gene Symbol	UniGene ID	Rep. Pub. ID	Gene Title	CON 1	CON 2	CON 3	CON 4	D3T 1	D3T 2	D3T 3	D3T 4	C10 1	C10 2	C10 3	C10 4
1415673_at	Psph			phosphoserine phosphatase	203.0957162	296.7061458	297.1080738	247.6481443	302.792991	253.7572093	332.890987	322.2487607	184.2334225	135.7643608	181.7559773	171.9423358
1415689_s_at	Zkscan3			zinc finger with KRAB and SCAN domains 3	771.6468885	932.6771742	1037.956308	868.1009435	786.4117133	670.3041241	803.6318875	693.37884	485.6684639	542.6898064	809.0897863	599.0626177
1415714_a_at	Snrnp27			small nuclear ribonucleoprotein 27 (U4/U6.U5)	787.4770127	836.9420943	806.9021927	821.2291344	852.9562889	923.8808541	746.9780294	775.8365859	481.7393625	533.9448772	760.2409884	618.8465882
1415738_at	Txndc12			thioredoxin domain containing 12 (endoplasmic reticulum)	400.7292476	445.9632444	424.1750636	399.1051265	550.8321667	564.4198827	532.5012125	429.9565312	207.8240779	292.7162443	382.7020981	293.5100311
1415784_at	Vps35			vacuolar protein sorting 35	75.69824774	64.91626092	85.04508761	67.19644478	54.07298145	57.00466174	47.87016919	63.87015294	143.9997004	108.1459629	122.7392617	98.43462658
1415812_at	Gsn			gelsolin	797.1304336	193.5657646	298.7212377	180.652073	117.2177305	80.12713567	163.8742083	133.848114	139.3961591	186.8708849	191.8698211	139.0192638
1415822_at	Scd2			stearoyl-Coenzyme A desaturase 2	263.3825582	73.67611072	96.3905628	98.36798875	133.6670442	136.6865047	96.3905628	209.9449099	76.62620759	86.0294077	72.39077719	73.17906107
1415825_s_at	Csnk1d			"casein kinase 1, delta"	376.5352183	368.466845	357.6543058	352.3677306	491.6221134	427.0558659	331.0932985	345.7520512	422.4556257	436.9983433	472.0556053	424.7496652
1415849_s_at	Stmn1			stathmin 1	477.1959538	402.9053075	555.3247939	283.7424117	361.5489058	379.0924726	385.8234442	188.0129206	232.3815951	272.0807353	195.8059778	251.1936179
1415851_a_at	Impdh2			inosine 5'-phosphate dehydrogenase 2	1815.52364	1786.264491	1880.564404	1662.593775	1898.481204	1465.909171	1489.920875	1396.18074	997.9965375	1278.565185	1254.563692	1214.452207
