Probe Set	Gene Symbol	UniGene ID	Representative Public ID	Gene Title=Chromosomal Location	CON2	CON3	CON5	BNF1	BNF4	BNF5	D3T2	D3T4	D3T5	OLT1	OLT3	OLT5
1369943_at	Tgm2	Rn.10	NM_019386	transglutaminase 2, C polypeptide=chr3q42	1045.617437	1941.677698	1691.027891	1032.806027	1041.942284	1325.112048	1108.756879	1056.674002	1897.641907	1079.665273	1074.06098	1206.509341
1367657_at	Btg1	Rn.1000	NM_017258	B-cell translocation gene 1, anti-proliferative=chr7q13	9746.999939	7945.054827	11070.68883	7135.596641	8074.235663	7991.710959	6238.039229	6542.103824	7609.761642	5807.564232	5112.259555	8459.915101
1368270_at	Apobec1	Rn.10002	NM_012907	apolipoprotein B editing complex 1=chr4q42	19.51060506	19.76152657	14.48625547	18.66085292	20.20556835	19.69399841	22.01243458	44.873831	40.78149789	20.34990504	15.61025278	33.9077185
1372094_at	Supt5h	Rn.100021	BG380556	suppressor of Ty 5 homolog (S. cerevisiae)=chr1q21	867.4281756	1035.41569	1071.943967	1095.091657	812.1145315	1167.197732	1065.601143	1030.003404	1018.960361	1168.633139	868.2309637	899.6974895
1399029_at	Usp48	Rn.100022	BI285965	ubiquitin specific protease 48=chr5q36	118.1206194	77.58885188	103.2080683	130.8166844	104.3207902	101.8462426	89.92246382	157.2020352	129.7680975	78.48527433	83.97367409	134.8803249
1376849_at	Usp48	Rn.100022	BM384872	ubiquitin specific protease 48=chr5q36	168.7466248	149.8477103	241.9847734	148.2195666	168.1714428	186.7029742	101.7338475	226.9870219	163.9606076	162.3782257	126.2043255	204.3037697
1397005_at	Podxl2_predicted	Rn.100042	BF393900	Podocalyxin-like 2 (predicted)=chr4q34	6.366794388	6.387213057	6.351456628	7.211494497	6.416379406	6.211988139	6.598444361	6.373835983	6.272365531	6.545319115	6.721044333	6.096436575
1368627_at	Rgn	Rn.10006	NM_031546	regucalcin=chrXq11-q12	7131.535484	6869.643514	9825.558572	8259.493454	7686.863316	5211.758539	8153.298675	9749.183351	10300.30545	7316.629753	8320.658887	9226.75907
1388858_at	Map2k3	Rn.100064	BI283843	mitogen activated protein kinase kinase 3=chr10q22	1518.013694	1590.37035	2218.130606	1596.659595	1477.832094	1659.014741	2150.620883	1153.070437	1720.158656	1933.512814	1761.146148	1754.11319
1398267_at	Slc22a7	Rn.10009 /// rn.10009	NM_053537	solute carrier family 22 (organic anion transporter), member 7 /// solute carrier family 22 (organic anion transporter), member 7=chr9q12	712.904399	906.3522567	627.1698017	467.5998523	653.8630939	496.4373159	621.224643	766.7360999	1025.326605	645.8639917	570.5937187	953.7266144
1385837_at	Hoxd3_mapped	Rn.100101	AA956624	homeo box D3 (mapped)=chr3q23	7.990689934	7.999732461	7.906064455	8.103678462	8.079383775	7.80116018	9.998881296	7.954664384	8.004198618	8.310004723	9.336409184	7.650542633
1371584_at	Trpc4ap	Rn.100109	BM390843	transient receptor potential cation channel, subfamily C, member 4 associated protein=chr3q42	388.7066922	398.3290231	360.717509	350.1810077	344.7310555	420.452449	433.168101	450.0516434	574.2156027	447.1677826	308.8879808	431.6299099
1391946_at	Selp	Rn.10012	BI296054	selectin, platelet=chr13q22	8.102236932	8.263530131	8.096545511	8.205030622	8.208731228	7.987795206	8.790893462	7.84840659	8.029450008	9.764893516	8.449135131	7.823632717
