Probe Set ID	Gene Symbol	UniGene ID	Rep. Pub. ID	Gene Title	V_778	V_781	V_782	V_783	C_776_3umol	C_777_3umol	C_779_3umol	C_780_3umol	C_767_10umol	C_768_10umol	C_769_10umol	C_770_10umol	C_634_30umol	C_635_30umol	C_636_30umol	C_637_30umol
1415673_at	Psph			phosphoserine phosphatase	203.0957162	296.7061458	297.1080738	247.6481443	250.8538031	206.1427625	262.3149095	216.4384493	184.2334225	135.7643608	181.7559773	171.9423358	245.3125104	236.5074797	232.2242785	192.7811256
1415689_s_at	Zkscan3			zinc finger with KRAB and SCAN domains 3	771.6468885	932.6771742	1037.956308	868.1009435	687.7693432	591.8074304	755.1120869	849.4993304	485.6684639	542.6898064	809.0897863	599.0626177	761.270836	727.0239093	562.8938205	613.8400639
1415714_a_at	Snrnp27			small nuclear ribonucleoprotein 27 (U4/U6.U5)	787.4770127	836.9420943	806.9021927	821.2291344	714.3409417	710.4828425	686.8389284	731.9620293	481.7393625	533.9448772	760.2409884	618.8465882	535.3924558	483.0457416	505.1153239	454.4963821
1415738_at	Txndc12			thioredoxin domain containing 12 (endoplasmic reticulum)	400.7292476	445.9632444	424.1750636	399.1051265	377.5560434	396.9498663	375.516893	439.9665403	207.8240779	292.7162443	382.7020981	293.5100311	270.2451657	261.9600498	212.3748326	239.2448402
1415784_at	Vps35			vacuolar protein sorting 35	75.69824774	64.91626092	85.04508761	67.19644478	72.9318457	94.0700783	93.11979648	70.50472302	143.9997004	108.1459629	122.7392617	98.43462658	124.1598578	107.853561	123.572936	85.68067852
1415812_at	Gsn			gelsolin	797.1304336	193.5657646	298.7212377	180.652073	163.2100402	110.3645476	256.6940419	197.6703943	139.3961591	186.8708849	191.8698211	139.0192638	168.7142474	107.4163653	159.9291378	122.8224094
1415822_at	Scd2			stearoyl-Coenzyme A desaturase 2	263.3825582	73.67611072	96.3905628	98.36798875	121.3350037	82.60538912	545.6367475	96.52113665	76.62620759	86.0294077	72.39077719	73.17906107	129.0439773	68.25075025	95.28775984	72.24395649
1415825_s_at	Csnk1d			"casein kinase 1, delta"	376.5352183	368.466845	357.6543058	352.3677306	453.8815391	451.4301607	438.1833938	375.516893	422.4556257	436.9983433	472.0556053	424.7496652	548.599311	580.6966898	505.1153239	578.3427752
1415849_s_at	Stmn1			stathmin 1	477.1959538	402.9053075	555.3247939	283.7424117	204.8907438	293.9076295	250.1755518	183.2383923	232.3815951	272.0807353	195.8059778	251.1936179	327.5267659	851.8024091	450.2095969	280.6859422
1415851_a_at	Impdh2			inosine 5'-phosphate dehydrogenase 2	1815.52364	1786.264491	1880.564404	1662.593775	1547.474585	1322.580665	1660.34807	1551.674247	997.9965375	1278.565185	1254.563692	1214.452207	1574.949659	1241.045247	1263.079735	1353.369438
1415855_at	Kitl			kit ligand	177.6207106	143.5131375	136.8716648	138.5495294	87.32010742	95.80512975	131.5131271	143.1251108	64.78455489	100.0467852	94.51687334	103.7714667	96.26016559	91.80545661	115.0948923	100.385981
1415859_at	Eif3c			"eukaryotic translation initiation factor 3, subunit C"	1142.675464	1254.563692	1322.580665	1273.382388	2245.482868	2329.088913	2876.761693	2191.434738	2176.644374	2472.029081	2557.13037	1993.295658	2380.089319	2004.115583	2242.449841	2197.366801
1415888_at	Hdgf			hepatoma-derived growth factor	2001.408576	1926.958786	1774.220988	1724.485162	1322.580665	1285.51435	1467.891887	1557.989721	1125.788421	1335.172102	1633.589746	1282.035059	1109.143256	1089.794198	935.2064048	1169.284272
1415892_at	Sgpl1			sphingosine phosphate lyase 1	493.623066	538.2997705	537.5715582	619.6848983	565.9500821	527.4786899	575.2195902	583.8496131	406.7416729	304.8494219	407.8443907	338.8016287	460.0679033	406.7416729	424.1750636	413.9632826
1415909_at	Stip1			stress-induced phosphoprotein 1	173.8146651	370.4674552	441.7569432	323.9986519	281.4469102	236.9882958	265.8904223	210.0871337	154.9212246	157.8854046	182.1254845	163.7633829	337.4284949	439.3713533	298.7212377	290.3483449
1415925_a_at	Nup62			nucleoporin 62	70.21897344	140.7234551	80.18136095	78.99618078	67.74445692	65.6675625	95.09443429	50.98054884	33.84932125	33.46202849	59.85168671	22.44435917	77.67061585	90.08181559	66.11359226	61.24512043
1415926_at	Nup62			nucleoporin 62	139.0192638	128.173393	121.5815916	114.7059963	117.7744676	147.0532644	107.9265498	114.6283431	98.36798875	71.65949642	103.0713812	62.755935	124.6651148	144.9777808	115.0169758	114.7836225
1415940_at	Zfand2a			"zinc finger, AN1-type domain 2A"	238.9211896	303.6138934	424.7496652	252.557662	198.7437938	221.1778342	209.3772669	196.8692532	107.4891328	166.5582494	211.8006197	224.4961666	254.2729176	171.5936078	176.9008292	186.8708849
1415949_at	Cpe /// LOC100046434			carboxypeptidase E /// similar to carboxypeptidase E	61.45276417	6.690843037	29.40378556	6.775155224	11.62028864	6.786628302	10.35366759	6.763701541	6.661467346	6.643456263	6.782038621	6.788929012	6.85589018	6.784333073	6.816555927	6.612051676
1415965_at	Scd1			stearoyl-Coenzyme A desaturase 1	1733.857959	4112.671142	1743.269616	3827.90683	2468.690052	1375.537733	2762.272626	2367.223158	2322.785149	2325.926834	2912.031003	1822.913008	2706.738877	1769.418994	1394.285221	728.9954501
1415975_at	Carhsp1			calcium regulated heat stable protein 1	634.1120578	595.0210924	569.0233323	565.9500821	692.4408367	740.9349104	733.9464525	625.5853857	498.3232236	591.0068329	625.5853857	559.0963049	397.4875877	415.0858667	393.7385063	352.8450596
1415988_at	Hdlbp			high density lipoprotein (HDL) binding protein	858.7497716	846.0557962	889.5149237	754.0905708	2310.244774	2354.442868	2865.120299	2092.84536	2325.926834	2153.205052	2425.623634	1827.860177	2310.244774	2227.315167	2319.647708	2017.733609
1415989_at	Vcam1			vascular cell adhesion molecule 1	75.08584214	56.85053418	53.30976806	59.36752236	93.87922325	85.56476965	79.4250947	54.55089646	114.3958575	65.71204795	85.16029251	143.7075451	95.09443429	65.97945701	167.3493341	77.7231787
1415993_at	Sqle			squalene epoxidase	1518.425068	1407.559311	1246.096429	1434.49776	1060.684591	1880.564404	1638.011761	1602.912546	1273.382388	1386.75768	1386.75768	2191.434738	1624.770235	1304.797312	1301.265831	1719.829701
1415995_at	Casp6			caspase 6	598.2517908	396.9498663	364.0046323	523.2113401	373.4890147	591.8074304	498.9982688	695.2586603	725.0582031	1033.748843	1066.442156	1076.602526	381.1510394	229.5672449	296.3047615	368.466845
1415998_at	Vdac1			voltage-dependent anion channel 1	3078.239994	2996.016803	2641.588446	3149.899317	3843.486804	3448.970324	3885.353097	3538.837989	4101.540048	4418.619541	4430.58044	3975.801462	4466.719673	4214.132615	3848.711993	3791.807476
1416016_at	Tap1			"transporter 1, ATP-binding cassette, sub-family B (MDR/TAP)"	240.8696813	201.8622039	172.7589927	130.6258849	148.4534694	166.3329293	205.7245276	130.7142847	109.5458484	130.8914453	110.3645476	103.7012159	146.2591426	191.9998003	96.3905628	125.596809
1416021_a_at	Fabp5 /// Gm6166			"fatty acid binding protein 5, epidermal /// predicted gene 6166"	2248.535584	9341.574384	3061.621029	5615.037724	4382.869476	1953.221705	3416.444559	2009.554515	2282.264049	4040.925393	1676.155173	1974.497738	1800.834643	5128.140237	2670.344204	2732.526932
1416022_at	Fabp5			"fatty acid binding protein 5, epidermal"	900.4191937	3859.130191	1012.969486	1929.565096	1795.973067	813.4833457	1342.428933	725.0582031	841.4868988	1631.383217	700.9292406	768.51947	691.5041024	2303.992013	991.2636383	1201.374307
1416029_at	Klf10			Kruppel-like factor 10	89.77743668	202.5464515	135.5806987	509.2350813	64.43470328	50.63661288	76.31559526	347.6293302	361.0598023	1241.045247	344.8172168	968.710655	49.98956265	36.71358265	71.27246912	120.3533926
1416034_at	Cd24a			CD24a antigen	194.090541	33.62095967	25.28405582	30.35427899	86.73106982	66.87879739	208.9524696	32.87828177	56.39060827	56.81204776	30.43657252	19.56277327	57.93828196	111.114093	75.23843838	41.75245141
1416039_x_at	Cyr61			cysteine rich protein 61	139.0192638	79.37138087	89.59535291	290.3483449	39.60517371	45.62393572	54.5878511	170.0901752	54.73584429	302.792991	144.8796343	112.5523992	63.3534816	56.20006913	54.62479291	71.99985021
1416049_at	Gldc			glycine decarboxylase	3311.708556	2739.923694	2796.138292	2613.124234	2732.526932	3397.999677	3192.852077	2505.738245	1696.704959	1475.859838	2050.770024	1207.895558	2458.68296	2438.790304	2442.105819	2376.858
1416051_at	C2			complement component 2 (within H-2S)	1878.02428	1987.900731	1827.860177	1528.742812	2087.180999	1979.842568	1971.817069	1577.09079	1448.154688	1411.37926	1239.368937	1379.270779	1609.436565	1762.24647	1667.105858	1722.155858
1416059_at	LOC100048726 /// Sec23b			similar to SEC23B /// SEC23B (S. cerevisiae)	1273.382388	1611.624581	1776.620712	1522.545893	1687.533001	1469.877286	2001.408576	1285.51435	706.6460705	1050.681728	915.16686	732.9535693	1696.704959	1689.827188	1649.1421	1594.258657
1416062_at	Tbc1d15			"TBC1 domain family, member 15"	152.1154625	143.6103582	118.654664	122.9055283	154.1888893	154.9212246	127.2225854	108.5860528	206.0032089	248.1516092	260.1929388	176.0645931	175.5885548	110.1406334	135.2141195	147.7517082
1416064_a_at	Hspa5			heat shock protein 5	23014.09355	36319.07905	45903.92832	35540.83608	35396.76759	38652.65784	37875.57053	27000.52801	19092.25645	23518.03657	21653.91102	20596.04918	38339.92781	43543.20558	47741.95419	38288.14115
1416101_a_at	Hist1h1c			"histone cluster 1, H1c"	5413.477754	6057.261582	5951.592358	4219.832444	5569.607706	5776.940819	6614.470704	4029.988482	1183.611579	1640.238624	1273.382388	1434.49776	3720.626873	4123.832443	3756.048561	3210.183385
