Probe Set	Gene Symbol	UniGene ID	Rep. Pub. ID	Gene Title	CON1	CON2	CON3	CON4	D3T1	D3T2	D3T3	D3T4	C101	C102	C103	C104
1415673_at	Psph	Psph	Psph	phosphoserine phosphatase	200.6361139	289.955461	290.3482694	237.6308157	275.4160356	238.9211275	304.8494483	303.2030856	180.0417272	133.305616	177.8613678	167.9166597
1415738_at	Txndc12	Txndc12	Txndc12	thioredoxin domain containing 12 (endoplasmic reticulum)	382.7021312	431.7062742	399.6458021	397.4874844	569.0232337	539.7591089	491.6221986	375.0089585	201.3163189	254.7898618	372.9836939	278.4151196
1415784_at	Vps35	Vps35	Vps35	vacuolar protein sorting 35	74.37763011	59.44793072	74.93350673	61.6193902	53.05777192	52.62853892	50.4655357	66.33773333	133.7575543	106.3312521	107.3437028	90.63228324
1415812_at	Gsn	Gsn	Gsn	gelsolin	858.7496228	223.8891221	352.3676085	198.8783177	120.4348719	91.24785562	192.259898	155.2361032	150.3750988	197.0025253	235.2302336	156.0790199
1415851_a_at	Impdh2	Impdh2	Impdh2	inosine 5'-phosphate dehydrogenase 2	1712.855224	1694.40437	1837.782093	1596.420506	1810.616925	1362.565039	1438.385214	1326.167124	928.8971139	1207.896604	1170.865285	1177.222968
1415855_at	Kitl	Kitl	Kitl	kit ligand	180.1636391	152.5279357	143.0282434	150.782807	125.2572239	121.6639394	113.1635574	116.7426167	67.92814255	102.792682	98.63470427	105.1146769
1415859_at	Eif3c	Eif3c	Eif3c	eukaryotic translation initiation factor 3, subunit C	1174.039823	1351.542	1386.75768	1336.983208	981.9141785	1080.980663	1493.955935	1417.123719	2282.264049	2574.502811	2634.441174	2092.84536
1415888_at	Hdgf	Hdgf	Hdgf	hepatoma-derived growth factor	1929.568439	1860.311025	1694.40437	1731.506994	1845.261262	1769.422061	1701.300039	1771.819138	1122.74338	1319.005057	1598.583214	1264.794689
1415892_at	Sgpl1	Sgpl1	Sgpl1	sphingosine phosphate lyase 1	470.1421193	541.9557493	565.9501802	647.9971915	719.1926043	741.9387339	658.6102935	543.4251404	418.4711559	344.3505987	396.9497287	360.0834544
1415909_at	Stip1	Stip1	Stip1	stress-induced phosphoprotein 1	171.826017	350.9394017	421.8841641	289.955461	227.4020678	257.7387461	244.4835776	295.1036848	150.8849068	136.9643151	179.5549045	156.8203256
