Probe Set ID	Gene Symbol	UniGene ID	Rep. Pub. ID	Gene Title	V_778	V_781	V_782	V_783	D_630	D_631	D_632	D_633	C_776_3umol	C_777_3umol	C_779_3umol	C_780_3umol
1415673_at	Psph			phosphoserine phosphatase	203.0957162	296.7061458	297.1080738	247.6481443	302.792991	253.7572093	332.890987	322.2487607	250.8538031	206.1427625	262.3149095	216.4384493
1415689_s_at	Zkscan3			zinc finger with KRAB and SCAN domains 3	771.6468885	932.6771742	1037.956308	868.1009435	786.4117133	670.3041241	803.6318875	693.37884	687.7693432	591.8074304	755.1120869	849.4993304
1415714_a_at	Snrnp27			small nuclear ribonucleoprotein 27 (U4/U6.U5)	787.4770127	836.9420943	806.9021927	821.2291344	852.9562889	923.8808541	746.9780294	775.8365859	714.3409417	710.4828425	686.8389284	731.9620293
1415738_at	Txndc12			thioredoxin domain containing 12 (endoplasmic reticulum)	400.7292476	445.9632444	424.1750636	399.1051265	550.8321667	564.4198827	532.5012125	429.9565312	377.5560434	396.9498663	375.516893	439.9665403
1415784_at	Vps35			vacuolar protein sorting 35	75.69824774	64.91626092	85.04508761	67.19644478	54.07298145	57.00466174	47.87016919	63.87015294	72.9318457	94.0700783	93.11979648	70.50472302
1415812_at	Gsn			gelsolin	797.1304336	193.5657646	298.7212377	180.652073	117.2177305	80.12713567	163.8742083	133.848114	163.2100402	110.3645476	256.6940419	197.6703943
1415822_at	Scd2			stearoyl-Coenzyme A desaturase 2	263.3825582	73.67611072	96.3905628	98.36798875	133.6670442	136.6865047	96.3905628	209.9449099	121.3350037	82.60538912	545.6367475	96.52113665
1415825_s_at	Csnk1d			"casein kinase 1, delta"	376.5352183	368.466845	357.6543058	352.3677306	491.6221134	427.0558659	331.0932985	345.7520512	453.8815391	451.4301607	438.1833938	375.516893
1415849_s_at	Stmn1			stathmin 1	477.1959538	402.9053075	555.3247939	283.7424117	361.5489058	379.0924726	385.8234442	188.0129206	204.8907438	293.9076295	250.1755518	183.2383923
1415851_a_at	Impdh2			inosine 5'-phosphate dehydrogenase 2	1815.52364	1786.264491	1880.564404	1662.593775	1898.481204	1465.909171	1489.920875	1396.18074	1547.474585	1322.580665	1660.34807	1551.674247
1415855_at	Kitl			kit ligand	177.6207106	143.5131375	136.8716648	138.5495294	128.4339676	116.9799121	103.841693	112.7812165	87.32010742	95.80512975	131.5131271	143.1251108
1415859_at	Eif3c			"eukaryotic translation initiation factor 3, subunit C"	1142.675464	1254.563692	1322.580665	1273.382388	956.9793607	1008.864007	1417.123719	1317.219446	2245.482868	2329.088913	2876.761693	2191.434738
1415888_at	Hdgf			hepatoma-derived growth factor	2001.408576	1926.958786	1774.220988	1724.485162	1934.801706	1847.757866	1779.036013	1840.267787	1322.580665	1285.51435	1467.891887	1557.989721
1415892_at	Sgpl1			sphingosine phosphate lyase 1	493.623066	538.2997705	537.5715582	619.6848983	686.8389284	705.6901193	625.5853857	517.5753145	565.9500821	527.4786899	575.2195902	583.8496131
1415909_at	Stip1			stress-induced phosphoprotein 1	173.8146651	370.4674552	441.7569432	323.9986519	241.5228708	263.739345	253.4139264	305.262381	281.4469102	236.9882958	265.8904223	210.0871337
1415925_a_at	Nup62			nucleoporin 62	70.21897344	140.7234551	80.18136095	78.99618078	108.1459629	96.19506649	79.10319162	59.28716885	67.74445692	65.6675625	95.09443429	50.98054884
1415926_at	Nup62			nucleoporin 62	139.0192638	128.173393	121.5815916	114.7059963	112.8575402	120.9250228	114.6283431	87.14300752	117.7744676	147.0532644	107.9265498	114.6283431
1415940_at	Zfand2a			"zinc finger, AN1-type domain 2A"	238.9211896	303.6138934	424.7496652	252.557662	191.8698211	240.8696813	273.9285828	238.1138949	198.7437938	221.1778342	209.3772669	196.8692532
1415949_at	Cpe /// LOC100046434			carboxypeptidase E /// similar to carboxypeptidase E	61.45276417	6.690843037	29.40378556	6.775155224	6.802726087	7.020252882	6.627735369	6.795821693	11.62028864	6.786628302	10.35366759	6.763701541
1415965_at	Scd1			stearoyl-Coenzyme A desaturase 1	1733.857959	4112.671142	1743.269616	3827.90683	7106.482847	7058.568917	6516.673504	2799.920211	2468.690052	1375.537733	2762.272626	2367.223158
1415975_at	Carhsp1			calcium regulated heat stable protein 1	634.1120578	595.0210924	569.0233323	565.9500821	569.7941502	697.1440602	683.129839	456.3459128	692.4408367	740.9349104	733.9464525	625.5853857
1415988_at	Hdlbp			high density lipoprotein (HDL) binding protein	858.7497716	846.0557962	889.5149237	754.0905708	840.3485348	730.9718306	833.55004	858.7497716	2310.244774	2354.442868	2865.120299	2092.84536
