Probe Set	Gene Symbol	UniGene ID	Rep. Pub. ID	Gene Title	CON 1	CON 2	CON 3	CON 4	D3T 1	D3T 2	D3T 3	D3T 4	C10 1	C10 2	C10 3	C10 4
1415673_at	Psph			phosphoserine phosphatase	200.6361139	289.955461	290.3482694	237.6308157	275.4160356	238.9211275	304.8494483	303.2030856	180.0417272	133.305616	177.8613678	167.9166597
1415738_at	Txndc12			thioredoxin domain containing 12 (endoplasmic reticulum)	382.7021312	431.7062742	399.6458021	397.4874844	569.0232337	539.7591089	491.6221986	375.0089585	201.3163189	254.7898618	372.9836939	278.4151196
1415784_at	Vps35			vacuolar protein sorting 35	74.37763011	59.44793072	74.93350673	61.6193902	53.05777192	52.62853892	50.4655357	66.33773333	133.7575543	106.3312521	107.3437028	90.63228324
1415812_at	Gsn			gelsolin	858.7496228	223.8891221	352.3676085	198.8783177	120.4348719	91.24785562	192.259898	155.2361032	150.3750988	197.0025253	235.2302336	156.0790199
1415851_a_at	Impdh2			inosine 5'-phosphate dehydrogenase 2	1712.855224	1694.40437	1837.782093	1596.420506	1810.616925	1362.565039	1438.385214	1326.167124	928.8971139	1207.896604	1170.865285	1177.222968
1415855_at	Kitl			kit ligand	180.1636391	152.5279357	143.0282434	150.782807	125.2572239	121.6639394	113.1635574	116.7426167	67.92814255	102.792682	98.63470427	105.1146769
1415859_at	Eif3c			"eukaryotic translation initiation factor 3, subunit C"	1174.039823	1351.542	1386.75768	1336.983208	981.9141785	1080.980663	1493.955935	1417.123719	2282.264049	2574.502811	2634.441174	2092.84536
1415888_at	Hdgf			hepatoma-derived growth factor	1929.568439	1860.311025	1694.40437	1731.506994	1845.261262	1769.422061	1701.300039	1771.819138	1122.74338	1319.005057	1598.583214	1264.794689
1415892_at	Sgpl1			sphingosine phosphate lyase 1	470.1421193	541.9557493	565.9501802	647.9971915	719.1926043	741.9387339	658.6102935	543.4251404	418.4711559	344.3505987	396.9497287	360.0834544
1415909_at	Stip1			stress-induced phosphoprotein 1	171.826017	350.9394017	421.8841641	289.955461	227.4020678	257.7387461	244.4835776	295.1036848	150.8849068	136.9643151	179.5549045	156.8203256
1415926_at	Nup62			nucleoporin 62	136.8716352	129.2187734	119.2989471	110.9638018	121.0888214	112.4001383	107.4163886	83.67465254	96.97959845	68.62136591	101.4791171	63.31059284
1415940_at	Zfand2a			"zinc finger, AN1-type domain 2A"	251.0236857	311.1033242	428.213806	259.8408371	192.9117054	246.1441045	228.9465775	241.522808	112.1721184	162.6585812	217.7609662	198.2063503
1415988_at	Hdlbp			high density lipoprotein (HDL) binding protein	806.9021927	854.1118797	866.9263507	755.1120214	814.5852466	728.9952606	820.1178909	859.912988	2316.50548	2130.004304	2389.770316	1729.164467
1415993_at	Sqle			squalene epoxidase	1520.48145	1292.490087	1121.224439	1333.36808	2736.220443	2406.001589	1971.820486	3201.497682	1139.588206	1266.508136	1231.008493	2001.404248
1415995_at	Casp6			caspase 6	544.1613292	352.3676085	315.3436889	475.2616314	583.059781	596.6343066	521.796606	451.430278	606.4061711	879.9330806	1006.135834	925.1321333
1415998_at	Vdac1			voltage-dependent anion channel 1	3074.076815	3154.174758	2677.588881	3004.135935	4552.18587	5038.673049	4406.65657	4168.725407	4225.545489	4312.231006	4418.604228	4002.808496
1416016_at	Tap1			"transporter 1, ATP-binding cassette, sub-family B (MDR/TAP)"	215.1238154	173.1101942	145.2724366	113.855067	134.5749076	113.3168623	116.3481683	127.3949309	98.30143861	113.0104599	78.1452316	102.0301387
1416021_a_at	Fabp5 /// Gm6166			"fatty acid binding protein 5, epidermal /// predicted gene 6166"	2285.355885	9520.336687	3218.881498	5761.335271	18810.08503	14662.50266	8577.884945	6181.537495	2310.241779	4329.78037	1733.852707	2107.059925
1416022_at	Fabp5			"fatty acid binding protein 5, epidermal"	942.8336079	4219.828788	1014.341775	2036.939619	12016.54374	8303.657656	3650.768264	2191.429042	866.9263507	1724.488903	732.9536328	799.2916042
1416049_at	Gldc			glycine decarboxylase	3421.07586	2834.247438	2845.781894	2773.51536	2310.241779	2448.720675	2164.890185	2200.347438	1803.278175	1564.328872	2212.295107	1280.299506
1416051_at	C2			complement component 2 (within H-2S)	2233.359836	2127.122641	1963.828364	1731.506994	1247.787243	1319.005057	1162.96644	935.2061617	1579.223885	1555.880594	1351.542	1514.318681
1416059_at	LOC100048726 /// Sec23b			similar to SEC23B /// SEC23B (S. cerevisiae)	1217.748086	1622.567184	1815.526005	1553.775658	1103.156593	1263.083569	1528.737514	1407.563585	718.2196179	1018.46981	928.8971139	723.097749
1416062_at	Tbc1d15			"TBC1 domain family, member 15"	156.502193	156.9265135	113.1635574	118.0138604	160.0374377	162.6585812	156.3962922	140.0582167	206.0032714	246.3107763	262.314955	177.8613678
1416101_a_at	Hist1h1c			"histone cluster 1, H1c"	5442.88655	5919.460585	5792.618751	4096	3137.140396	4140.602516	4151.828828	4601.755924	1158.25274	1545.384374	1285.509895	1428.681636
1416108_a_at	Tmed3			transmembrane emp24 domain containing 3	674.8567558	1022.614644	1119.707545	835.8100234	753.0702409	660.3959672	905.3084593	882.3188212	380.6353191	639.2837003	511.3073218	422.4556989
1416125_at	Fkbp5			FK506 binding protein 5	304.0251525	401.2722278	269.8795545	238.2750982	760.2407249	507.1708877	485.6685059	920.1358864	519.6816741	452.0418396	945.3898891	1109.146624
1416147_at	Hspa4			heat shock protein 4	519.6816741	320.5084871	480.4368912	448.9922943	254.4451599	227.710134	215.2694823	188.0128555	295.9037921	189.1617473	206.1427625	283.7423134
