Probe Set	Gene Symbol	UniGene ID	Representative Public ID	Gene Title=Chromosomal Location	Pvalue	CON1	CON2	CON3	CON4	CON5	BNF1	BNF2	BNF3	BNF4	BNF5	D3T1	D3T2	D3T3	D3T4	D3T5	OLT1	OLT2	OLT3	OLT4	OLT5	BNF(fold-change)	D3T(fold-change)	OLT(fold-change)
1387867_at	Aldh9a1	Rn.98155 /// rn.98155	BG672075	aldehyde dehydrogenase family 9, subfamily A1 /// aldehyde dehydrogenase family 9, subfamily A1=chr13q24	0.00497512437811	5963.775812	6168.376498	5280.851107	5608.19559	6287.271028	4774.141859	3369.740126	5729.88286	4458.757741	4498.844199	5821.091703	5113.45465	5314.321928	5389.960183	5528.177103	5409.494726	5037.785393	4870.493113	4971.894195	4704.105823	0.779002341567	0.926933597508	0.852783281425
1382235_at	RGD1306809_predicted	Rn.161785 /// rn.161785	BF549700	similar to hypothetical protein FLJ30596 (predicted) /// similar to hypothetical protein FLJ30596 (predicted)=chr2q16	0.00497512437811	4283.705932	3237.176921	2514.8362	3407.381643	3562.615965	1819.747151	1288.458603	2469.573891	1808.75312	1863.054096	3833.580209	2678.671981	3131.045959	3514.93126	2400.136847	2321.345342	2050.898175	1905.372254	2486.438961	2814.822588	0.543910441729	0.914890361056	0.680881467733
1367819_at	Got2	Rn.98650	NM_013177	glutamate oxaloacetate transaminase 2, mitochondrial=chr19p13	0.00497512437811	3037.958991	2707.262885	2800.341426	2589.838912	2943.12269	1729.239307	1982.682263	2240.088725	1847.219125	2125.78922	3253.158298	2618.03972	3014.759852	2664.138851	2602.657219	2629.343547	2565.961662	2396.491354	2483.649663	2527.629739	0.70497574907	1.00527250095	0.895198612848
1382689_at	RGD1310870	Rn.71169	BI276519	similar to D7Ertd743e protein=chr1q33	0.00497512437811	1095.606891	996.748536	1205.162582	986.4393602	1286.180387	836.827077	939.298705	942.4188594	949.2192972	1021.145986	1310.309458	1230.163312	1140.567339	1317.050565	1201.474247	1219.057018	881.9715965	856.997906	959.5935485	903.939233	0.841794248155	1.11300028695	0.865608628195
1372309_at	Luc7l2_predicted	Rn.18604	BI296558	LUC7-like 2 (S. cerevisiae) (predicted)=chr4q22	0.00497512437811	335.5947571	218.5318983	237.9687478	200.75499	244.0776953	198.3903237	206.1877789	183.2110329	178.6195769	200.4341978	243.1638185	243.7260267	202.1651235	218.0043358	227.1293903	181.1143465	191.2256568	201.0478403	202.8120991	195.7845575	0.781648439541	0.916939881425	0.785805180784
1371901_at	---	Rn.199444	AI176646	Transcribed locus=---	0.00497512437811	103.1729286	45.84013488	60.44458326	55.04046449	61.56257637	37.5611004	24.75771011	27.07826415	41.6558127	49.70183761	89.1571052	44.90853841	82.51851639	140.6572697	52.56277707	32.47236616	41.68966765	34.10421932	44.71740112	51.24639714	0.554359147987	1.25683414884	0.626355948929
1376758_at	Ing1	Rn.145491	AW532065	inhibitor of growth family, member 1=chr16q12.5	0.00497512437811	74.7101347	43.82826522	43.85856198	44.8046034	58.44736736	44.3755362	43.42697473	44.0597398	41.36237622	43.66066378	45.84694057	45.04512397	71.3808879	50.74331697	45.07720771	44.45756139	44.72603011	36.5584507	42.97054244	43.08593516	0.816435769413	0.971558494648	0.797287298237
1374026_at	LOC296300 /// LOC690571	Rn.198660	BI288745	similar to zinc finger protein 341 /// similar to zinc finger protein 341=chr3q41	0.00497512437811	52.27550309	46.13617306	57.57884059	47.01408601	46.12152522	41.61451211	45.56919093	46.25638828	41.43245733	44.68247745	56.04107926	47.55315173	46.99558291	50.52702572	55.64916182	46.59939173	46.80438692	42.10807252	45.31443448	41.43284449	0.881300680459	1.03066668893	0.892155037896
1394375_x_at	RGD1563179_predicted	Rn.137148	BF554138	Similar to BAZF (predicted)=chr10q24	0.00497512437811	171.7416608	53.27258685	36.19260169	53.77089221	56.04605413	21.82238142	18.89865762	18.49080554	26.96818507	31.48982764	71.83086432	36.52212631	43.15036952	51.47470462	66.63978754	32.29196534	32.73305379	33.26624463	34.24174764	47.3887374	0.317149084938	0.726686146412	0.484933179206
1374294_at	RGD1565642_predicted /// LOC687796	Rn.62858	AW534851	similar to Snf2-related CBP activator protein (predicted) /// hypothetical protein LOC687796=chr1q36	0.00497512437811	65.49507713	46.95743543	44.0628303	40.36209031	48.90202756	39.14068566	34.2046622	40.0719546	33.72501627	39.15110775	39.33354011	39.96056042	43.94599449	47.47130604	41.71163562	28.00845472	40.14107076	35.94604833	38.93304009	30.69541926	0.757969872367	0.864283109944	0.706828929659
1386832_a_at	RGD1563179_predicted	Rn.137148	BF554138	Similar to BAZF (predicted)=chr10q24	0.00497512437811	68.50308284	54.61341357	35.28594139	34.83611649	63.22495645	14.05405189	12.42667008	20.25463445	23.42796664	19.7328151	68.32165057	37.5449605	23.48874959	65.43321147	40.37023254	22.51474539	25.76261001	19.6804371	18.32656963	47.65062636	0.35052213822	0.916928899521	0.522237990518
