Probe Set ID	Gene Symbol	UniGene ID	Rep. Pub. ID	Gene Title	Pvalue	V_778	V_781	V_782	V_783	D_630	D_631	D_632	D_633	C_776_3umol	C_777_3umol	C_779_3umol	C_780_3umol	D3T(fold-change)	C3(fold-change)
1439624_at	Ugt2b35			"UDP glucuronosyltransferase 2 family, polypeptide B35"	0.000199980002	13121.90899	12213.33856	13591.99871	12980.51498	8360.074016	8508.505307	8636.134519	8789.467204	16361.86974	14742.15692	15499.34899	16833.64526	0.660675402421	1.2221105167
1438040_a_at	Hsp90b1			"heat shock protein 90, beta (Grp94), member 1"	0.000599940005999	9166.212394	11034.16623	14117.13783	11199.68084	6463.948552	6879.318805	8360.074016	7865.975623	18582.28119	21362.75363	16697.44799	13033.34701	0.649629563196	1.53075834986
1423447_at	Clpx			caseinolytic peptidase X (E.coli)	0.000199980002	11094.06144	9755.161216	10270.15262	9848.102075	8730.206114	8462.569138	6040.909257	7802.333768	13445.53928	12196.84171	11951.6319	11169.44592	0.757576992381	1.19029683942
1450109_s_at	Abcc2			"ATP-binding cassette, sub-family C (CFTR/MRP), member 2"	0.002599740026	5472.445628	4424.595949	5169.969306	5494.719045	5018.254767	5855.716528	5554.533362	5855.716528	6795.999354	7381.04822	7154.771612	7666.221674	1.08377170905	1.41029188505
1418004_a_at	Tmem176b			transmembrane protein 176B	0.000499950005	3838.295315	4558.36268	4019.10903	3859.130191	5340.688408	5630.237245	4851.247267	4910.723915	6534.358983	7532.484063	6334.038846	5428.16929	1.2739187572	1.58704849801
1439153_at	Rnf144b			ring finger protein 144B	0.000199980002	2529.593762	2688.489273	2706.738877	2706.738877	1862.829605	1638.011761	1583.509712	2482.090494	3210.183385	3307.235352	2959.730293	2777.266681	0.711696214899	1.1526450306
1428614_at	Ldhd			lactate dehydrogenase D	0.001299870013	1733.857959	2056.335571	2064.705068	1769.418994	2042.457014	2273.012653	2215.29022	2313.369497	3124.435841	2659.519685	2777.266681	2376.858	1.15998963544	1.43463071613
1416525_at	Spop			speckle-type POZ protein	0.000199980002	1301.265831	1308.338377	1266.507583	1257.968429	902.8603214	1003.415212	1177.221434	1046.42268	1526.66732	1622.564372	1776.620712	1360.725175	0.804412761474	1.2244798113
1439342_at	Clpx			Caseinolytic peptidase X (E.coli)	0.001399860014	1162.963417	1177.221434	1287.253074	1066.442156	1079.516815	783.2239114	289.9555615	510.6156692	1261.373663	1383.00437	1346.062796	1452.084808	0.567400937208	1.15949396727
1436746_at	Wnk1			WNK lysine deficient protein kinase 1	0.000199980002	699.0340883	782.1643656	819.0081511	728.9954501	576.7790687	685.9097723	611.3517992	641.8854283	1319.001052	1324.369522	1440.336314	1287.253074	0.830557362215	1.7730609792
