Probe Set	Gene Symbol	UniGene ID	Representative Public ID	Gene Title=Chromosomal Location	Pvalue	CON1	CON2	CON3	CON4	CON5	BNF1	BNF2	BNF3	BNF4	BNF5	D3T1	D3T2	D3T3	D3T4	D3T5	OLT1	OLT2	OLT3	OLT4	OLT5	BNF(fold-change)	D3T(fold-change)	OLT(fold-change)
1369275_s_at	Cyp2a1 /// Cyp2a2	Rn.9867	NM_012692	Cytochrome P450 IIA1 (hepatic steroid hydroxylase IIA1) gene /// cytochrome P450, subfamily 2A, polypeptide 1=chr1q21	0.00497512437811	5171.828212	9038.022354	7576.744377	7580.314603	9812.063329	12193.78277	15007.3547	11483.7918	12084.47117	14760.36155	7919.41457	6823.689285	6484.397829	4796.717533	9091.756876	7494.783091	7884.394725	9624.270726	9357.3509	8742.257152	1.67257478135	0.8962964957	1.10015790183
1383315_at	Eiih	Rn.8672 /// rn.8672	AW434208	hepatic protein EIIH /// hepatic protein EIIH=chr1q32	0.00497512437811	4739.151874	2541.95966	3545.162444	5634.381908	7419.344115	9645.188377	9218.373135	10442.92002	11734.16497	9121.882428	5910.926885	4945.284549	6114.997993	2546.435765	3351.192302	2888.274127	4955.083281	2792.611251	4445.355092	4876.277959	2.10060841407	0.957656511434	0.835745465208
1387511_at	Cyp2a1	Rn.32107 /// rn.32107	NM_012692	Cytochrome P450 IIA1 (hepatic steroid hydroxylase IIA1) gene /// Cytochrome P450 IIA1 (hepatic steroid hydroxylase IIA1) gene=chr1q21	0.00497512437811	2858.069948	5124.027347	4164.011478	4291.387521	5931.93153	6719.598415	7211.726704	6047.333802	6330.772293	7959.011856	4541.460069	3811.893111	4057.300857	2789.506408	4907.750222	3370.587447	4079.711559	5252.352364	5126.531484	4911.613934	1.53193203419	0.898901430345	1.01660163
1370269_at	Cyp1a1	Rn.10352 /// rn.10352	X00469	cytochrome P450, family 1, subfamily a, polypeptide 1 /// cytochrome P450, family 1, subfamily a, polypeptide 1=chr8q24	0.00497512437811	15.9077207	48.92437386	20.61042472	54.14130207	96.00796498	11546.37695	13996.24186	11988.83464	11583.00498	12619.41384	54.16927549	15.98619999	15.79973191	15.62586912	317.1089474	15.62258053	64.16280165	1002.972887	1242.413125	160.0749775	262.037455684	1.77718430015	10.5489516863
1393653_at	RGD1560766_predicted	Rn.127094	BM384831	similar to putative protein product of HMFN2073 (predicted)=chr9q34	0.00497512437811	2784.989359	2762.645532	3172.037981	2534.999874	3013.875047	3596.223027	5136.927689	3064.348978	3742.872867	4038.98306	2815.454967	1959.744417	1674.825147	1282.04287	2954.72609	2253.007358	2544.7175	2464.588411	2860.871375	3372.239626	1.37220380834	0.748975554208	0.945816243235
1371249_at	Xbp1	Rn.101044 /// rn.101044	BF417262	X-box binding protein 1 /// X-box binding protein 1=chr14q21	0.00497512437811	2101.626439	2147.506675	2051.67325	2279.244486	2458.121003	2726.2788	2798.100101	2988.530456	3195.452574	3176.456375	2168.467116	2148.158098	2146.68867	2281.823931	2270.276767	2547.946624	2215.429834	2028.242151	2382.801604	2498.286383	1.34848582757	0.997938311588	1.05748549229
1368990_at	Cyp1b1	Rn.10125 /// rn.10125	NM_012940	cytochrome P450, family 1, subfamily b, polypeptide 1 /// cytochrome P450, family 1, subfamily b, polypeptide 1=chr6q11	0.00497512437811	5.463067634	5.551129798	5.587964436	5.71471044	5.500217929	9326.751411	11205.53865	7537.070489	7086.407432	7924.563908	5.622941685	5.841849681	5.757179157	5.675428971	5.532888049	6.920834257	5.694272291	5.793512043	5.540140738	5.344616434	1548.70015242	1.02204390541	1.05307117004
1370320_at	Mawbp	Rn.2417	AY083160	MAWD binding protein=chr20p11	0.00497512437811	1066.972162	911.819123	834.2517572	950.0299208	1209.7384	1418.402422	1220.099305	1399.632942	1475.019334	1743.85124	1296.947783	1193.734744	1246.449433	1238.777732	889.759036	1306.346257	681.2374179	777.3128883	730.9721255	1019.154578	1.4593365228	1.17954780502	0.907941793307
1392946_at	---	Rn.121260 /// rn.121260	AI029194	Transcribed locus /// Transcribed locus=---	0.00497512437811	749.7281325	670.512312	665.0108759	644.3750115	539.2889649	2687.376442	4236.427781	1841.442189	2544.019688	2304.390931	203.9658735	145.1958607	201.1451916	519.2175539	1174.353888	267.803579	414.8866102	440.5330515	526.1071982	838.1951073	4.16457931606	0.686429033477	0.760963598119
1388883_at	Pold4	Rn.104646	BF281976	polymerase (DNA-directed), delta 4=chr1q42	0.00497512437811	998.7335018	976.3106558	903.2252954	964.2083806	863.1743319	1277.744256	1127.071824	1343.936455	1301.341184	1110.271774	949.7733694	801.9856131	1013.525676	972.1461062	792.020641	1123.116524	703.5778098	678.5654777	822.6054478	776.9536368	1.30914170371	0.962555506951	0.872316684645
