Probe Set	Gene Symbol	UniGene ID	Representative Public ID	Gene Title=Chromosomal Location	CON1	CON2	CON3	CON4	CON5	BNF1	BNF2	BNF3	BNF4	BNF5	D3T1	D3T2	D3T3	D3T4	D3T5	OLT1	OLT2	OLT3	OLT4	OLT5
1369943_at	Tgm2	Rn.10	NM_019386	transglutaminase 2, C polypeptide=chr3q42	2177.696639	1045.617437	1941.677698	1235.95798	1691.027891	1032.806027	1688.829115	1049.005161	1041.942284	1325.112048	1195.683425	1108.756879	1353.180812	1056.674002	1897.641907	1079.665273	1417.825965	1074.06098	1393.633825	1206.509341
1367657_at	Btg1	Rn.1000	NM_017258	B-cell translocation gene 1, anti-proliferative=chr7q13	8434.484377	9746.999939	7945.054827	9150.292968	11070.68883	7135.596641	11664.80023	7243.845044	8074.235663	7991.710959	8300.230754	6238.039229	5111.921086	6542.103824	7609.761642	5807.564232	6553.375667	5112.259555	7679.161798	8459.915101
1368270_at	Apobec1	Rn.10002	NM_012907	apolipoprotein B editing complex 1=chr4q42	19.79207764	19.51060506	19.76152657	14.28282581	14.48625547	18.66085292	20.03340232	14.83246582	20.20556835	19.69399841	48.79503044	22.01243458	30.48051851	44.873831	40.78149789	20.34990504	32.60929292	15.61025278	35.53522808	33.9077185
1372094_at	Supt5h	Rn.100021	BG380556	suppressor of Ty 5 homolog (S. cerevisiae)=chr1q21	996.149857	867.4281756	1035.41569	849.5775822	1071.943967	1095.091657	985.2086709	866.030948	812.1145315	1167.197732	963.4004323	1065.601143	1134.870401	1030.003404	1018.960361	1168.633139	1028.585325	868.2309637	926.873251	899.6974895
1399029_at	Usp48	Rn.100022	BI285965	ubiquitin specific protease 48=chr5q36	102.423643	118.1206194	77.58885188	107.6658138	103.2080683	130.8166844	87.88309699	103.5080601	104.3207902	101.8462426	158.2999367	89.92246382	84.65048559	157.2020352	129.7680975	78.48527433	99.84517436	83.97367409	101.2305468	134.8803249
1376849_at	Usp48	Rn.100022	BM384872	ubiquitin specific protease 48=chr5q36	217.9692681	168.7466248	149.8477103	170.0001981	241.9847734	148.2195666	145.8391775	182.011213	168.1714428	186.7029742	179.6880289	101.7338475	170.2565196	226.9870219	163.9606076	162.3782257	178.2376059	126.2043255	195.561137	204.3037697
1397005_at	Podxl2_predicted	Rn.100042	BF393900	Podocalyxin-like 2 (predicted)=chr4q34	6.006982509	6.366794388	6.387213057	6.543447633	6.351456628	7.211494497	6.320072521	7.459516769	6.416379406	6.211988139	6.284494445	6.598444361	6.611019115	6.373835983	6.272365531	6.545319115	6.477594295	6.721044333	6.239536671	6.096436575
1368627_at	Rgn	Rn.10006	NM_031546	regucalcin=chrXq11-q12	11479.95368	7131.535484	6869.643514	8908.691251	9825.558572	8259.493454	6571.767248	6828.345016	7686.863316	5211.758539	9313.827906	8153.298675	7816.688331	9749.183351	10300.30545	7316.629753	8221.037277	8320.658887	8739.520487	9226.75907
1388858_at	Map2k3	Rn.100064	BI283843	mitogen activated protein kinase kinase 3=chr10q22	1239.592968	1518.013694	1590.37035	1718.909447	2218.130606	1596.659595	1284.470347	2328.313322	1477.832094	1659.014741	1414.504107	2150.620883	1641.024611	1153.070437	1720.158656	1933.512814	1562.252475	1761.146148	1527.877815	1754.11319
1398267_at	Slc22a7	Rn.10009 /// rn.10009	NM_053537	solute carrier family 22 (organic anion transporter), member 7 /// solute carrier family 22 (organic anion transporter), member 7=chr9q12	1029.831258	712.904399	906.3522567	556.0297915	627.1698017	467.5998523	613.8967777	606.5920042	653.8630939	496.4373159	770.9209185	621.224643	980.2906633	766.7360999	1025.326605	645.8639917	920.4484615	570.5937187	949.3733079	953.7266144
1385837_at	Hoxd3_mapped	Rn.100101	AA956624	homeo box D3 (mapped)=chr3q23	7.942043248	7.990689934	7.999732461	8.325685476	7.906064455	8.103678462	7.995693405	8.076714925	8.079383775	7.80116018	7.942137032	9.998881296	9.076314864	7.954664384	8.004198618	8.310004723	8.287902609	9.336409184	7.749534135	7.650542633
1371584_at	Trpc4ap	Rn.100109	BM390843	transient receptor potential cation channel, subfamily C, member 4 associated protein=chr3q42	419.7459134	388.7066922	398.3290231	357.8584225	360.717509	350.1810077	378.3355153	335.3586918	344.7310555	420.452449	439.4473071	433.168101	446.7770069	450.0516434	574.2156027	447.1677826	444.1883953	308.8879808	457.4667466	431.6299099
