Probe Set ID	Gene Symbol	UniGene ID	Rep. Pub. ID	Gene Title	Pvalue	V_778	V_781	V_782	V_783	C_776_3umol	C_777_3umol	C_779_3umol	C_780_3umol	C_767_10umol	C_768_10umol	C_769_10umol	C_770_10umol	C_634_30umol	C_635_30umol	C_636_30umol	C_637_30umol	C3(fold-change)	C10(fold-change)	C30(fold-change)
1433866_x_at	Prdx1			peroxiredoxin 1	9.99900009999e-05	24033.01452	22643.35322	22490.52939	27967.81643	32196.36064	31251.54729	28930.6276	30293.48633	34591.50109	34732.05131	33576.40151	36814.07929	35015.35272	37467.70524	38081.4291	36913.98833	1.26290609571	1.4383532733	1.51828805568
1418188_a_at	Malat1			metastasis associated lung adenocarcinoma transcript 1 (non-coding RNA)	0.000299970003	22643.35322	23014.09355	19964.64779	16879.32978	25301.75785	24426.67713	28503.076	23264.78122	32458.979	33259.52628	33530.81664	25301.75785	30089.03046	31166.96384	29644.35939	33804.31986	1.23023684757	1.50968399354	1.51154570418
1439624_at	Ugt2b35			"UDP glucuronosyltransferase 2 family, polypeptide B35"	9.99900009999e-05	13121.90899	12213.33856	13591.99871	12980.51498	16361.86974	14742.15692	15499.34899	16833.64526	20264.12133	17722.32176	16384.0	16629.76314	19964.64779	18531.98758	20961.72755	19169.9639	1.2221105167	1.36781484183	1.51477014114
1438040_a_at	Hsp90b1			"heat shock protein 90, beta (Grp94), member 1"	0.00199980002	9166.212394	11034.16623	14117.13783	11199.68084	18582.28119	21362.75363	16697.44799	13033.34701	14251.538	14212.96569	15924.71574	11569.58905	19014.864	20236.7501	25097.04697	16742.76288	1.53075834986	1.22939925581	1.78155573653
1455100_at	Akr1d1			"aldo-keto reductase family 1, member D1"	0.000899910008999	10410.12665	7573.371583	8360.074016	9702.494535	11275.78301	12016.50726	11616.67846	12000.27627	13157.4291	13555.21147	14251.538	15668.18014	13445.53928	12213.33856	14504.57095	10695.89806	1.30136930837	1.57111063044	1.41095413141
1438403_s_at	Malat1			metastasis associated lung adenocarcinoma transcript 1 (non-coding RNA)	9.99900009999e-05	7391.031464	7481.646052	6008.253629	4904.090883	8933.439346	8577.907242	9379.595554	7593.924815	11935.48855	13300.7502	12823.30037	9006.307371	11275.78301	12147.40054	10871.02233	11616.67846	1.33739916606	1.82531728846	1.78052531001
1425627_x_at	Gstm1			"glutathione S-transferase, mu 1"	9.99900009999e-05	3258.336752	3388.802868	4068.355402	4180.037008	4721.665094	4271.5679	5176.961953	7222.887577	11806.8787	12396.62691	9405.050664	8508.505307	18357.22032	18307.66274	16765.40832	18733.85262	1.43620801734	2.82749629192	4.84468388606
1456036_x_at	Gsto1			glutathione S-transferase omega 1	0.001299870013	6768.451061	5517.083117	6131.524054	7203.338571	7666.221674	8439.664888	7573.371583	8873.146051	9481.765514	11034.16623	9366.926309	8636.134519	7940.862503	8589.509298	9598.012656	7876.614755	1.27056596532	1.50345027316	1.32726278494
1450109_s_at	Abcc2			"ATP-binding cassette, sub-family C (CFTR/MRP), member 2"	9.99900009999e-05	5472.445628	4424.595949	5169.969306	5494.719045	6795.999354	7381.04822	7154.771612	7666.221674	9663.16446	9968.771431	9494.590084	9443.330188	9928.361976	7812.886822	9968.771431	8348.723995	1.41029188505	1.87580793533	1.75368241633
1427474_s_at	Gstm3			"glutathione S-transferase, mu 3"	9.99900009999e-05	1508.17696	946.6707916	1698.999838	1438.380847	2182.551529	2543.324799	5435.511166	3750.975176	12229.9425	8849.191898	8624.469485	5398.863402	19910.61275	14902.63684	18233.45072	10187.0591	2.48780299799	6.27700883162	11.3074349746
