Probe Set	Gene Symbol	UniGene ID	Representative Public ID	Gene Title=Chromosomal Location	Pvalue	CON1	CON2	CON3	CON4	CON5	BNF1	BNF2	BNF3	BNF4	BNF5	D3T1	D3T2	D3T3	D3T4	D3T5	OLT1	OLT2	OLT3	OLT4	OLT5	BNF(fold-change)	D3T(fold-change)	OLT(fold-change)
1367598_at	Ttr	Rn.1404	NM_012681	transthyretin=chr18p	0.00497512437811	28477.87684	35293.3582	44871.07166	31825.18014	37396.00797	33915.55427	37792.70861	35257.92399	35136.08502	37632.36871	38785.51775	46837.34929	42632.68061	37399.07714	42110.74562	49146.70823	43190.03724	44835.47401	38544.75373	38973.1867	1.0105201227	1.16811699125	1.20705016023
1368686_at	Ambp	Rn.18721	NM_012901	alpha 1 microglobulin/bikunin=chr5q24	0.00497512437811	29320.079	31052.02858	34853.57806	30115.65945	31342.41225	28679.03321	33380.75789	30596.53014	30460.28585	30115.20418	33010.4961	36095.55884	36930.54442	34197.22218	36056.95559	41640.05258	37282.28542	34925.9089	35080.73294	31936.4694	0.977968705062	1.12513753897	1.15433438865
1370299_at	Aldob	Rn.98207	M10149	aldolase B=chr5q22	0.00497512437811	33367.54397	32984.66152	35685.67102	31851.12214	31035.69687	26905.16306	25316.75417	29424.37314	27987.36163	28817.39768	29160.1987	28682.76152	28366.40986	31191.73581	31856.43421	33715.60651	33146.68814	30540.27706	32073.92941	34601.61727	0.83948040191	0.905004187695	0.99486688681
1389270_x_at	Atf7ip_predicted	Rn.98469	AA893518	Activating transcription factor 7 interacting protein (predicted)=chr4q43	0.00497512437811	25196.28841	25619.2221	29826.56257	27479.43098	29222.32041	26998.43273	33024.59023	27725.28538	28763.72996	27291.6048	33688.85324	36642.84246	36204.7134	31880.77124	31688.35482	34379.77518	33667.00418	33321.58694	30103.82818	31390.87036	1.04703392129	1.23853792347	1.18580551742
1370239_at	Hba-a1 /// LOC360504	Rn.107334 /// rn.107334	AI179404	hemoglobin alpha, adult chain 1 /// hemoglobin alpha, adult chain 1 /// hemoglobin alpha 2 chain /// hemoglobin alpha 2 chain=chr10q12	0.00497512437811	12848.96685	12647.01304	27606.07593	18833.86418	20298.64942	20758.22966	26845.60206	15769.54485	26374.2833	23265.09117	25376.76821	36106.01202	29441.48437	23966.05867	36524.3265	35693.36233	35151.74698	35956.81564	24222.6598	25833.31132	1.22527542277	1.64162581039	1.70064106177
1368155_at	Cyp2c40	Rn.2586 /// rn.2586	NM_031572	cytochrome P450, family 2, subfamily c, polypeptide 40 /// cytochrome P450, family 2, subfamily c, polypeptide 40=chr1q53	0.00497512437811	17474.73188	21526.58356	26623.41467	20389.36903	23534.38447	21710.30028	24344.48786	22208.42482	21671.11691	24867.51248	26034.38506	30409.54964	29727.22963	23825.50016	28491.20501	31371.58499	27293.02494	30514.46868	25978.26372	25850.80399	1.0479546459	1.26416966202	1.28717570224
1367774_at	Gsta3	Rn.10460 /// rn.10460	NM_031509	glutathione S-transferase A3 /// glutathione S-transferase A3=chr9q13	0.00497512437811	19157.54362	18956.84782	19669.85879	17775.78153	20047.2342	21860.51138	20431.26655	22255.7582	20606.73418	25823.16797	32345.67681	33503.30315	29578.79624	31295.4079	26842.08893	33314.91195	24646.16693	26064.62259	25817.4038	27791.82164	1.16076364245	1.6062092299	1.43958647419
1370009_at	Apoc3	Rn.195323	NM_012501	apolipoprotein C-III=chr8q23-q24	0.00497512437811	17687.03538	22101.77489	26826.17588	19622.20745	23210.3798	17868.49914	22898.05233	20270.79148	20169.8224	22251.11391	23153.45836	28999.67376	26437.31129	24463.88229	27022.94407	33973.89529	25961.6632	29403.04013	25192.21247	23961.77847	0.945277049514	1.18848929884	1.26537834744
1367612_at	Mgst1	Rn.2580 /// rn.2580	NM_134349	microsomal glutathione S-transferase 1 /// microsomal glutathione S-transferase 1=chr4q44	0.00497512437811	16498.58229	20319.84209	25155.99215	18229.90888	23463.30235	19871.96215	22459.50825	20359.39796	20398.80997	22797.76445	23744.71451	30664.89052	25193.96501	21302.2509	26767.14615	31649.1089	26041.77274	28269.93038	23272.92188	24522.66599	1.02141280811	1.23156061201	1.29024269948
1371237_a_at	Mt1a	Rn.54397 /// rn.54397	AF411318	metallothionein 1a /// metallothionein 1a=chr19p12	0.00497512437811	27659.72246	41773.82475	35895.27027	31936.05389	34112.36406	34825.93606	37543.07657	35562.0093	27631.51376	38304.08133	1541.496673	1477.052807	1134.206245	2526.049194	15947.70518	2766.721666	16409.03025	16569.92302	14838.17613	12438.43115	1.01452574249	0.132027512535	0.367740103042
1367565_a_at	Fth1	Rn.54447 /// rn.54447	NM_012848	ferritin, heavy polypeptide 1 /// ferritin, heavy polypeptide 1=chr1q43	0.00497512437811	18533.22502	19341.48827	19953.68494	19953.68494	20060.79486	21075.69622	21003.6139	21475.14393	21159.70201	21556.70194	24512.43425	22257.46335	22951.52269	23466.04747	21704.60775	21484.96118	20198.61862	18851.55028	22256.00703	22626.92194	1.08613789925	1.17425077658	1.0774218949
1368180_s_at	Gsta2	Rn.144550	NM_017013	glutathione-S-transferase, alpha type2=chr8q31	0.00497512437811	8809.193511	5845.934705	8023.495222	5732.099789	10561.9233	20787.57805	20374.8321	18423.07728	17740.98658	24984.48691	31536.2389	34564.23488	33815.34307	32286.32199	24508.9147	37922.99089	26629.00791	19131.68974	19105.73237	20665.05768	2.62519921117	4.021052392	3.16772119914
1370274_at	Ubb	Rn.1253 /// rn.1253	D16554	polyubiquitin /// polyubiquitin=chr10q23	0.00497512437811	17268.23056	13323.59661	16872.77995	19293.95224	19102.15283	20904.48469	21179.665	21158.23348	20302.34185	22181.31674	20845.59975	20130.89899	22389.21228	20964.10602	24171.30508	19265.8953	23135.55921	20740.17648	22197.25473	23096.92834	1.23136693213	1.26368765589	1.26292702791
1387243_at	Cyp1a2	Rn.5563 /// rn.5563	K02422	cytochrome P450, family 1, subfamily a, polypeptide 2 /// cytochrome P450, family 1, subfamily a, polypeptide 2=chr8q24	0.00497512437811	12301.44592	16058.77629	17906.13304	13897.95698	15796.60043	26938.18706	37552.21535	27516.5758	28092.42391	30827.54388	12345.43516	11510.49583	10957.1978	11107.25863	23386.78425	14677.21365	20499.7046	24640.50306	21902.80377	19807.35431	1.98690274662	0.91240572609	1.33657661335
1368583_a_at	Hrg /// LOC681544	Rn.16100	NM_133428	histidine-rich glycoprotein /// similar to histidine-rich glycoprotein=chr11q23	0.00497512437811	15358.69098	18199.52996	19014.71889	17896.07243	16592.57805	17464.61441	18855.20114	18754.17969	19538.52	18629.62095	22094.58786	23078.93563	24098.46026	22162.48801	21198.79971	26092.46167	18053.84518	19178.70316	19550.55496	17666.73734	1.07099050061	1.2937194355	1.15484109528
1387759_s_at	Ugt1a1 /// Ugt1a6 /// Ugt1a7 /// Ugt1a8 /// Ugt1a2 /// Ugt1a3 /// Ugt1a10 /// Ugt1a5	Rn.26489	J02612	UDP glycosyltransferase 1 family, polypeptide A1 /// UDP glycosyltransferase 1 family, polypeptide A6 /// UDP glycosyltransferase 1 family, polypeptide A7 /// UDP glycosyltransferase 1 family, polypeptide A8 /// UDP glycosyltransferase 1 family polypeptide A2 /// UDP glycosyltransferase 1 family polypeptide A3 /// UDP glycosyltransferase 1 family polypeptide A10 /// UDP glycosyltransferase 1 family, polypeptide A5=chr9q35-q36 /// chr9q35	0.00497512437811	17820.23337	17074.71041	15897.04978	19066.44337	18171.67931	23795.2729	22018.99696	22668.9439	25014.24122	24756.07796	20250.86581	15325.77723	15612.98102	17335.77412	13480.21083	16145.03424	12085.15587	14204.38285	14627.84475	17358.39382	1.34333041908	0.931563111724	0.845401718284
1368060_at	Hrsp12	Rn.6987	NM_031714	heat-responsive protein 12=chr7q22	0.00497512437811	16361.28625	16036.61311	12658.07333	15918.42534	15733.70981	12312.01761	12009.51051	15115.94538	14944.35996	14987.07965	22556.67499	18174.49239	20759.52553	24962.86548	18896.19241	17630.61708	16160.1247	15719.72447	21755.19548	21623.74	0.904323090001	1.37338481898	1.21094633078
1393245_at	Phyh	Rn.7279	AI029057	Phytanoyl-CoA hydroxylase=chr17q12.3	0.00497512437811	28809.12974	25842.51948	23358.71498	25846.60658	29174.09252	31096.39806	22205.64582	24341.177	27011.15668	19487.83483	6484.544221	6838.182874	6517.149569	6557.818465	8726.050091	6978.944193	10293.35244	11260.38512	10662.50228	12513.00384	0.9331821404	0.264026644219	0.388692584952
1371099_at	---	Rn.107069	U07886	Polymeric immunoglobulin receptor AATTAA-containing 3'UTR Group 1 mRNA sequence=---	0.00497512437811	16673.0411	15325.03396	15923.80192	13998.50161	15969.7228	14221.71914	16909.03	14601.0416	14321.26995	16433.68297	17969.82639	22824.44532	20942.0922	18783.62681	19594.02465	19123.56959	17359.77465	18168.89286	16814.13056	16928.35339	0.981982848848	1.28532398319	1.13486462943
1370244_at	Ctsl	Rn.1294	AI176595	cathepsin L=chr17p14	0.00497512437811	20509.73996	18174.29083	17617.34548	17419.38018	17767.08807	22056.5826	20110.56606	20034.57951	22703.01402	23389.92556	14644.21896	9926.384408	13126.25214	13918.91601	15228.32094	9799.267936	16489.20668	11225.59675	15462.0586	17445.95097	1.18370553288	0.730633591913	0.769742486616
1387830_at	Crp	Rn.16463 /// rn.16463	NM_017096	C-reactive protein, pentraxin-related /// C-reactive protein, pentraxin-related=chr13q24	0.00497512437811	14849.7475	15249.7743	17029.94128	12473.25234	13541.29843	11729.92225	18148.06372	13498.35265	15398.52571	16346.19217	22071.14829	18126.31951	19410.19283	17162.25827	18252.98748	21755.00292	16026.79103	16755.56994	18179.48639	19745.7001	1.02702945253	1.29912075341	1.26411643979
